name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Benjamin White,DEF,Arsenal,Crystal Palace,90,0,0,0,1,25,1,0,0,0,0,0,4.3,31.4,12.0,0.0,False,5,4.0,2.0,2.0
Benjamin White,DEF,Arsenal,Leicester,74,0,0,2,0,8,0,0,0,0,0,0,1.3,9.8,3.3,0.0,True,1,4.0,3.0,1.0
Benjamin White,DEF,Arsenal,Bournemouth,74,0,0,0,1,29,0,0,0,0,0,0,1.7,11.0,4.3,2.0,False,7,4.0,2.0,2.0
Benjamin White,DEF,Arsenal,Fulham,90,0,0,1,0,10,1,0,0,0,0,0,2.0,11.8,3.8,4.0,True,1,4.0,2.0,2.0
Benjamin White,DEF,Arsenal,Aston Villa,64,0,0,0,1,29,0,0,0,0,0,0,2.1,5.4,13.5,2.0,True,8,4.0,2.0,2.0
Benjamin White,DEF,Arsenal,Man Utd,79,0,0,3,0,8,0,0,0,0,0,0,1.5,8.4,6.4,0.0,False,1,4.0,4.0,0.0
Benjamin White,DEF,Arsenal,Brentford,85,0,0,0,1,27,0,0,0,0,0,0,4.6,16.6,27.6,2.0,False,6,4.0,3.0,1.0
Benjamin White,DEF,Arsenal,Spurs,88,0,1,1,0,27,0,0,0,0,0,0,6.9,34.8,31.4,3.0,True,5,4.0,4.0,0.0
Benjamin White,DEF,Arsenal,Liverpool,90,0,0,2,0,7,0,0,0,0,0,0,1.6,8.2,1.8,6.0,True,1,4.0,4.0,0.0
Benjamin White,DEF,Arsenal,Leeds,75,0,0,0,1,21,0,0,0,0,0,0,2.7,25.8,1.6,0.0,False,6,4.0,2.0,2.0
Benjamin White,DEF,Arsenal,Southampton,71,0,1,1,0,29,0,0,0,0,0,0,7.1,37.0,29.9,4.0,False,6,4.0,2.0,2.0
Benjamin White,DEF,Arsenal,Nott'm Forest,90,0,0,0,1,27,0,0,0,0,0,0,2.6,16.6,5.4,4.0,True,6,4.0,2.0,2.0
Benjamin White,DEF,Arsenal,Chelsea,90,0,0,0,1,21,1,0,0,0,0,0,3.0,10.4,12.8,7.0,False,5,4.0,4.0,0.0
Benjamin White,DEF,Arsenal,Wolves,90,0,0,0,1,31,0,0,0,0,0,0,5.6,15.0,39.9,1.0,False,8,4.0,2.0,2.0
Benjamin White,DEF,Arsenal,West Ham,90,0,0,1,0,20,0,0,0,0,0,0,4.6,19.0,22.5,4.0,True,2,4.0,3.0,1.0
