name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ivan Perišić,DEF,Spurs,Southampton,24,0,0,0,0,6,0,0,0,0,0,0,2.1,7.0,8.0,6.0,True,1,4.0,2.0,2.0
Ivan Perišić,DEF,Spurs,Chelsea,11,0,1,0,0,15,0,0,0,0,0,0,4.9,20.4,28.3,0.0,False,4,4.0,4.0,0.0
Ivan Perišić,DEF,Spurs,Wolves,75,0,1,0,1,33,0,0,0,0,0,0,8.1,34.0,40.9,6.0,True,12,4.0,2.0,2.0
Ivan Perišić,DEF,Spurs,Nott'm Forest,73,0,0,0,1,18,0,0,0,0,0,0,2.0,6.4,1.4,12.0,False,6,4.0,2.0,2.0
Ivan Perišić,DEF,Spurs,West Ham,90,0,0,1,0,11,1,0,0,0,0,0,7.0,13.6,48.8,8.0,False,1,4.0,3.0,1.0
Ivan Perišić,DEF,Spurs,Fulham,6,0,0,0,0,3,0,0,0,0,0,0,0.2,2.4,0.0,0.0,True,1,4.0,2.0,2.0
Ivan Perišić,DEF,Spurs,Leicester,54,0,1,2,0,14,1,0,0,0,0,0,8.8,22.6,47.8,18.0,True,2,4.0,3.0,1.0
Ivan Perišić,DEF,Spurs,Arsenal,70,0,0,3,0,5,0,0,0,0,0,0,2.2,3.4,14.7,4.0,False,1,4.0,4.0,0.0
Ivan Perišić,DEF,Spurs,Brighton,10,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.5,4.0,False,1,4.0,3.0,1.0
Ivan Perišić,DEF,Spurs,Everton,90,0,0,0,1,31,0,0,0,0,0,0,12.0,21.8,62.0,36.0,True,8,4.0,2.0,2.0
Ivan Perišić,DEF,Spurs,Man Utd,88,0,0,2,0,10,0,0,0,0,0,0,2.8,11.8,6.6,10.0,False,1,4.0,4.0,0.0
Ivan Perišić,DEF,Spurs,Newcastle,29,0,0,0,0,1,0,0,0,0,0,0,3.8,6.4,14.2,17.0,True,1,4.0,4.0,0.0
Ivan Perišić,DEF,Spurs,Bournemouth,27,0,1,0,0,18,0,0,0,0,0,0,5.8,20.4,29.3,8.0,False,4,4.0,2.0,2.0
Ivan Perišić,DEF,Spurs,Liverpool,90,0,0,2,0,10,0,0,0,0,0,0,13.2,17.2,69.7,45.0,True,1,4.0,4.0,0.0
Ivan Perišić,DEF,Spurs,Leeds,90,0,0,3,0,14,0,0,0,0,0,0,2.1,12.4,6.5,2.0,True,1,4.0,2.0,2.0
Ivan Perišić,DEF,Spurs,Brentford,90,0,0,2,0,15,0,0,0,0,0,0,5.9,21.0,31.7,6.0,False,1,4.0,3.0,1.0
Ivan Perišić,DEF,Spurs,Aston Villa,87,0,0,2,0,3,0,0,0,0,0,0,3.0,6.2,13.5,10.0,True,1,4.0,2.0,2.0
