name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Kurt Zouma,DEF,West Ham,Man City,90,0,0,2,0,8,0,0,0,0,0,0,1.5,13.0,0.2,2.0,True,1,3.0,5.0,-2.0
Kurt Zouma,DEF,West Ham,Nott'm Forest,90,0,0,1,0,10,0,0,0,0,0,0,2.8,11.8,0.1,16.0,False,2,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Brighton,90,0,0,2,0,12,0,0,0,0,0,0,3.9,14.0,0.9,24.0,True,1,3.0,3.0,0.0
Kurt Zouma,DEF,West Ham,Aston Villa,90,0,0,0,1,30,0,0,0,0,0,0,3.0,29.8,0.2,0.0,False,9,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Spurs,90,0,0,1,0,10,0,0,0,0,0,0,1.5,10.4,0.3,4.0,True,2,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Chelsea,90,0,0,2,0,15,0,0,0,0,0,0,2.2,21.4,0.3,0.0,False,1,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Everton,90,0,0,1,0,12,0,0,0,0,0,0,5.4,16.0,0.5,37.0,False,2,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Wolves,90,0,0,0,1,21,0,0,0,0,0,0,1.9,18.8,0.1,0.0,True,6,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Fulham,90,0,0,1,0,15,0,0,0,0,0,0,1.3,13.0,0.3,0.0,True,2,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Liverpool,90,0,0,1,0,13,0,0,0,0,0,0,1.5,14.2,0.3,0.0,False,2,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Bournemouth,90,1,0,0,1,40,0,0,0,0,0,0,8.2,44.4,0.8,37.0,True,15,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Man Utd,90,0,0,1,0,14,0,0,0,0,0,0,3.6,14.6,0.5,21.0,False,2,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Crystal Palace,90,0,0,2,0,15,0,0,0,0,0,0,1.0,9.8,0.0,0.0,True,1,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Leicester,14,0,0,1,0,3,0,0,0,0,0,0,0.2,1.4,0.1,0.0,True,1,3.0,3.0,0.0
Kurt Zouma,DEF,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kurt Zouma,DEF,West Ham,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Everton,90,0,1,0,1,36,0,0,0,0,0,0,2.7,21.4,0.6,5.0,True,11,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Brighton,21,0,0,2,0,3,0,0,0,0,0,0,0.5,4.6,0.4,0.0,False,0,3.0,3.0,0.0
Kurt Zouma,DEF,West Ham,Aston Villa,90,0,0,1,0,14,0,0,0,0,0,0,3.9,20.2,10.4,8.0,True,2,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Southampton,90,0,0,0,1,25,0,0,0,0,0,0,1.0,5.6,0.4,4.0,True,6,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Newcastle,90,1,0,5,0,16,0,0,0,0,0,0,8.1,41.6,0.3,39.0,True,6,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Fulham,90,0,0,0,1,25,0,0,0,0,0,0,5.0,29.4,0.0,21.0,False,6,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Arsenal,90,0,0,2,0,5,0,0,0,0,0,0,2.6,8.2,0.3,17.0,True,1,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Bournemouth,90,0,0,0,1,26,0,0,0,0,0,0,3.1,31.0,0.3,0.0,False,6,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Liverpool,90,0,0,2,0,14,0,0,0,0,0,0,2.2,20.4,1.4,0.0,True,1,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Crystal Palace,18,0,0,1,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Kurt Zouma,DEF,West Ham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Kurt Zouma,DEF,West Ham,Leeds,45,0,0,1,0,1,0,0,0,0,0,0,0.3,0.0,0.0,4.0,True,1,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
