name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Mathias Jorgensen,DEF,Brentford,Everton,67,0,0,1,0,15,0,0,0,0,0,0,3.9,24.8,11.7,2.0,True,2,3.0,2.0,1.0
Mathias Jorgensen,DEF,Brentford,Crystal Palace,90,0,0,1,0,11,0,0,0,0,0,0,2.6,14.4,1.0,11.0,False,2,3.0,2.0,1.0
Mathias Jorgensen,DEF,Brentford,Leeds,23,0,0,1,0,2,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,1,3.0,2.0,1.0
Mathias Jorgensen,DEF,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Mathias Jorgensen,DEF,Brentford,Bournemouth,26,0,0,0,0,10,0,0,0,0,0,0,0.8,7.2,0.3,0.0,False,1,3.0,2.0,1.0
Mathias Jorgensen,DEF,Brentford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Mathias Jorgensen,DEF,Brentford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Mathias Jorgensen,DEF,Brentford,Chelsea,90,0,0,0,1,21,0,0,0,0,0,0,1.3,9.2,1.3,2.0,True,6,3.0,4.0,-1.0
Mathias Jorgensen,DEF,Brentford,Aston Villa,60,0,0,4,0,7,0,0,0,0,0,0,0.5,0.4,0.2,4.0,False,0,3.0,2.0,1.0
Mathias Jorgensen,DEF,Brentford,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Mathias Jorgensen,DEF,Brentford,Nott'm Forest,9,0,0,1,0,-4,0,0,1,0,0,0,0.0,0.0,0.0,0.0,False,-1,3.0,2.0,1.0
Mathias Jorgensen,DEF,Brentford,Man City,90,0,0,1,0,16,0,0,0,0,0,0,5.5,54.0,0.8,0.0,False,2,3.0,5.0,-2.0
Mathias Jorgensen,DEF,Brentford,Spurs,90,0,0,2,0,8,0,0,0,0,0,0,3.6,18.4,0.3,17.0,True,1,3.0,4.0,-1.0
Mathias Jorgensen,DEF,Brentford,West Ham,90,0,0,0,1,21,0,0,0,0,0,0,2.1,20.4,0.3,0.0,False,6,3.0,3.0,0.0
Mathias Jorgensen,DEF,Brentford,Liverpool,90,0,0,1,0,4,1,0,0,0,0,0,0.7,6.4,0.2,0.0,True,1,3.0,4.0,-1.0
Mathias Jorgensen,DEF,Brentford,Bournemouth,8,0,0,0,0,3,0,0,0,0,0,0,0.3,2.2,0.3,0.0,True,1,3.0,2.0,1.0
Mathias Jorgensen,DEF,Brentford,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Mathias Jorgensen,DEF,Brentford,Southampton,8,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.0,True,1,3.0,2.0,1.0
