name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Tariq Lamptey,DEF,Brighton,Man Utd,15,0,0,0,0,3,0,0,0,0,0,0,0.3,0.2,1.0,2.0,False,1,3.0,4.0,-1.0
Tariq Lamptey,DEF,Brighton,Newcastle,15,0,0,0,0,2,0,0,0,0,0,0,0.1,0.2,0.3,0.0,True,1,3.0,4.0,-1.0
Tariq Lamptey,DEF,Brighton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Tariq Lamptey,DEF,Brighton,Leeds,20,0,0,0,0,4,0,0,0,0,0,0,0.5,3.2,0.0,2.0,True,1,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,Fulham,26,0,0,0,0,5,0,0,0,0,0,0,2.7,11.6,15.2,0.0,False,1,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,Leicester,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,3.0,3.0,0.0
Tariq Lamptey,DEF,Brighton,Liverpool,3,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,4.0,-1.0
Tariq Lamptey,DEF,Brighton,Spurs,2,0,0,0,0,3,0,0,0,0,0,0,0.1,0.2,0.3,0.0,True,1,3.0,4.0,-1.0
Tariq Lamptey,DEF,Brighton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Tariq Lamptey,DEF,Brighton,Nott'm Forest,26,0,0,0,0,-3,1,0,0,0,0,0,0.8,0.0,6.2,2.0,True,0,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,Man City,45,0,0,1,0,3,0,0,0,0,0,0,1.0,5.0,2.8,2.0,False,1,3.0,5.0,-2.0
Tariq Lamptey,DEF,Brighton,Chelsea,17,0,0,0,0,3,0,0,0,0,0,0,0.0,0.4,0.0,0.0,True,1,3.0,4.0,-1.0
Tariq Lamptey,DEF,Brighton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,Aston Villa,9,0,0,0,0,4,0,0,0,0,0,0,3.0,5.4,15.0,10.0,True,1,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,Southampton,7,0,0,0,0,4,0,0,0,0,0,0,0.5,2.4,1.0,2.0,False,1,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,Arsenal,90,0,0,4,0,16,0,0,0,0,0,0,4.8,26.6,17.2,4.0,True,0,3.0,4.0,-1.0
Tariq Lamptey,DEF,Brighton,Everton,19,0,0,1,0,2,0,0,0,0,0,0,1.0,0.6,1.3,8.0,False,1,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,Liverpool,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,3.0,4.0,-1.0
Tariq Lamptey,DEF,Brighton,Leicester,12,0,0,0,0,3,0,0,0,0,0,0,1.2,0.6,5.0,6.0,False,1,3.0,3.0,0.0
Tariq Lamptey,DEF,Brighton,Bournemouth,74,0,0,0,1,24,0,0,0,0,0,0,2.0,7.2,9.1,4.0,True,6,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,Crystal Palace,14,0,0,0,0,1,0,0,0,0,0,0,0.4,0.6,1.0,2.0,False,1,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,Fulham,28,0,0,1,0,5,0,0,0,0,0,0,2.2,6.4,11.5,4.0,True,1,3.0,2.0,1.0
Tariq Lamptey,DEF,Brighton,West Ham,15,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.3,0.0,True,1,3.0,3.0,0.0
Tariq Lamptey,DEF,Brighton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
