name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Tyrell Malacia,DEF,Man Utd,Brighton,1,0,0,0,0,6,0,0,0,0,0,0,0.4,4.0,0.0,0.0,True,1,4.0,3.0,1.0
Tyrell Malacia,DEF,Man Utd,Brentford,45,0,0,0,0,4,0,0,0,0,0,0,2.4,9.2,6.8,8.0,False,1,4.0,3.0,1.0
Tyrell Malacia,DEF,Man Utd,Liverpool,90,0,0,1,0,9,0,0,0,0,0,0,1.9,14.6,4.8,0.0,True,2,4.0,4.0,0.0
Tyrell Malacia,DEF,Man Utd,Southampton,90,0,0,0,1,30,0,0,0,0,0,0,2.5,20.4,2.2,2.0,False,8,4.0,2.0,2.0
Tyrell Malacia,DEF,Man Utd,Leicester,90,0,0,0,1,16,1,0,0,0,0,0,1.3,6.0,2.6,4.0,False,5,4.0,3.0,1.0
Tyrell Malacia,DEF,Man Utd,Arsenal,90,0,0,1,0,11,0,0,0,0,0,0,1.1,9.0,2.0,0.0,True,2,4.0,4.0,0.0
Tyrell Malacia,DEF,Man Utd,Man City,45,0,0,4,0,2,1,0,0,0,0,0,0.2,0.8,0.8,0.0,False,-2,4.0,5.0,-1.0
Tyrell Malacia,DEF,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Tyrell Malacia,DEF,Man Utd,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Tyrell Malacia,DEF,Man Utd,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Tyrell Malacia,DEF,Man Utd,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Tyrell Malacia,DEF,Man Utd,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Tyrell Malacia,DEF,Man Utd,Aston Villa,25,0,0,0,0,2,0,0,0,0,0,0,0.4,2.2,1.8,0.0,False,1,4.0,2.0,2.0
Tyrell Malacia,DEF,Man Utd,Fulham,90,0,0,1,0,12,0,0,0,0,0,0,1.1,8.4,2.3,0.0,False,2,4.0,2.0,2.0
Tyrell Malacia,DEF,Man Utd,Nott'm Forest,90,0,0,0,1,19,1,0,0,0,0,0,5.3,18.0,5.7,29.0,True,5,4.0,2.0,2.0
Tyrell Malacia,DEF,Man Utd,Wolves,90,0,0,0,1,29,0,0,0,0,0,0,4.1,22.2,17.0,2.0,False,9,4.0,2.0,2.0
Tyrell Malacia,DEF,Man Utd,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Tyrell Malacia,DEF,Man Utd,Man City,90,0,0,1,0,13,0,0,0,0,0,0,1.3,11.4,1.5,0.0,True,2,4.0,5.0,-1.0
Tyrell Malacia,DEF,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Tyrell Malacia,DEF,Man Utd,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
