name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Adam Armstrong,FWD,Southampton,Spurs,45,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.8,1.0,False,1,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Leeds,29,0,1,0,0,15,0,0,0,0,0,0,3.3,17.4,11.1,4.0,True,4,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Leicester,69,0,0,1,0,5,0,0,0,0,0,0,0.8,2.6,1.3,4.0,False,2,2.0,3.0,-1.0
Adam Armstrong,FWD,Southampton,Man Utd,76,0,0,1,0,8,0,0,0,0,0,0,6.0,9.6,25.7,25.0,True,2,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Chelsea,85,1,0,1,0,34,0,0,0,0,0,0,6.8,39.2,0.9,28.0,True,9,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Wolves,82,0,0,1,0,1,0,0,0,0,0,0,1.6,0.0,3.8,15.0,False,2,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Aston Villa,70,0,0,1,0,4,0,0,0,0,0,0,1.2,9.6,0.6,2.0,False,2,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Everton,30,0,0,0,0,2,0,0,0,0,0,0,7.3,8.2,17.0,48.0,True,1,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Man City,65,0,0,4,0,4,0,0,0,0,0,0,1.3,0.2,13.0,0.0,False,2,2.0,5.0,-3.0
Adam Armstrong,FWD,Southampton,West Ham,73,0,0,1,0,5,0,0,0,0,0,0,3.6,14.0,22.2,0.0,True,2,2.0,3.0,-1.0
Adam Armstrong,FWD,Southampton,Bournemouth,87,0,0,0,1,8,0,0,0,0,0,0,2.6,2.2,11.5,12.0,False,2,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Arsenal,72,0,0,1,0,5,0,0,0,0,0,0,1.6,5.4,0.6,10.0,True,2,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Newcastle,26,0,0,1,0,6,0,0,0,0,0,0,3.9,9.0,21.3,9.0,True,1,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Liverpool,58,0,0,3,0,0,0,0,0,0,0,0,2.3,0.0,1.1,25.0,False,1,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Brighton,6,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,3.0,-1.0
Adam Armstrong,FWD,Southampton,Fulham,1,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Nott'm Forest,26,0,0,0,0,3,0,0,0,0,0,0,0.1,0.2,1.0,0.0,True,1,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Everton,29,0,0,0,0,4,0,0,0,0,0,0,1.1,3.4,0.6,7.0,False,1,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Aston Villa,83,0,0,1,0,3,0,0,0,0,0,0,2.5,5.4,0.6,19.0,True,2,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Brentford,9,0,0,0,0,3,0,0,0,0,0,0,1.1,3.4,0.4,7.0,False,1,2.0,3.0,-1.0
Adam Armstrong,FWD,Southampton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Chelsea,31,0,0,0,0,3,0,0,0,0,0,0,2.5,3.2,0.3,21.0,False,1,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Leeds,8,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,1,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Leicester,27,0,0,0,0,-5,1,0,0,0,0,0,0.0,0.0,0.3,0.0,True,0,2.0,3.0,-1.0
Adam Armstrong,FWD,Southampton,Man Utd,14,0,0,0,0,2,0,0,0,0,0,0,0.3,0.2,1.2,2.0,False,1,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Adam Armstrong,FWD,Southampton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Adam Armstrong,FWD,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Adam Armstrong,FWD,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Arsenal,76,0,0,1,0,3,1,0,0,0,0,0,0.3,1.2,0.1,2.0,False,1,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Bournemouth,75,0,0,1,0,5,0,0,0,0,0,0,3.7,5.4,1.6,30.0,True,2,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Newcastle,20,0,0,2,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2.0,4.0,-2.0
Adam Armstrong,FWD,Southampton,Nott'm Forest,14,0,0,0,0,8,0,0,0,0,0,0,1.6,2.0,10.3,4.0,False,1,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Fulham,8,0,0,0,0,3,0,0,0,0,0,0,0.1,0.2,1.2,0.0,True,1,2.0,2.0,0.0
Adam Armstrong,FWD,Southampton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Adam Armstrong,FWD,Southampton,Liverpool,27,1,0,2,0,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,5,2.0,4.0,-2.0
