name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Danny Ings,FWD,Aston Villa,Bournemouth,65,0,0,1,0,0,1,0,0,0,0,0,4.7,1.0,12.5,33.0,False,1,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Everton,77,1,0,0,1,23,1,0,0,0,0,0,8.9,31.8,10.0,47.0,True,6,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Crystal Palace,24,0,0,1,0,1,0,0,0,0,0,0,1.8,1.0,0.0,17.0,False,1,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,West Ham,77,0,0,1,0,2,0,0,0,0,0,0,0.6,0.0,1.8,6.0,True,2,2.0,3.0,-1.0
Danny Ings,FWD,Aston Villa,Arsenal,7,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,2.0,False,1,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Danny Ings,FWD,Aston Villa,Southampton,6,0,0,0,0,-2,0,0,0,0,0,0,0.1,0.0,1.6,2.0,True,1,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Leeds,7,0,0,0,0,4,0,0,0,0,0,0,1.2,2.0,10.3,0.0,False,1,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Nott'm Forest,25,0,0,0,0,2,0,0,0,0,0,0,0.3,2.0,0.5,0.0,False,1,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Chelsea,90,0,0,2,0,0,0,0,0,0,0,0,9.6,11.0,0.8,84.0,True,2,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Fulham,68,0,0,2,0,5,0,0,0,0,0,0,11.2,11.4,11.1,89.0,False,2,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Brentford,90,2,0,0,1,55,1,0,0,0,0,0,14.9,77.2,32.2,40.0,True,12,2.0,3.0,-1.0
Danny Ings,FWD,Aston Villa,Newcastle,90,0,0,4,0,2,0,0,0,0,0,0,1.8,3.0,10.6,4.0,False,2,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Man Utd,11,0,0,0,0,1,0,0,0,0,0,0,0.2,0.0,0.3,2.0,True,1,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Brighton,82,2,0,1,0,62,0,0,0,0,0,0,15.2,78.4,13.8,60.0,False,13,2.0,3.0,-1.0
Danny Ings,FWD,Aston Villa,Liverpool,4,0,0,0,0,3,0,0,0,0,0,0,0.2,1.2,0.3,0.0,True,1,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Spurs,8,0,0,0,0,3,0,0,0,0,0,0,0.5,0.2,0.3,4.0,False,1,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Wolves,24,1,0,0,0,33,0,0,0,0,0,0,7.3,43.2,13.0,17.0,True,8,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Leeds,58,0,0,1,0,-5,0,0,0,0,0,0,4.0,12.0,1.6,26.0,True,1,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Everton,18,0,0,0,0,5,0,0,0,0,0,0,1.9,6.4,13.0,0.0,True,1,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Newcastle,9,0,0,0,0,2,0,0,0,0,0,0,0.8,3.2,0.3,4.0,False,1,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Chelsea,23,0,0,0,0,3,0,0,0,0,0,0,0.3,0.0,0.3,4.0,True,1,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Spurs,18,0,0,1,0,5,0,0,0,0,0,0,0.9,2.0,0.3,7.0,False,1,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Nott'm Forest,83,2,0,0,1,48,0,0,0,0,0,0,13.4,62.6,2.3,69.0,True,13,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Brighton,90,0,0,4,0,2,0,0,0,0,0,0,1.7,5.6,0.0,11.0,False,2,2.0,3.0,-1.0
Danny Ings,FWD,Aston Villa,Aston Villa,85,0,0,1,0,4,0,0,0,0,0,0,1.2,1.2,10.8,0.0,True,2,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Southampton,64,0,0,0,1,6,0,0,0,0,0,0,1.0,4.4,3.8,2.0,True,2,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Newcastle,27,0,0,2,0,2,0,0,0,0,0,0,0.4,0.0,2.7,2.0,True,1,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Fulham,60,0,0,0,1,3,0,0,0,0,0,0,2.4,6.6,0.2,17.0,False,2,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Bournemouth,25,0,0,0,0,3,0,0,0,0,0,0,0.7,0.2,2.6,4.0,False,1,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Liverpool,20,0,0,0,0,5,0,0,0,0,0,0,0.6,2.0,0.0,4.0,True,1,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Crystal Palace,21,0,0,0,0,1,0,0,0,0,0,0,0.3,0.2,0.3,2.0,False,1,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Man City,23,0,0,2,0,3,0,0,0,0,0,0,0.3,0.2,0.3,2.0,False,1,2.0,5.0,-3.0
Danny Ings,FWD,Aston Villa,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Danny Ings,FWD,Aston Villa,Brentford,82,0,0,2,0,11,0,0,0,0,0,0,3.0,9.4,1.2,19.0,False,2,2.0,3.0,-1.0
Danny Ings,FWD,Aston Villa,Leeds,90,0,1,1,0,19,0,0,0,0,0,0,7.0,18.8,27.1,24.0,True,5,2.0,2.0,0.0
Danny Ings,FWD,Aston Villa,Leicester,28,0,1,0,0,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,False,3,2.0,3.0,-1.0
