name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Evan Ferguson,FWD,Brighton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Evan Ferguson,FWD,Brighton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Evan Ferguson,FWD,Brighton,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Evan Ferguson,FWD,Brighton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Southampton,7,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.4,0.0,False,1,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Arsenal,30,1,0,1,0,27,0,0,0,0,0,0,6.5,36.2,0.3,28.0,True,5,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Everton,70,1,1,0,1,35,1,0,0,0,0,0,7.5,40.4,11.6,23.0,False,11,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Liverpool,65,0,1,0,1,15,0,0,0,0,0,0,7.5,23.2,26.3,25.0,True,5,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Leicester,24,1,0,0,0,27,0,0,0,0,0,0,5.4,33.6,1.0,19.0,False,6,3.0,3.0,0.0
Evan Ferguson,FWD,Brighton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Crystal Palace,33,0,0,1,0,2,0,0,0,0,0,0,0.2,1.4,0.4,0.0,False,1,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Fulham,72,0,0,0,1,-1,0,0,0,0,0,0,5.5,11.0,4.0,40.0,True,2,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,West Ham,82,0,0,0,1,6,0,0,0,0,0,0,4.6,8.8,7.3,30.0,True,2,3.0,3.0,0.0
Evan Ferguson,FWD,Brighton,Leeds,67,0,0,1,0,3,0,0,0,0,0,0,2.6,4.2,12.2,10.0,False,2,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Crystal Palace,11,0,0,0,0,5,0,0,0,0,0,0,0.6,2.4,1.3,2.0,True,1,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Evan Ferguson,FWD,Brighton,Bournemouth,72,1,0,0,1,27,0,0,0,0,0,0,6.0,32.8,2.8,24.0,False,7,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Spurs,24,0,0,1,0,3,0,0,0,0,0,0,0.7,1.2,1.1,5.0,False,1,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Chelsea,38,0,0,1,0,1,0,0,0,0,0,0,4.5,8.0,12.5,24.0,False,1,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Everton,45,0,0,2,0,0,0,0,0,0,0,0,8.5,12.2,31.6,41.0,True,1,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Arsenal,76,0,0,0,1,4,0,0,0,0,0,0,0.3,0.4,1.8,1.0,False,2,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Newcastle,34,0,0,2,0,3,0,0,0,0,0,0,1.5,2.4,12.6,0.0,False,1,3.0,4.0,-1.0
Evan Ferguson,FWD,Brighton,Southampton,64,2,0,1,0,54,0,0,0,0,0,0,11.5,64.4,0.3,50.0,True,13,3.0,2.0,1.0
Evan Ferguson,FWD,Brighton,Man City,38,0,0,0,0,1,0,0,0,0,0,0,3.1,1.6,1.6,28.0,True,1,3.0,5.0,-2.0
Evan Ferguson,FWD,Brighton,Aston Villa,90,0,0,2,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3.0,2.0,1.0
