name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Kelechi Iheanacho,FWD,Leicester,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kelechi Iheanacho,FWD,Leicester,Arsenal,20,0,1,1,0,13,0,0,0,0,0,0,5.8,19.2,30.5,8.0,False,4,3.0,4.0,-1.0
Kelechi Iheanacho,FWD,Leicester,Southampton,14,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.3,0.0,True,1,3.0,2.0,1.0
Kelechi Iheanacho,FWD,Leicester,Chelsea,35,0,0,1,0,0,0,0,0,0,0,0,2.8,0.0,12.0,17.0,False,1,3.0,4.0,-1.0
Kelechi Iheanacho,FWD,Leicester,Man Utd,14,0,0,0,0,2,0,0,0,0,0,0,0.1,0.0,0.8,1.0,True,1,3.0,4.0,-1.0
Kelechi Iheanacho,FWD,Leicester,Brighton,71,1,0,4,0,27,0,0,0,0,0,0,7.6,37.4,1.8,37.0,False,6,3.0,3.0,0.0
Kelechi Iheanacho,FWD,Leicester,Spurs,16,0,0,2,0,5,0,0,0,0,0,0,3.0,4.4,23.5,2.0,False,1,3.0,4.0,-1.0
Kelechi Iheanacho,FWD,Leicester,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kelechi Iheanacho,FWD,Leicester,Bournemouth,11,0,0,0,0,3,0,0,0,0,0,0,0.3,0.2,0.5,2.0,False,1,3.0,2.0,1.0
Kelechi Iheanacho,FWD,Leicester,Crystal Palace,5,0,0,0,0,3,0,0,0,0,0,0,3.5,5.2,11.0,19.0,True,1,3.0,2.0,1.0
Kelechi Iheanacho,FWD,Leicester,Leeds,5,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,3.0,2.0,1.0
Kelechi Iheanacho,FWD,Leicester,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kelechi Iheanacho,FWD,Leicester,Man City,19,0,0,0,0,6,0,0,0,0,0,0,3.5,3.4,10.8,21.0,True,1,3.0,5.0,-2.0
Kelechi Iheanacho,FWD,Leicester,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kelechi Iheanacho,FWD,Leicester,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
