name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Patson Daka,FWD,Leicester,Brentford,17,0,0,1,0,4,0,0,0,0,0,0,0.1,1.2,0.1,0.0,True,1,3.0,3.0,0.0
Patson Daka,FWD,Leicester,Arsenal,27,0,0,1,0,2,0,0,0,0,0,0,3.2,9.0,3.3,20.0,False,1,3.0,4.0,-1.0
Patson Daka,FWD,Leicester,Southampton,25,0,0,2,0,-2,1,0,0,0,0,0,0.0,0.0,0.3,0.0,True,0,3.0,2.0,1.0
Patson Daka,FWD,Leicester,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Patson Daka,FWD,Leicester,Man Utd,3,0,0,0,0,4,0,0,0,0,0,0,1.3,2.2,10.5,0.0,True,1,3.0,4.0,-1.0
Patson Daka,FWD,Leicester,Brighton,90,1,1,5,0,44,0,0,0,0,0,0,10.3,62.4,10.8,30.0,False,11,3.0,3.0,0.0
Patson Daka,FWD,Leicester,Spurs,73,0,0,4,0,9,1,0,0,0,0,0,6.8,9.8,21.8,36.0,False,1,3.0,4.0,-1.0
Patson Daka,FWD,Leicester,Nott'm Forest,28,1,0,0,0,25,0,0,0,0,0,0,5.4,33.4,1.8,19.0,True,5,3.0,2.0,1.0
Patson Daka,FWD,Leicester,Bournemouth,66,1,0,0,1,25,0,0,0,0,0,0,9.1,34.2,3.2,54.0,False,6,3.0,2.0,1.0
Patson Daka,FWD,Leicester,Crystal Palace,64,0,0,0,1,9,0,0,0,0,0,0,5.2,6.6,18.3,27.0,True,2,3.0,2.0,1.0
Patson Daka,FWD,Leicester,Leeds,26,0,0,0,0,2,0,0,0,0,0,0,1.6,5.2,11.0,0.0,True,1,3.0,2.0,1.0
Patson Daka,FWD,Leicester,Wolves,60,0,0,0,1,3,0,0,0,0,0,0,1.4,5.4,6.1,2.0,False,2,3.0,2.0,1.0
Patson Daka,FWD,Leicester,Man City,18,0,0,0,0,-2,0,0,0,0,0,0,4.2,2.0,0.5,39.0,True,1,3.0,5.0,-2.0
