name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Gavin Bazunu,GK,Southampton,Spurs,90,0,0,4,0,20,0,0,0,5,0,0,3.4,33.6,0.0,0.0,False,1,2.0,4.0,-2.0
Gavin Bazunu,GK,Southampton,Leeds,90,0,0,2,0,15,0,0,0,3,0,0,2.7,27.4,0.0,0.0,True,2,2.0,2.0,0.0
Gavin Bazunu,GK,Southampton,Leicester,90,0,0,1,0,9,0,0,0,0,0,0,0.3,3.4,0.0,0.0,False,2,2.0,3.0,-1.0
Gavin Bazunu,GK,Southampton,Man Utd,90,0,0,1,0,17,0,0,0,3,0,0,3.8,28.0,10.0,0.0,True,3,2.0,4.0,-2.0
Gavin Bazunu,GK,Southampton,Chelsea,90,0,0,1,0,16,0,0,0,3,0,0,2.8,28.0,0.0,0.0,True,3,2.0,4.0,-2.0
Gavin Bazunu,GK,Southampton,Wolves,90,0,0,1,0,11,0,0,0,1,0,0,1.3,12.8,0.0,0.0,False,2,2.0,2.0,0.0
Gavin Bazunu,GK,Southampton,Aston Villa,90,0,0,1,0,12,0,0,0,2,0,0,2.1,21.4,0.0,0.0,False,2,2.0,2.0,0.0
Gavin Bazunu,GK,Southampton,Everton,90,0,0,2,0,17,0,0,0,3,0,0,2.7,26.6,0.0,0.0,True,2,2.0,2.0,0.0
Gavin Bazunu,GK,Southampton,Man City,90,0,0,4,0,17,0,0,0,4,0,0,4.0,40.0,0.0,0.0,False,1,2.0,5.0,-3.0
Gavin Bazunu,GK,Southampton,West Ham,90,0,0,1,0,16,0,0,0,3,0,0,2.5,24.6,0.0,0.0,True,3,2.0,3.0,-1.0
Gavin Bazunu,GK,Southampton,Bournemouth,90,0,0,0,1,27,0,0,0,3,0,0,2.4,24.0,0.0,0.0,False,7,2.0,2.0,0.0
Gavin Bazunu,GK,Southampton,Arsenal,90,0,0,1,0,15,0,0,0,2,0,0,2.1,21.0,0.0,0.0,True,2,2.0,4.0,-2.0
Gavin Bazunu,GK,Southampton,Crystal Palace,90,0,0,1,0,16,0,0,0,2,0,0,1.8,18.2,0.0,0.0,False,2,2.0,2.0,0.0
Gavin Bazunu,GK,Southampton,Newcastle,90,0,0,4,0,8,0,0,0,0,0,0,0.4,4.2,0.0,0.0,True,0,2.0,4.0,-2.0
