name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ainsley Maitland-Niles,MID,Arsenal,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Ainsley Maitland-Niles,MID,Arsenal,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Ainsley Maitland-Niles,MID,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Ainsley Maitland-Niles,MID,Arsenal,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Ainsley Maitland-Niles,MID,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Ainsley Maitland-Niles,MID,Arsenal,Wolves,17,0,0,0,0,4,0,0,0,0,0,0,0.5,2.6,0.5,2.0,False,1,4.0,2.0,2.0
Ainsley Maitland-Niles,MID,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Ainsley Maitland-Niles,MID,Arsenal,Everton,66,0,0,2,0,1,1,0,0,0,0,0,0.6,5.0,0.9,0.0,True,1,4.0,2.0,2.0
Ainsley Maitland-Niles,MID,Arsenal,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Ainsley Maitland-Niles,MID,Arsenal,West Ham,74,0,0,1,0,9,0,0,0,0,0,0,1.3,12.6,0.6,0.0,True,2,4.0,3.0,1.0
Ainsley Maitland-Niles,MID,Arsenal,Bournemouth,87,0,0,0,1,8,1,0,0,0,0,0,0.9,6.2,2.8,0.0,False,2,4.0,2.0,2.0
