name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Cheick Doucouré,MID,Crystal Palace,Arsenal,74,0,0,1,0,16,0,0,0,0,0,0,1.0,5.8,3.8,0.0,True,2,2.0,4.0,-2.0
Cheick Doucouré,MID,Crystal Palace,Liverpool,78,0,0,1,0,17,0,0,0,0,0,0,4.4,12.8,28.0,3.0,False,2,2.0,4.0,-2.0
Cheick Doucouré,MID,Crystal Palace,Aston Villa,90,0,0,1,0,10,0,0,0,0,0,0,0.6,2.4,2.3,1.0,True,2,2.0,2.0,0.0
Cheick Doucouré,MID,Crystal Palace,Man City,90,0,0,4,0,9,0,0,0,0,0,0,2.5,17.0,0.6,7.0,False,2,2.0,5.0,-3.0
Cheick Doucouré,MID,Crystal Palace,Brentford,90,0,1,1,0,28,1,0,0,0,0,0,6.4,38.8,25.2,0.0,True,6,2.0,3.0,-1.0
Cheick Doucouré,MID,Crystal Palace,Newcastle,90,0,0,0,1,19,0,0,0,0,0,0,7.5,29.0,22.7,23.0,False,3,2.0,4.0,-2.0
Cheick Doucouré,MID,Crystal Palace,Chelsea,83,0,0,1,0,8,0,0,0,0,0,0,2.1,9.8,10.7,0.0,True,2,2.0,4.0,-2.0
Cheick Doucouré,MID,Crystal Palace,Leeds,63,0,0,1,0,6,1,0,0,0,0,0,2.0,8.8,11.4,0.0,True,1,2.0,2.0,0.0
Cheick Doucouré,MID,Crystal Palace,Leicester,55,0,0,0,0,3,1,0,0,0,0,0,2.4,4.0,12.0,8.0,False,0,2.0,3.0,-1.0
Cheick Doucouré,MID,Crystal Palace,Wolves,90,0,0,1,0,9,1,0,0,0,0,0,2.3,13.0,2.6,7.0,True,1,2.0,2.0,0.0
Cheick Doucouré,MID,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Cheick Doucouré,MID,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Cheick Doucouré,MID,Crystal Palace,West Ham,76,0,0,1,0,15,0,0,0,0,0,0,2.3,12.0,3.8,7.0,False,2,2.0,3.0,-1.0
