name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Conor Gallagher,MID,Chelsea,Everton,1,0,0,0,0,3,0,0,0,0,0,0,0.3,2.2,0.5,0.0,False,1,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Spurs,5,0,0,1,0,8,0,0,0,0,0,0,2.0,6.0,10.3,4.0,True,1,4.0,4.0,0.0
Conor Gallagher,MID,Chelsea,Leeds,63,0,0,2,0,9,0,0,0,0,0,0,4.5,11.4,11.8,22.0,False,2,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Leicester,27,0,0,1,0,-2,0,1,0,0,0,0,0.2,0.0,2.8,0.0,True,-2,4.0,3.0,1.0
Conor Gallagher,MID,Chelsea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,West Ham,59,0,0,0,0,11,0,0,0,0,0,0,3.4,5.8,20.2,8.0,True,1,4.0,3.0,1.0
Conor Gallagher,MID,Chelsea,Crystal Palace,14,1,0,0,0,26,0,0,0,0,0,0,4.6,37.0,0.3,9.0,False,8,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Wolves,85,0,0,0,1,22,0,0,0,0,0,0,8.4,21.6,47.7,15.0,True,3,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Aston Villa,32,0,0,0,0,-1,0,0,0,0,0,0,2.0,4.2,16.0,0.0,False,1,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Brentford,15,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,1,4.0,3.0,1.0
Conor Gallagher,MID,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Conor Gallagher,MID,Chelsea,Brighton,78,0,1,3,0,22,0,0,0,0,0,0,9.7,32.8,29.8,34.0,False,5,4.0,3.0,1.0
Conor Gallagher,MID,Chelsea,Arsenal,26,0,0,0,0,-1,1,0,0,0,0,0,0.4,2.6,0.9,0.0,True,0,4.0,4.0,0.0
Conor Gallagher,MID,Chelsea,Newcastle,90,0,0,1,0,14,0,0,0,0,0,0,5.0,17.4,15.9,17.0,False,2,4.0,4.0,0.0
Conor Gallagher,MID,Chelsea,Bournemouth,8,0,0,0,0,5,0,0,0,0,0,0,2.4,4.0,0.0,20.0,True,1,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Nott'm Forest,18,0,0,0,0,2,1,0,0,0,0,0,0.3,0.0,2.8,0.0,False,0,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Man City,21,0,0,0,0,2,0,0,0,0,0,0,1.3,2.8,10.6,0.0,True,1,4.0,5.0,-1.0
Conor Gallagher,MID,Chelsea,Fulham,11,0,0,0,0,3,0,0,0,0,0,0,0.2,2.2,0.1,0.0,False,1,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Crystal Palace,90,0,0,0,1,20,1,0,0,0,0,0,8.3,33.6,43.0,6.0,True,2,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Liverpool,90,0,0,0,1,3,0,0,0,0,0,0,4.5,9.0,16.1,20.0,False,3,4.0,4.0,0.0
Conor Gallagher,MID,Chelsea,Fulham,90,0,0,0,1,9,1,0,0,0,0,0,4.7,11.0,30.6,5.0,True,2,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,West Ham,11,0,0,0,0,4,0,0,0,0,0,0,0.7,3.8,0.9,2.0,False,1,4.0,3.0,1.0
Conor Gallagher,MID,Chelsea,Southampton,6,0,0,0,0,4,0,0,0,0,0,0,2.4,4.2,0.3,19.0,True,1,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Conor Gallagher,MID,Chelsea,Leeds,22,0,0,0,0,3,1,0,0,0,0,0,1.0,3.6,1.4,5.0,True,0,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Leicester,45,0,0,0,0,6,0,0,0,0,0,0,5.7,25.2,12.6,19.0,False,1,4.0,3.0,1.0
Conor Gallagher,MID,Chelsea,Everton,28,0,0,2,0,0,0,0,0,0,0,0,0.8,2.2,1.9,4.0,True,1,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Aston Villa,10,0,0,0,0,1,0,0,0,0,0,0,0.2,0.0,0.1,2.0,True,1,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Liverpool,21,0,0,0,0,3,0,0,0,0,0,0,0.3,1.8,1.4,0.0,True,1,4.0,4.0,0.0
Conor Gallagher,MID,Chelsea,Wolves,90,0,0,1,0,5,1,0,0,0,0,0,4.9,8.6,18.8,22.0,False,1,4.0,2.0,2.0
Conor Gallagher,MID,Chelsea,Brighton,90,1,0,2,0,29,1,0,0,0,0,0,7.4,57.6,3.6,13.0,True,8,4.0,3.0,1.0
Conor Gallagher,MID,Chelsea,Brentford,45,0,0,1,0,6,0,0,0,0,0,0,1.8,4.2,13.5,0.0,True,1,4.0,3.0,1.0
