name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Enzo Fernández,MID,Chelsea,Fulham,90,0,0,0,1,22,0,0,0,0,0,0,4.4,31.2,11.6,1.0,True,3,4.0,2.0,2.0
Enzo Fernández,MID,Chelsea,West Ham,90,0,1,1,0,21,0,0,0,0,0,0,5.8,34.0,19.6,4.0,False,6,4.0,3.0,1.0
Enzo Fernández,MID,Chelsea,Southampton,90,0,0,1,0,14,0,0,0,0,0,0,2.0,16.0,2.1,2.0,True,2,4.0,2.0,2.0
Enzo Fernández,MID,Chelsea,Spurs,90,0,0,2,0,15,0,0,0,0,0,0,5.0,22.0,24.3,4.0,False,2,4.0,4.0,0.0
Enzo Fernández,MID,Chelsea,Leeds,83,0,0,0,1,9,0,0,0,0,0,0,2.3,7.2,6.3,9.0,True,3,4.0,2.0,2.0
Enzo Fernández,MID,Chelsea,Leicester,90,0,1,1,0,23,0,0,0,0,0,0,5.2,35.0,16.7,0.0,False,5,4.0,3.0,1.0
Enzo Fernández,MID,Chelsea,Everton,90,0,0,2,0,15,0,0,0,0,0,0,6.1,20.6,26.0,14.0,True,2,4.0,2.0,2.0
Enzo Fernández,MID,Chelsea,Aston Villa,90,0,0,2,0,17,1,0,0,0,0,0,8.5,18.8,60.3,6.0,True,1,4.0,2.0,2.0
Enzo Fernández,MID,Chelsea,Liverpool,90,0,0,0,1,15,0,0,0,0,0,0,1.4,10.0,2.8,1.0,True,3,4.0,4.0,0.0
Enzo Fernández,MID,Chelsea,Wolves,90,0,0,1,0,15,0,0,0,0,0,0,2.5,19.0,6.3,0.0,False,2,4.0,2.0,2.0
Enzo Fernández,MID,Chelsea,Brighton,56,0,0,1,0,2,0,0,0,0,0,0,0.2,1.4,0.5,0.0,True,1,4.0,3.0,1.0
Enzo Fernández,MID,Chelsea,Brentford,78,0,0,2,0,17,0,0,0,0,0,0,7.7,23.0,37.1,17.0,True,2,4.0,3.0,1.0
Enzo Fernández,MID,Chelsea,Arsenal,70,0,0,3,0,11,0,0,0,0,0,0,1.5,4.4,8.3,2.0,False,2,4.0,4.0,0.0
Enzo Fernández,MID,Chelsea,Bournemouth,90,0,0,1,0,16,0,0,0,0,0,0,1.9,9.8,6.1,3.0,False,2,4.0,2.0,2.0
Enzo Fernández,MID,Chelsea,Nott'm Forest,90,0,0,2,0,10,0,0,0,0,0,0,4.9,14.8,33.6,1.0,True,2,4.0,2.0,2.0
Enzo Fernández,MID,Chelsea,Man City,90,0,0,1,0,8,1,0,0,0,0,0,2.4,8.6,15.5,0.0,False,1,4.0,5.0,-1.0
Enzo Fernández,MID,Chelsea,Man Utd,90,0,0,4,0,20,1,0,0,0,0,0,5.3,22.4,30.2,0.0,False,1,4.0,4.0,0.0
Enzo Fernández,MID,Chelsea,Newcastle,90,0,0,1,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2,4.0,4.0,0.0
