name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Frank Onyeka,MID,Brentford,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Frank Onyeka,MID,Brentford,Man Utd,10,0,0,0,0,3,0,0,0,0,0,0,0.1,0.0,0.7,0.0,True,1,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Crystal Palace,22,0,0,0,0,5,0,0,0,0,0,0,1.9,5.2,11.3,2.0,False,1,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Leeds,31,0,0,1,0,5,0,0,0,0,0,0,0.6,6.0,0.0,0.0,True,1,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Arsenal,27,0,0,0,0,1,0,0,0,0,0,0,0.2,0.4,1.3,0.0,True,1,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,Bournemouth,6,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Newcastle,27,0,0,2,0,4,0,0,0,0,0,0,0.5,2.2,0.8,2.0,False,1,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,Brighton,70,0,1,0,1,14,0,0,0,0,0,0,3.9,20.0,11.1,8.0,True,6,3.0,3.0,0.0
Frank Onyeka,MID,Brentford,Chelsea,59,0,0,0,0,1,0,0,0,0,0,0,0.9,4.4,2.7,2.0,True,1,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,Aston Villa,45,0,0,3,0,5,0,0,0,0,0,0,5.2,7.6,20.4,24.0,False,1,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Wolves,7,0,0,0,0,6,0,0,0,0,0,0,0.9,8.4,0.1,0.0,True,1,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Nott'm Forest,45,0,0,1,0,5,0,0,0,0,0,0,0.7,6.4,0.6,0.0,False,1,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Man City,86,0,0,1,0,3,0,0,0,0,0,0,4.2,10.4,10.9,21.0,False,2,3.0,5.0,-2.0
Frank Onyeka,MID,Brentford,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Frank Onyeka,MID,Brentford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Everton,16,0,0,0,0,2,0,0,0,0,0,0,0.3,2.2,1.0,0.0,False,1,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Southampton,45,0,0,0,0,4,0,0,0,0,0,0,0.5,5.4,0.0,0.0,False,1,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Frank Onyeka,MID,Brentford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Frank Onyeka,MID,Brentford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Aston Villa,45,0,0,1,0,-2,0,0,0,0,0,0,2.6,4.2,0.5,21.0,True,1,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Chelsea,61,0,0,0,1,8,0,0,0,0,0,0,0.8,4.0,1.9,2.0,False,3,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,Nott'm Forest,19,0,2,0,0,22,0,0,0,0,0,0,4.2,21.0,12.0,9.0,True,7,3.0,2.0,1.0
Frank Onyeka,MID,Brentford,Liverpool,71,0,0,1,0,7,0,0,0,0,0,0,0.6,2.2,1.5,2.0,False,2,3.0,4.0,-1.0
Frank Onyeka,MID,Brentford,West Ham,20,0,0,0,0,2,0,0,0,0,0,0,2.2,9.2,1.3,11.0,True,1,3.0,3.0,0.0
