name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Fábio Ferreira Vieira,MID,Arsenal,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Fábio Ferreira Vieira,MID,Arsenal,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Fábio Ferreira Vieira,MID,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Fábio Ferreira Vieira,MID,Arsenal,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Fábio Ferreira Vieira,MID,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Fábio Ferreira Vieira,MID,Arsenal,Man Utd,16,0,0,1,0,4,0,0,0,0,0,0,1.6,4.8,1.2,10.0,False,1,4.0,4.0,0.0
Fábio Ferreira Vieira,MID,Arsenal,Brentford,90,1,0,0,1,31,0,0,0,0,0,0,6.0,38.0,15.3,7.0,False,10,4.0,3.0,1.0
Fábio Ferreira Vieira,MID,Arsenal,Spurs,10,0,0,0,0,3,0,0,0,0,0,0,3.9,5.8,15.0,18.0,True,1,4.0,4.0,0.0
Fábio Ferreira Vieira,MID,Arsenal,Liverpool,1,0,0,0,0,3,0,0,0,0,0,0,0.5,4.4,0.5,0.0,True,1,4.0,4.0,0.0
Fábio Ferreira Vieira,MID,Arsenal,Leeds,17,0,0,0,0,2,0,0,0,0,0,0,1.6,1.2,14.8,0.0,False,1,4.0,2.0,2.0
Fábio Ferreira Vieira,MID,Arsenal,Southampton,7,0,0,0,0,1,0,0,0,0,0,0,0.3,2.4,0.5,0.0,False,1,4.0,2.0,2.0
