name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Idrissa Gueye,MID,Everton,Liverpool,28,0,0,0,0,5,0,0,0,0,0,0,0.5,4.6,0.8,0.0,True,1,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,West Ham,90,0,0,0,1,16,0,0,0,0,0,0,2.2,18.2,3.3,0.0,True,3,2.0,3.0,-1.0
Idrissa Gueye,MID,Everton,Southampton,90,0,0,1,0,15,1,0,0,0,0,0,1.8,16.4,1.3,0.0,False,1,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Man Utd,75,0,0,2,0,6,0,0,0,0,0,0,0.0,0.0,1.3,0.0,True,2,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Spurs,80,0,0,1,0,11,1,0,0,0,0,0,0.5,4.2,0.9,0.0,False,1,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Newcastle,90,0,0,1,0,9,1,0,0,0,0,0,1.6,12.6,1.8,2.0,False,1,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Crystal Palace,85,0,0,0,1,13,0,0,0,0,0,0,2.4,10.4,13.3,0.0,True,3,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Fulham,64,0,0,0,1,13,0,0,0,0,0,0,1.3,12.2,0.9,0.0,False,3,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Leicester,45,0,0,1,0,9,0,0,0,0,0,0,1.4,12.8,0.8,0.0,True,1,2.0,3.0,-1.0
Idrissa Gueye,MID,Everton,Bournemouth,90,0,0,3,0,10,0,0,0,0,0,0,3.3,18.8,13.7,0.0,False,2,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Wolves,83,0,0,1,0,19,0,0,0,0,0,0,3.4,19.6,14.8,0.0,True,3,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Man City,77,0,1,1,0,19,0,0,0,0,0,0,5.1,29.6,21.6,0.0,False,5,2.0,5.0,-3.0
Idrissa Gueye,MID,Everton,Brighton,63,0,0,4,0,8,0,0,0,0,0,0,1.3,10.4,2.4,0.0,True,2,2.0,3.0,-1.0
Idrissa Gueye,MID,Everton,Southampton,81,0,0,2,0,9,0,0,0,0,0,0,1.4,11.2,3.0,0.0,True,2,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,West Ham,90,0,0,2,0,16,0,0,0,0,0,0,3.3,12.2,9.6,11.0,False,2,2.0,3.0,-1.0
Idrissa Gueye,MID,Everton,Arsenal,90,0,0,0,1,5,0,0,0,0,0,0,0.8,5.6,2.0,0.0,True,3,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Liverpool,90,0,0,2,0,10,0,0,0,0,0,0,1.8,15.6,1.8,1.0,False,2,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Leeds,90,0,0,0,1,11,0,0,0,0,0,0,2.8,13.8,11.6,3.0,True,3,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Aston Villa,90,0,0,2,0,4,0,0,0,0,0,0,1.7,11.8,2.7,2.0,True,2,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Arsenal,45,0,0,2,0,2,0,0,0,0,0,0,0.0,0.0,1.3,0.0,False,1,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Nott'm Forest,90,0,0,2,0,12,0,0,0,0,0,0,2.7,19.2,2.2,6.0,False,2,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Brentford,90,0,0,0,1,21,0,0,0,0,0,0,4.2,23.2,12.0,7.0,True,3,2.0,3.0,-1.0
Idrissa Gueye,MID,Everton,Chelsea,78,0,0,2,0,5,1,0,0,0,0,0,0.7,6.2,1.1,0.0,False,1,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Spurs,83,0,0,1,0,15,0,0,0,0,0,0,4.0,14.4,14.4,11.0,True,2,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Man Utd,59,0,0,1,0,17,0,0,0,0,0,0,3.8,25.4,10.7,2.0,False,1,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Fulham,68,0,0,3,0,5,1,0,0,0,0,0,1.7,14.8,2.2,0.0,True,1,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Crystal Palace,90,0,0,0,1,12,0,0,0,0,0,0,2.1,17.8,1.8,1.0,False,3,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Newcastle,81,0,0,4,0,13,0,0,0,0,0,0,4.0,9.0,22.6,8.0,True,2,2.0,4.0,-2.0
Idrissa Gueye,MID,Everton,Leicester,90,0,0,2,0,7,1,0,0,0,0,0,0.4,0.4,2.6,1.0,False,1,2.0,3.0,-1.0
Idrissa Gueye,MID,Everton,Brighton,86,0,0,1,0,6,1,0,0,0,0,0,2.4,18.0,0.5,5.0,False,1,2.0,3.0,-1.0
Idrissa Gueye,MID,Everton,Man City,55,0,0,3,0,9,0,0,0,0,0,0,0.8,7.2,0.4,0.0,True,1,2.0,5.0,-3.0
Idrissa Gueye,MID,Everton,Wolves,81,0,0,1,0,9,0,0,0,0,0,0,1.9,3.6,14.3,1.0,False,2,2.0,2.0,0.0
Idrissa Gueye,MID,Everton,Bournemouth,90,0,0,0,1,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,3,2.0,2.0,0.0
