name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
João Filipe Iria Santos Moutinho,MID,Wolves,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Spurs,57,0,0,0,0,13,0,0,0,0,0,0,6.3,10.8,51.8,0.0,False,1,2.0,4.0,-2.0
João Filipe Iria Santos Moutinho,MID,Wolves,Newcastle,90,0,0,1,0,9,0,0,0,0,0,0,3.5,14.8,11.8,8.0,True,2,2.0,4.0,-2.0
João Filipe Iria Santos Moutinho,MID,Wolves,Bournemouth,90,0,0,0,1,17,0,0,0,0,0,0,9.7,25.6,43.5,28.0,False,3,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Southampton,90,0,0,0,1,13,1,0,0,0,0,0,1.7,12.8,4.2,0.0,True,2,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Man City,90,0,0,3,0,10,0,0,0,0,0,0,2.9,16.0,5.0,8.0,True,2,2.0,5.0,-3.0
João Filipe Iria Santos Moutinho,MID,Wolves,West Ham,90,0,0,2,0,11,1,0,0,0,0,0,2.3,8.2,15.1,0.0,False,1,2.0,3.0,-1.0
João Filipe Iria Santos Moutinho,MID,Wolves,Chelsea,90,0,0,3,0,23,0,0,0,0,0,0,6.7,27.8,31.7,7.0,False,2,2.0,4.0,-2.0
João Filipe Iria Santos Moutinho,MID,Wolves,Nott'm Forest,81,0,0,0,1,12,0,0,0,0,0,0,4.6,14.8,31.1,0.0,True,3,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Crystal Palace,32,0,0,1,0,9,0,0,0,0,0,0,1.3,5.6,1.8,6.0,False,1,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Leicester,80,0,0,4,0,18,0,0,0,0,0,0,8.2,9.8,70.4,2.0,True,2,2.0,3.0,-1.0
João Filipe Iria Santos Moutinho,MID,Wolves,Brentford,49,0,0,1,0,5,0,0,0,0,0,0,3.7,7.2,22.0,8.0,False,1,2.0,3.0,-1.0
João Filipe Iria Santos Moutinho,MID,Wolves,Brighton,90,0,0,3,0,10,0,0,0,0,0,0,0.8,6.8,1.3,0.0,True,2,2.0,3.0,-1.0
João Filipe Iria Santos Moutinho,MID,Wolves,Arsenal,67,0,0,1,0,10,0,0,0,0,0,0,0.7,4.2,3.0,0.0,True,2,2.0,4.0,-2.0
João Filipe Iria Santos Moutinho,MID,Wolves,Everton,77,0,1,1,0,18,0,0,0,0,0,0,3.4,18.8,15.3,0.0,False,5,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Man Utd,72,0,0,0,1,8,0,0,0,0,0,0,3.7,4.0,13.3,20.0,True,3,2.0,4.0,-2.0
João Filipe Iria Santos Moutinho,MID,Wolves,Aston Villa,58,0,1,0,0,16,0,0,0,0,0,0,4.7,20.6,26.3,0.0,False,4,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,West Ham,72,0,0,0,1,16,0,0,0,0,0,0,5.4,10.2,35.9,8.0,True,3,2.0,3.0,-1.0
João Filipe Iria Santos Moutinho,MID,Wolves,Man City,45,0,0,2,0,6,0,0,0,0,0,0,3.1,9.6,20.0,1.0,False,1,2.0,5.0,-3.0
João Filipe Iria Santos Moutinho,MID,Wolves,Liverpool,30,0,0,0,0,4,0,0,0,0,0,0,0.7,5.8,0.7,0.0,True,1,2.0,4.0,-2.0
João Filipe Iria Santos Moutinho,MID,Wolves,Southampton,45,0,0,1,0,7,0,0,0,0,0,0,2.8,13.8,13.9,0.0,False,1,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Bournemouth,69,0,0,1,0,13,0,0,0,0,0,0,5.3,5.8,42.8,4.0,True,2,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Fulham,14,0,0,0,0,4,0,0,0,0,0,0,0.2,1.8,0.2,0.0,False,1,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Liverpool,63,0,0,0,1,8,0,0,0,0,0,0,3.2,10.6,2.1,19.0,False,3,2.0,4.0,-2.0
João Filipe Iria Santos Moutinho,MID,Wolves,Spurs,23,0,0,0,0,7,0,0,0,0,0,0,3.5,8.0,27.2,0.0,True,1,2.0,4.0,-2.0
João Filipe Iria Santos Moutinho,MID,Wolves,Newcastle,74,0,0,1,0,8,0,0,0,0,0,0,5.0,17.0,15.8,17.0,False,2,2.0,4.0,-2.0
João Filipe Iria Santos Moutinho,MID,Wolves,Leeds,14,0,0,1,0,7,0,0,0,0,0,0,0.9,7.8,1.0,0.0,True,1,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Nott'm Forest,45,0,0,1,0,3,1,0,0,0,0,0,0.8,1.4,2.5,4.0,False,0,2.0,2.0,0.0
João Filipe Iria Santos Moutinho,MID,Wolves,Chelsea,26,0,0,0,0,3,0,0,0,0,0,0,0.5,3.6,1.3,0.0,True,1,2.0,4.0,-2.0
