name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Kiernan Dewsbury-Hall,MID,Leicester,Brentford,72,1,0,1,0,34,0,0,0,0,0,0,6.7,42.4,15.3,9.0,True,10,3.0,3.0,0.0
Kiernan Dewsbury-Hall,MID,Leicester,Arsenal,90,0,0,4,0,6,0,0,0,0,0,0,0.6,1.4,3.3,1.0,False,2,3.0,4.0,-1.0
Kiernan Dewsbury-Hall,MID,Leicester,Southampton,90,0,0,2,0,13,0,0,0,0,0,0,4.9,21.6,17.6,10.0,True,2,3.0,2.0,1.0
Kiernan Dewsbury-Hall,MID,Leicester,Chelsea,90,0,0,2,0,7,1,0,0,0,0,0,2.4,6.0,17.8,0.0,False,1,3.0,4.0,-1.0
Kiernan Dewsbury-Hall,MID,Leicester,Man Utd,90,0,0,1,0,17,0,0,0,0,0,0,7.2,20.4,28.3,23.0,True,2,3.0,4.0,-1.0
Kiernan Dewsbury-Hall,MID,Leicester,Brighton,18,0,0,1,0,2,0,0,0,0,0,0,0.1,0.8,0.6,0.0,False,1,3.0,3.0,0.0
Kiernan Dewsbury-Hall,MID,Leicester,Spurs,73,0,0,4,0,13,0,0,0,0,0,0,6.5,11.0,46.7,7.0,False,2,3.0,4.0,-1.0
Kiernan Dewsbury-Hall,MID,Leicester,Nott'm Forest,90,0,1,0,1,15,0,0,0,0,0,0,1.9,4.4,3.3,11.0,True,6,3.0,2.0,1.0
Kiernan Dewsbury-Hall,MID,Leicester,Bournemouth,90,0,0,2,0,14,0,0,0,0,0,0,5.0,17.2,23.0,10.0,False,2,3.0,2.0,1.0
Kiernan Dewsbury-Hall,MID,Leicester,Crystal Palace,90,0,0,0,1,11,0,0,0,0,0,0,4.8,10.4,25.4,12.0,True,3,3.0,2.0,1.0
