name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Pierre-Emile Højbjerg,MID,Spurs,Southampton,90,0,0,1,0,16,0,0,0,0,0,0,4.7,19.8,26.9,0.0,True,2,4.0,2.0,2.0
Pierre-Emile Højbjerg,MID,Spurs,Chelsea,90,1,0,2,0,40,0,0,0,0,0,0,9.0,68.2,14.8,7.0,False,10,4.0,4.0,0.0
Pierre-Emile Højbjerg,MID,Spurs,Wolves,90,0,0,0,1,12,1,0,0,0,0,0,3.6,24.8,4.4,7.0,True,2,4.0,2.0,2.0
Pierre-Emile Højbjerg,MID,Spurs,Nott'm Forest,90,0,0,0,1,18,0,0,0,0,0,0,6.8,24.8,39.5,4.0,False,3,4.0,2.0,2.0
Pierre-Emile Højbjerg,MID,Spurs,West Ham,90,0,0,1,0,14,0,0,0,0,0,0,3.7,14.8,15.3,7.0,False,2,4.0,3.0,1.0
Pierre-Emile Højbjerg,MID,Spurs,Fulham,90,1,0,1,0,29,0,0,0,0,0,0,6.6,41.4,3.7,21.0,True,9,4.0,2.0,2.0
Pierre-Emile Højbjerg,MID,Spurs,Leicester,90,0,1,2,0,30,0,0,0,0,0,0,5.9,32.8,23.5,3.0,True,5,4.0,3.0,1.0
Pierre-Emile Højbjerg,MID,Spurs,Arsenal,74,0,0,3,0,11,0,0,0,0,0,0,2.1,11.0,1.3,9.0,False,2,4.0,4.0,0.0
Pierre-Emile Højbjerg,MID,Spurs,Brighton,90,0,0,0,1,15,0,0,0,0,0,0,4.1,20.8,18.6,2.0,False,3,4.0,3.0,1.0
Pierre-Emile Højbjerg,MID,Spurs,Everton,90,1,0,0,1,26,0,0,0,0,0,0,5.7,33.0,5.6,18.0,True,9,4.0,2.0,2.0
Pierre-Emile Højbjerg,MID,Spurs,Man Utd,90,0,0,2,0,13,0,0,0,0,0,0,1.2,7.8,4.3,0.0,False,2,4.0,4.0,0.0
Pierre-Emile Højbjerg,MID,Spurs,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Pierre-Emile Højbjerg,MID,Spurs,Bournemouth,90,0,1,2,0,21,0,0,0,0,0,0,7.9,25.8,35.9,17.0,False,5,4.0,2.0,2.0
Pierre-Emile Højbjerg,MID,Spurs,Liverpool,90,0,0,2,0,12,0,0,0,0,0,0,3.6,13.2,3.6,19.0,True,2,4.0,4.0,0.0
Pierre-Emile Højbjerg,MID,Spurs,Leeds,90,0,0,3,0,10,0,0,0,0,0,0,2.1,9.2,8.0,4.0,True,2,4.0,2.0,2.0
Pierre-Emile Højbjerg,MID,Spurs,Brentford,90,1,0,2,0,37,0,0,0,0,0,0,13.2,57.4,39.1,35.0,False,10,4.0,3.0,1.0
Pierre-Emile Højbjerg,MID,Spurs,Aston Villa,87,0,0,2,0,12,0,0,0,0,0,0,3.6,18.8,15.2,2.0,True,2,4.0,2.0,2.0
