name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Raheem Sterling,MID,Chelsea,Everton,90,0,0,0,1,-1,0,0,0,0,0,0,9.3,7.0,29.8,56.0,False,3,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Spurs,83,0,1,1,0,11,0,0,0,0,0,0,8.1,19.0,26.2,36.0,True,5,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Leeds,86,0,0,3,0,-1,1,0,0,0,0,0,2.1,0.6,12.8,8.0,False,1,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Leicester,74,2,0,1,0,39,0,0,0,0,0,0,13.1,68.6,16.1,46.0,True,15,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Southampton,90,1,0,2,0,25,0,0,0,0,0,0,12.7,43.0,31.5,52.0,False,8,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,West Ham,90,0,0,1,0,9,0,0,0,0,0,0,1.9,4.2,7.2,8.0,True,2,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Crystal Palace,90,0,0,1,0,2,0,0,0,0,0,0,9.9,10.2,34.5,54.0,False,2,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Aston Villa,88,0,0,0,1,-2,0,0,0,0,0,0,4.8,2.4,12.8,33.0,False,3,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Brentford,28,0,0,0,0,8,0,0,0,0,0,0,5.7,7.8,29.2,20.0,False,1,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Man Utd,78,0,0,0,1,6,0,0,0,0,0,0,3.1,5.2,18.2,8.0,True,3,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Brighton,62,0,0,3,0,4,1,0,0,0,0,0,4.6,5.0,30.5,10.0,False,1,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Arsenal,90,0,0,1,0,-4,1,0,0,0,0,0,2.0,3.6,12.6,4.0,True,1,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Bournemouth,87,0,1,0,1,26,0,0,0,0,0,0,8.5,26.6,35.8,23.0,True,6,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Nott'm Forest,71,1,0,1,0,19,0,0,0,0,0,0,8.9,38.8,17.1,33.0,False,9,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Man City,4,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,4.0,5.0,-1.0
Raheem Sterling,MID,Chelsea,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Fulham,30,0,0,0,0,3,0,0,0,0,0,0,2.7,5.6,2.3,19.0,True,1,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Southampton,45,0,0,0,0,-3,0,0,0,0,0,0,5.0,4.6,13.3,32.0,True,1,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Spurs,82,0,0,2,0,7,0,0,0,0,0,0,3.9,6.6,5.8,27.0,False,2,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Leeds,67,0,0,0,1,14,0,0,0,0,0,0,6.2,9.6,39.8,13.0,True,3,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Liverpool,5,0,0,0,0,1,0,0,0,0,0,0,0.1,1.0,0.3,0.0,True,1,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Wolves,67,0,0,1,0,2,1,0,0,0,0,0,2.2,1.6,12.8,8.0,False,1,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Brighton,56,0,0,1,0,0,0,0,0,0,0,0,0.4,0.0,4.0,2.0,True,1,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Brentford,78,0,0,2,0,16,0,0,0,0,0,0,4.5,6.0,32.3,7.0,True,2,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Arsenal,70,0,0,3,0,6,0,0,0,0,0,0,1.6,3.2,2.3,10.0,False,2,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Bournemouth,27,0,1,0,0,11,0,0,0,0,0,0,3.2,16.0,12.3,4.0,False,4,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Nott'm Forest,90,2,0,2,0,50,0,0,0,0,0,0,15.8,80.2,19.4,58.0,True,15,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Man City,68,0,0,1,0,6,0,0,0,0,0,0,6.5,11.8,20.9,32.0,False,2,4.0,5.0,-1.0
Raheem Sterling,MID,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Newcastle,90,0,1,1,0,18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,5,4.0,4.0,0.0
