name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Tomas Soucek,MID,West Ham,Man City,90,0,0,2,0,10,0,0,0,0,0,0,0.8,7.6,0.8,0.0,True,2,3.0,5.0,-2.0
Tomas Soucek,MID,West Ham,Nott'm Forest,90,0,0,1,0,3,0,0,0,0,0,0,6.9,18.0,2.6,48.0,False,2,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Brighton,90,0,0,2,0,11,0,0,0,0,0,0,7.5,17.8,1.6,56.0,True,2,3.0,3.0,0.0
Tomas Soucek,MID,West Ham,Aston Villa,90,0,0,0,1,12,0,0,0,0,0,0,2.4,13.0,11.1,0.0,False,3,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Spurs,90,1,0,1,0,36,0,0,0,0,0,0,10.6,53.0,4.1,49.0,True,10,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Chelsea,90,0,0,2,0,12,0,0,0,0,0,0,1.5,14.4,0.3,0.0,False,2,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Everton,90,0,0,1,0,11,0,0,0,0,0,0,3.3,13.0,11.6,8.0,False,2,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Wolves,90,0,0,0,1,11,0,0,0,0,0,0,5.8,29.4,26.2,2.0,True,3,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Fulham,90,0,0,1,0,17,0,0,0,0,0,0,3.4,19.2,12.5,2.0,True,2,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Southampton,90,0,0,1,0,11,0,0,0,0,0,0,4.3,17.6,0.9,24.0,False,2,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Liverpool,90,0,0,1,0,4,0,0,0,0,0,0,5.0,14.8,2.3,33.0,False,2,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Bournemouth,90,0,1,0,1,26,0,0,0,0,0,0,6.1,30.2,22.3,8.0,True,6,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Man Utd,90,0,0,1,0,6,1,0,0,0,0,0,3.5,15.4,5.8,14.0,False,1,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Crystal Palace,63,0,0,1,0,9,0,0,0,0,0,0,1.3,12.8,0.4,0.0,True,2,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Leicester,74,0,0,1,0,6,0,0,0,0,0,0,0.9,5.2,0.7,3.0,True,2,3.0,3.0,0.0
Tomas Soucek,MID,West Ham,Arsenal,77,0,0,3,0,6,0,0,0,0,0,0,2.0,6.6,11.2,2.0,False,2,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Brentford,8,0,0,0,0,3,0,0,0,0,0,0,0.1,0.4,0.7,0.0,True,1,3.0,3.0,0.0
Tomas Soucek,MID,West Ham,Leeds,90,0,0,2,0,1,0,0,0,0,0,0,1.9,13.0,1.8,4.0,False,2,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Wolves,59,0,0,1,0,3,0,0,0,0,0,0,1.9,7.0,1.0,11.0,False,1,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Everton,18,0,0,0,0,4,0,0,0,0,0,0,0.4,4.2,0.1,0.0,True,1,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Newcastle,16,0,0,0,0,3,0,0,0,0,0,0,0.5,5.2,0.1,0.0,False,1,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Chelsea,76,0,0,1,0,5,0,0,0,0,0,0,5.2,20.4,15.3,16.0,True,2,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Spurs,90,0,0,2,0,16,0,0,0,0,0,0,5.0,26.8,12.7,10.0,False,2,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Nott'm Forest,90,0,0,0,1,5,0,0,0,0,0,0,2.7,7.0,12.8,7.0,True,3,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Brighton,74,0,0,3,0,3,1,0,0,0,0,0,2.8,10.6,0.7,17.0,False,1,3.0,3.0,0.0
Tomas Soucek,MID,West Ham,Aston Villa,90,0,0,1,0,11,0,0,0,0,0,0,1.5,8.0,4.6,2.0,True,2,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Southampton,67,0,0,0,1,0,0,0,0,0,0,0,0.4,2.2,1.8,0.0,True,3,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Newcastle,62,0,0,3,0,5,0,0,0,0,0,0,0.0,0.0,0.5,0.0,True,2,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Fulham,90,0,0,0,1,14,0,0,0,0,0,0,4.6,26.6,15.0,4.0,False,3,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Arsenal,90,0,0,2,0,7,0,0,0,0,0,0,2.5,9.2,1.0,15.0,True,2,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Bournemouth,90,0,1,0,1,24,0,0,0,0,0,0,8.3,35.2,24.9,23.0,False,6,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Liverpool,90,0,0,2,0,5,0,0,0,0,0,0,1.1,5.6,1.3,4.0,True,2,3.0,4.0,-1.0
Tomas Soucek,MID,West Ham,Crystal Palace,90,1,2,4,0,39,1,0,0,0,0,0,11.1,66.0,11.7,33.0,False,15,3.0,2.0,1.0
Tomas Soucek,MID,West Ham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Tomas Soucek,MID,West Ham,Man Utd,90,0,0,0,1,8,0,0,0,0,0,0,3.8,9.8,4.8,23.0,True,3,3.0,4.0,-1.0
