name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Vitaly Janelt,MID,Brentford,Leicester,90,0,0,2,0,14,0,0,0,0,0,0,4.1,15.2,23.7,2.0,False,2,3.0,3.0,0.0
Vitaly Janelt,MID,Brentford,Man Utd,28,0,0,0,0,6,0,0,0,0,0,0,4.7,8.2,0.8,38.0,True,1,3.0,4.0,-1.0
Vitaly Janelt,MID,Brentford,Fulham,30,0,0,1,0,3,0,0,0,0,0,0,0.3,2.8,0.3,0.0,False,1,3.0,2.0,1.0
Vitaly Janelt,MID,Brentford,Everton,21,1,0,0,0,19,0,0,0,0,0,0,9.7,35.0,2.2,60.0,True,6,3.0,2.0,1.0
Vitaly Janelt,MID,Brentford,Crystal Palace,90,0,1,1,0,29,0,0,0,0,0,0,5.1,28.6,16.8,6.0,False,8,3.0,2.0,1.0
Vitaly Janelt,MID,Brentford,Leeds,66,0,0,1,0,17,0,0,0,0,0,0,1.5,13.8,0.7,0.0,True,2,3.0,2.0,1.0
Vitaly Janelt,MID,Brentford,Arsenal,62,0,0,3,0,8,0,0,0,0,0,0,0.6,5.4,0.3,0.0,True,2,3.0,4.0,-1.0
Vitaly Janelt,MID,Brentford,Bournemouth,90,0,0,0,1,18,0,0,0,0,0,0,3.7,14.8,22.6,0.0,False,3,3.0,2.0,1.0
Vitaly Janelt,MID,Brentford,Newcastle,45,0,0,3,0,5,0,0,0,0,0,0,1.2,6.0,5.6,0.0,False,1,3.0,4.0,-1.0
Vitaly Janelt,MID,Brentford,Brighton,90,0,0,0,1,9,0,0,0,0,0,0,2.4,22.8,1.1,0.0,True,3,3.0,3.0,0.0
Vitaly Janelt,MID,Brentford,Chelsea,90,0,0,0,1,10,0,0,0,0,0,0,3.5,12.8,1.8,20.0,True,3,3.0,4.0,-1.0
Vitaly Janelt,MID,Brentford,Aston Villa,90,0,0,4,0,15,0,0,0,0,0,0,2.1,9.2,12.1,0.0,False,2,3.0,2.0,1.0
Vitaly Janelt,MID,Brentford,Wolves,90,0,0,1,0,10,0,0,0,0,0,0,1.4,8.0,1.7,4.0,True,2,3.0,2.0,1.0
Vitaly Janelt,MID,Brentford,Nott'm Forest,45,0,0,1,0,0,1,0,0,0,0,0,0.1,0.2,0.6,0.0,False,0,3.0,2.0,1.0
Vitaly Janelt,MID,Brentford,Man City,61,0,0,1,0,10,0,0,0,0,0,0,0.9,8.4,0.2,0.0,False,2,3.0,5.0,-2.0
