name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Aaron Ramsdale,GK,Arsenal,Crystal Palace,90,0,0,0,1,25,0,0,0,2,0,0,1.9,19.0,0.0,0.0,False,6,4.0,2.0,2.0
Aaron Ramsdale,GK,Arsenal,Leicester,90,0,0,2,0,10,0,0,0,1,0,0,1.2,11.6,0.0,0.0,True,1,4.0,3.0,1.0
Aaron Ramsdale,GK,Arsenal,Bournemouth,90,0,0,0,1,20,0,0,0,1,0,0,0.8,7.6,0.0,0.0,False,6,4.0,2.0,2.0
Aaron Ramsdale,GK,Arsenal,Fulham,90,0,0,1,0,12,0,0,0,2,0,0,1.9,18.8,0.0,0.0,True,2,4.0,2.0,2.0
Aaron Ramsdale,GK,Arsenal,Aston Villa,90,0,0,1,0,13,0,0,0,2,0,0,1.7,17.4,0.0,0.0,True,2,4.0,2.0,2.0
Aaron Ramsdale,GK,Arsenal,Man Utd,90,0,0,3,0,14,0,0,0,3,0,0,2.5,25.2,0.0,0.0,False,2,4.0,4.0,0.0
Aaron Ramsdale,GK,Arsenal,Brentford,90,0,0,0,1,24,0,0,0,2,0,0,1.8,17.8,0.0,0.0,False,6,4.0,3.0,1.0
Aaron Ramsdale,GK,Arsenal,Spurs,90,0,0,1,0,12,0,0,0,2,0,0,1.9,19.2,0.0,0.0,True,2,4.0,4.0,0.0
Aaron Ramsdale,GK,Arsenal,Liverpool,90,0,0,2,0,15,0,0,0,2,0,0,1.3,12.6,0.0,0.0,True,1,4.0,4.0,0.0
Aaron Ramsdale,GK,Arsenal,Leeds,90,0,0,0,1,32,0,0,0,4,0,0,3.5,34.8,0.0,0.0,False,10,4.0,2.0,2.0
Aaron Ramsdale,GK,Arsenal,Southampton,90,0,0,1,0,12,0,0,0,2,0,0,1.5,14.8,0.0,0.0,False,2,4.0,2.0,2.0
Aaron Ramsdale,GK,Arsenal,Nott'm Forest,90,0,0,0,1,24,0,0,0,2,0,0,1.2,11.6,0.0,0.0,True,6,4.0,2.0,2.0
Aaron Ramsdale,GK,Arsenal,Chelsea,90,0,0,0,1,21,0,0,0,1,0,0,1.3,12.8,0.0,0.0,False,6,4.0,4.0,0.0
Aaron Ramsdale,GK,Arsenal,Wolves,90,0,0,0,1,24,0,0,0,2,0,0,1.4,14.4,0.0,0.0,False,6,4.0,2.0,2.0
Aaron Ramsdale,GK,Arsenal,West Ham,90,0,0,1,0,14,0,0,0,3,0,0,2.0,20.0,0.0,0.0,True,3,4.0,3.0,1.0
Aaron Ramsdale,GK,Arsenal,Brighton,90,0,0,2,0,15,0,0,0,3,0,0,2.3,23.2,0.0,0.0,False,2,4.0,3.0,1.0
Aaron Ramsdale,GK,Arsenal,Newcastle,90,0,0,0,1,22,0,0,0,1,0,0,0.7,7.4,0.0,0.0,True,6,4.0,4.0,0.0
Aaron Ramsdale,GK,Arsenal,Spurs,90,0,0,0,1,36,0,0,0,7,0,0,5.4,54.2,0.0,0.0,False,11,4.0,4.0,0.0
Aaron Ramsdale,GK,Arsenal,Man Utd,90,0,0,2,0,8,0,0,0,2,0,0,1.0,9.8,0.0,0.0,True,1,4.0,4.0,0.0
Aaron Ramsdale,GK,Arsenal,Everton,90,0,0,1,0,14,0,0,0,3,0,0,1.7,16.6,0.0,0.0,False,3,4.0,2.0,2.0
