name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Alisson Ramses Becker,GK,Liverpool,Fulham,90,0,0,2,0,11,0,0,0,1,0,0,0.8,8.2,0.0,0.0,False,1,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Crystal Palace,90,0,0,1,0,12,0,0,0,2,0,0,1.7,16.8,0.0,0.0,True,2,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Man Utd,90,0,0,2,0,19,0,0,0,2,0,0,2.4,23.8,0.0,0.0,False,1,4.0,4.0,0.0
Alisson Ramses Becker,GK,Liverpool,Bournemouth,90,0,0,0,1,24,0,0,0,2,0,0,1.6,16.2,0.0,0.0,True,6,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Newcastle,90,0,0,1,0,13,0,0,0,1,0,0,0.9,8.8,0.0,0.0,True,2,4.0,4.0,0.0
Alisson Ramses Becker,GK,Liverpool,Everton,90,0,0,0,1,29,0,0,0,4,0,0,2.9,28.8,0.0,0.0,False,8,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Brighton,90,0,0,3,0,15,0,0,0,3,0,0,2.7,27.4,0.0,0.0,True,2,4.0,3.0,1.0
Alisson Ramses Becker,GK,Liverpool,Arsenal,90,0,0,3,0,21,0,0,0,4,0,0,3.6,36.2,0.1,0.0,False,2,4.0,4.0,0.0
Alisson Ramses Becker,GK,Liverpool,Man City,90,0,1,0,1,51,0,0,0,6,0,0,7.6,66.0,10.0,0.0,True,14,4.0,5.0,-1.0
Alisson Ramses Becker,GK,Liverpool,West Ham,90,0,0,0,1,42,0,0,0,3,0,1,4.9,49.0,0.0,0.0,True,15,4.0,3.0,1.0
Alisson Ramses Becker,GK,Liverpool,Nott'm Forest,90,0,0,1,0,20,0,0,0,6,0,0,3.8,38.4,0.0,0.0,False,4,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Leeds,90,0,0,2,0,22,0,0,0,4,0,0,3.0,29.6,0.0,0.0,True,2,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Spurs,90,0,0,1,0,20,0,0,0,4,0,0,3.8,37.8,0.0,0.0,False,3,4.0,4.0,0.0
Alisson Ramses Becker,GK,Liverpool,Southampton,90,0,0,1,0,20,0,0,0,4,0,0,3.8,38.2,0.0,0.0,True,3,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Aston Villa,90,0,0,1,0,19,0,0,0,5,0,0,4.3,43.4,0.0,0.0,False,3,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Leicester,90,0,0,1,0,14,0,0,0,1,0,0,1.5,15.0,0.0,0.0,True,2,4.0,3.0,1.0
Alisson Ramses Becker,GK,Liverpool,Brentford,90,0,0,3,0,19,0,0,0,5,0,0,3.4,33.6,0.0,0.0,False,2,4.0,3.0,1.0
Alisson Ramses Becker,GK,Liverpool,Brighton,90,0,0,3,0,20,0,0,0,5,0,0,3.9,39.0,0.0,0.0,False,2,4.0,3.0,1.0
Alisson Ramses Becker,GK,Liverpool,Chelsea,90,0,0,0,1,32,0,0,0,2,0,0,2.1,20.6,0.0,0.0,True,9,4.0,4.0,0.0
Alisson Ramses Becker,GK,Liverpool,Wolves,90,0,0,3,0,20,0,0,0,3,0,0,1.7,17.0,0.0,0.0,False,2,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Everton,90,0,0,0,1,22,0,0,0,1,0,0,0.9,8.6,0.0,0.0,True,6,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Newcastle,90,0,0,0,1,30,0,0,0,4,0,0,3.6,36.0,0.0,0.0,False,7,4.0,4.0,0.0
Alisson Ramses Becker,GK,Liverpool,Crystal Palace,90,0,0,0,1,24,0,0,0,0,0,0,0.9,9.2,0.0,0.0,False,6,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Wolves,90,0,0,0,1,26,0,0,0,1,0,0,1.4,14.4,0.0,0.0,True,6,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Man Utd,90,0,0,0,1,31,0,0,0,4,0,0,3.0,30.0,0.0,0.0,True,7,4.0,4.0,0.0
Alisson Ramses Becker,GK,Liverpool,Bournemouth,90,0,0,1,0,16,0,0,0,1,0,0,1.4,13.8,0.0,0.0,False,2,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Man City,90,0,0,4,0,21,0,0,0,4,0,0,3.8,38.4,0.0,0.0,False,1,4.0,5.0,-1.0
Alisson Ramses Becker,GK,Liverpool,Chelsea,90,0,0,0,1,27,0,0,0,2,0,0,2.4,24.0,0.0,0.0,False,6,4.0,4.0,0.0
Alisson Ramses Becker,GK,Liverpool,Arsenal,90,0,0,2,0,20,0,0,0,3,0,0,2.5,24.8,0.0,0.0,True,2,4.0,4.0,0.0
Alisson Ramses Becker,GK,Liverpool,Leeds,90,0,0,1,0,12,0,0,0,2,0,0,1.7,16.6,0.0,0.0,False,2,4.0,2.0,2.0
Alisson Ramses Becker,GK,Liverpool,Nott'm Forest,90,0,0,2,0,18,0,0,0,3,0,0,2.0,20.4,0.0,0.0,True,2,4.0,2.0,2.0
