name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Antonee Robinson,DEF,Fulham,Liverpool,90,0,0,2,0,13,0,0,0,0,0,0,1.6,14.8,0.7,0.0,True,1,2.0,4.0,-2.0
Antonee Robinson,DEF,Fulham,Wolves,90,0,0,0,1,21,0,0,0,0,0,0,4.2,21.2,19.3,1.0,False,6,2.0,2.0,0.0
Antonee Robinson,DEF,Fulham,Brentford,90,0,0,2,0,9,0,0,0,0,0,0,3.3,11.4,21.4,0.0,True,1,2.0,3.0,-1.0
Antonee Robinson,DEF,Fulham,Arsenal,90,0,0,2,0,17,1,0,0,0,0,0,3.7,31.8,4.8,0.0,False,0,2.0,4.0,-2.0
Antonee Robinson,DEF,Fulham,Brighton,90,0,0,1,0,10,1,0,0,0,0,0,3.1,19.4,11.7,0.0,True,1,2.0,3.0,-1.0
Antonee Robinson,DEF,Fulham,Spurs,28,0,0,0,0,3,0,0,0,0,0,0,0.4,2.8,1.4,0.0,False,1,2.0,4.0,-2.0
Antonee Robinson,DEF,Fulham,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Antonee Robinson,DEF,Fulham,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Antonee Robinson,DEF,Fulham,West Ham,90,0,0,3,0,15,0,0,0,0,0,0,2.2,17.6,2.8,2.0,False,1,2.0,3.0,-1.0
Antonee Robinson,DEF,Fulham,Bournemouth,90,0,0,2,0,15,0,0,0,0,0,0,4.3,13.2,23.6,6.0,True,1,2.0,2.0,0.0
Antonee Robinson,DEF,Fulham,Aston Villa,90,0,0,0,1,23,0,0,0,0,0,0,2.7,19.0,4.3,4.0,True,6,2.0,2.0,0.0
Antonee Robinson,DEF,Fulham,Leeds,90,0,0,2,0,10,1,0,0,0,0,0,3.7,16.0,19.3,2.0,False,0,2.0,2.0,0.0
Antonee Robinson,DEF,Fulham,Everton,90,0,0,0,1,26,0,0,0,0,0,0,3.7,15.4,15.2,6.0,True,6,2.0,2.0,0.0
Antonee Robinson,DEF,Fulham,Man City,90,0,0,2,0,3,1,0,0,0,0,0,0.9,8.2,0.4,0.0,False,0,2.0,5.0,-3.0
Antonee Robinson,DEF,Fulham,Man Utd,90,0,0,2,0,12,0,0,0,0,0,0,2.4,9.4,12.1,2.0,True,1,2.0,4.0,-2.0
Antonee Robinson,DEF,Fulham,Crystal Palace,90,0,0,0,1,23,0,0,0,0,0,0,2.9,9.6,19.8,0.0,False,6,2.0,2.0,0.0
Antonee Robinson,DEF,Fulham,Southampton,90,0,0,1,0,12,0,0,0,0,0,0,2.0,12.4,3.6,4.0,True,2,2.0,2.0,0.0
