name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Davinson Sánchez,DEF,Spurs,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Davinson Sánchez,DEF,Spurs,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Davinson Sánchez,DEF,Spurs,Wolves,90,0,0,0,1,25,0,0,0,0,0,0,3.7,25.2,0.9,11.0,True,6,4.0,2.0,2.0
Davinson Sánchez,DEF,Spurs,Nott'm Forest,90,0,0,0,1,28,0,0,0,0,0,0,2.5,24.4,0.5,0.0,False,7,4.0,2.0,2.0
Davinson Sánchez,DEF,Spurs,West Ham,90,0,0,1,0,9,1,0,0,0,0,0,2.8,20.2,1.2,7.0,False,1,4.0,3.0,1.0
Davinson Sánchez,DEF,Spurs,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Davinson Sánchez,DEF,Spurs,Leicester,58,0,0,2,0,4,0,0,0,0,0,0,2.8,8.6,0.5,19.0,True,0,4.0,3.0,1.0
Davinson Sánchez,DEF,Spurs,Arsenal,19,0,0,0,0,4,0,0,0,0,0,0,0.6,6.0,0.0,0.0,False,1,4.0,4.0,0.0
Davinson Sánchez,DEF,Spurs,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Davinson Sánchez,DEF,Spurs,Everton,3,0,0,0,0,4,0,0,0,0,0,0,0.3,3.2,0.1,0.0,True,1,4.0,2.0,2.0
Davinson Sánchez,DEF,Spurs,Man Utd,8,0,0,0,0,2,0,0,0,0,0,0,0.3,2.2,1.0,0.0,False,1,4.0,4.0,0.0
Davinson Sánchez,DEF,Spurs,Newcastle,80,0,0,2,0,12,0,0,0,0,0,0,3.3,14.2,15.0,4.0,True,1,4.0,4.0,0.0
