name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Duje Caleta-Car,DEF,Southampton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Everton,90,0,0,2,0,11,0,0,0,0,0,0,5.7,21.0,11.0,25.0,True,1,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Duje Caleta-Car,DEF,Southampton,West Ham,48,0,0,1,0,6,0,0,0,0,0,0,1.4,13.4,0.1,0.0,True,1,2.0,3.0,-1.0
Duje Caleta-Car,DEF,Southampton,Bournemouth,90,0,0,0,1,32,0,0,0,0,0,0,1.9,18.2,0.7,0.0,False,8,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Arsenal,90,0,0,1,0,17,0,0,0,0,0,0,2.6,26.0,0.0,0.0,True,2,2.0,4.0,-2.0
Duje Caleta-Car,DEF,Southampton,Crystal Palace,90,0,0,1,0,14,0,0,0,0,0,0,2.4,19.4,0.7,4.0,False,2,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Newcastle,18,0,0,1,0,3,0,0,0,0,0,0,0.2,1.8,0.4,0.0,True,1,2.0,4.0,-2.0
Duje Caleta-Car,DEF,Southampton,Liverpool,58,0,0,3,0,1,1,0,0,0,0,0,0.2,2.2,0.2,0.0,False,-1,2.0,4.0,-2.0
Duje Caleta-Car,DEF,Southampton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Duje Caleta-Car,DEF,Southampton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Nott'm Forest,56,0,0,0,0,11,0,0,0,0,0,0,1.5,9.8,0.8,4.0,True,1,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Everton,90,0,0,1,0,22,0,0,0,0,0,0,3.1,30.4,0.2,0.0,False,2,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Aston Villa,83,0,0,1,0,13,0,0,0,0,0,0,2.2,21.8,0.2,0.0,True,2,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Duje Caleta-Car,DEF,Southampton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Duje Caleta-Car,DEF,Southampton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Duje Caleta-Car,DEF,Southampton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Duje Caleta-Car,DEF,Southampton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Duje Caleta-Car,DEF,Southampton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Duje Caleta-Car,DEF,Southampton,West Ham,90,0,0,1,0,14,1,0,0,0,0,0,2.3,22.2,0.4,0.0,False,1,2.0,3.0,-1.0
Duje Caleta-Car,DEF,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Duje Caleta-Car,DEF,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Arsenal,49,1,0,2,0,20,0,0,0,0,0,0,8.5,51.8,0.1,33.0,False,6,2.0,4.0,-2.0
Duje Caleta-Car,DEF,Southampton,Bournemouth,90,0,0,1,0,18,0,0,0,0,0,0,2.9,24.4,1.4,3.0,True,2,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Duje Caleta-Car,DEF,Southampton,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Duje Caleta-Car,DEF,Southampton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Duje Caleta-Car,DEF,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
