name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Eric Dier,DEF,Spurs,Southampton,90,1,0,1,0,27,0,0,0,0,0,0,6.1,43.6,0.4,17.0,True,8,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Chelsea,90,0,0,2,0,14,0,0,0,0,0,0,4.2,22.4,0.0,20.0,False,1,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Wolves,90,0,0,0,1,25,0,0,0,0,0,0,2.3,21.8,0.7,0.0,True,6,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Nott'm Forest,90,0,0,0,1,23,0,0,0,0,0,0,1.2,12.0,0.3,0.0,False,6,4.0,2.0,2.0
Eric Dier,DEF,Spurs,West Ham,90,0,0,1,0,17,0,0,0,0,0,0,2.3,22.0,0.7,0.0,False,3,4.0,3.0,1.0
Eric Dier,DEF,Spurs,Fulham,90,0,0,1,0,12,0,0,0,0,0,0,2.1,8.4,1.0,12.0,True,2,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Leicester,90,1,0,2,0,24,0,0,0,0,0,0,9.8,47.6,0.2,50.0,True,7,4.0,3.0,1.0
Eric Dier,DEF,Spurs,Arsenal,90,0,0,3,0,14,1,0,0,0,0,0,4.1,18.2,20.4,2.0,False,0,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Brighton,90,0,0,0,1,26,0,0,0,0,0,0,1.3,12.6,0.3,0.0,False,6,4.0,3.0,1.0
Eric Dier,DEF,Spurs,Everton,90,0,0,0,1,24,0,0,0,0,0,0,5.1,13.2,1.3,36.0,True,6,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Man Utd,81,0,0,2,0,14,0,0,0,0,0,0,2.7,27.0,0.3,0.0,False,1,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Newcastle,90,0,0,2,0,14,0,0,0,0,0,0,4.6,27.4,0.6,18.0,True,1,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Bournemouth,33,0,0,0,0,11,0,0,0,0,0,0,2.8,15.0,12.6,0.0,False,1,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Liverpool,90,0,0,2,0,23,0,0,0,0,0,0,6.9,29.0,21.3,19.0,True,1,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Leeds,90,0,0,3,0,13,0,0,0,0,0,0,1.2,10.4,1.8,0.0,True,1,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Brentford,90,0,0,2,0,16,0,0,0,0,0,0,5.0,16.6,15.3,18.0,False,1,4.0,3.0,1.0
Eric Dier,DEF,Spurs,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Crystal Palace,90,0,0,0,1,27,0,0,0,0,0,0,3.0,30.0,0.0,0.0,False,6,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Arsenal,90,0,0,2,0,13,0,0,0,0,0,0,2.0,16.8,1.1,2.0,True,1,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Man City,90,0,0,4,0,14,0,0,0,0,0,0,2.1,21.0,0.2,0.0,False,0,4.0,5.0,-1.0
Eric Dier,DEF,Spurs,Fulham,90,0,0,0,1,26,0,0,0,0,0,0,3.8,25.6,10.6,2.0,False,6,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Man City,90,0,0,0,1,22,0,0,0,0,0,0,3.6,17.2,0.0,19.0,True,6,4.0,5.0,-1.0
Eric Dier,DEF,Spurs,Leicester,90,0,0,4,0,10,1,0,0,0,0,0,1.5,13.0,0.4,2.0,False,-1,4.0,3.0,1.0
Eric Dier,DEF,Spurs,West Ham,90,0,0,0,1,27,0,0,0,0,0,0,1.9,18.6,0.8,0.0,True,7,4.0,3.0,1.0
Eric Dier,DEF,Spurs,Chelsea,90,0,1,0,1,38,0,0,0,0,0,0,5.1,37.0,10.3,4.0,True,12,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Nott'm Forest,90,0,0,1,0,9,1,0,0,0,0,0,1.1,10.2,0.3,0.0,True,1,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Southampton,90,0,0,3,0,13,0,0,0,0,0,0,2.1,13.8,0.8,6.0,False,1,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Everton,90,0,0,1,0,14,0,0,0,0,0,0,2.7,25.8,1.1,0.0,False,2,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Brighton,90,0,0,1,0,12,0,0,0,0,0,0,1.8,18.0,0.4,0.0,True,2,4.0,3.0,1.0
Eric Dier,DEF,Spurs,Bournemouth,90,0,0,3,0,10,0,0,0,0,0,0,1.9,11.4,5.1,2.0,True,1,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Newcastle,90,0,0,6,0,9,0,0,0,0,0,0,2.1,15.0,3.6,2.0,False,-1,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Man Utd,90,0,0,2,0,12,0,0,0,0,0,0,1.8,14.0,0.3,4.0,True,1,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Liverpool,90,0,0,4,0,13,0,0,0,0,0,0,1.7,16.6,0.1,0.0,False,0,4.0,4.0,0.0
Eric Dier,DEF,Spurs,Crystal Palace,2,0,0,0,0,3,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,1,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Eric Dier,DEF,Spurs,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Eric Dier,DEF,Spurs,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
