name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Gabriel Fernando de Jesus,FWD,Arsenal,Crystal Palace,82,0,0,0,1,7,0,0,0,0,0,0,4.9,7.4,3.2,38.0,False,2,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Leicester,83,2,2,2,0,65,0,0,0,0,0,0,23.7,98.6,33.7,105.0,True,19,4.0,3.0,1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Bournemouth,90,0,1,0,1,15,1,0,0,0,0,0,10.3,25.6,23.1,54.0,False,4,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Fulham,88,0,0,1,0,0,1,0,0,0,0,0,11.5,8.2,27.6,79.0,True,1,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Aston Villa,87,1,0,1,0,19,0,0,0,0,0,0,14.2,37.8,12.3,92.0,True,6,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Man Utd,90,0,0,3,0,5,1,0,0,0,0,0,8.8,11.0,54.7,22.0,False,1,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,Brentford,90,1,0,0,1,30,1,0,0,0,0,0,12.5,43.6,4.5,77.0,False,6,4.0,3.0,1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Spurs,79,1,0,1,0,29,0,0,0,0,0,0,14.8,46.2,12.9,89.0,True,8,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,Liverpool,90,0,1,2,0,12,0,0,0,0,0,0,6.2,7.4,2.6,52.0,True,5,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,Leeds,81,0,0,0,1,2,0,0,0,0,0,0,4.1,6.0,23.5,11.0,False,2,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Southampton,90,0,0,1,0,-7,0,0,0,0,0,0,6.9,12.0,4.4,53.0,False,2,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Nott'm Forest,90,0,2,0,1,31,0,0,0,0,0,0,20.4,51.6,45.5,107.0,True,9,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Chelsea,90,0,0,0,1,2,0,0,0,0,0,0,9.1,16.4,23.8,51.0,False,2,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,Wolves,90,0,0,0,1,9,0,0,0,0,0,0,7.0,6.2,9.3,54.0,False,2,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Fulham,13,0,0,0,0,3,0,0,0,0,0,0,2.5,6.4,1.1,17.0,False,1,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Crystal Palace,25,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.8,9.0,True,1,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Leeds,59,2,0,0,0,45,0,0,0,0,0,0,14.0,70.6,14.3,55.0,True,12,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Liverpool,79,1,0,1,0,27,0,0,0,0,0,0,6.8,37.0,7.2,24.0,False,7,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,West Ham,66,1,0,2,0,28,1,0,0,0,0,0,7.3,35.2,4.4,33.0,False,7,4.0,3.0,1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Southampton,90,0,0,3,0,-6,0,0,0,0,0,0,9.1,6.6,20.5,64.0,True,2,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Man City,80,0,0,3,0,4,0,0,0,0,0,0,0.8,1.6,2.1,4.0,False,2,4.0,5.0,-1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Chelsea,90,1,0,1,0,28,0,0,0,0,0,0,12.3,36.8,26.8,59.0,True,7,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,Newcastle,86,0,0,0,1,1,0,0,0,0,0,0,4.6,5.2,13.1,28.0,False,2,4.0,4.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,Brighton,76,0,0,1,0,5,0,0,0,0,0,0,5.7,10.6,21.3,25.0,True,2,4.0,3.0,1.0
Gabriel Fernando de Jesus,FWD,Arsenal,Nott'm Forest,90,0,0,1,0,-5,1,0,0,0,0,0,10.0,6.2,13.6,80.0,False,1,4.0,2.0,2.0
Gabriel Fernando de Jesus,FWD,Arsenal,Wolves,90,1,1,0,1,52,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,12,4.0,2.0,2.0
