name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ilkay Gündogan,MID,Man City,West Ham,77,0,0,0,1,11,0,0,0,0,0,0,5.1,3.8,26.4,21.0,False,3,5.0,3.0,2.0
Ilkay Gündogan,MID,Man City,Bournemouth,64,1,0,0,1,36,0,0,0,0,0,0,10.2,41.6,34.2,26.0,True,10,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Newcastle,90,1,0,3,0,35,0,0,0,0,0,0,17.0,50.4,50.4,69.0,False,8,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Crystal Palace,29,0,1,0,0,15,0,0,0,0,0,0,5.0,20.2,13.2,17.0,True,4,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Nott'm Forest,90,0,0,0,1,17,0,0,0,0,0,0,8.2,19.8,60.1,2.0,True,3,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Aston Villa,90,0,0,1,0,10,0,0,0,0,0,0,4.6,11.4,24.8,10.0,False,2,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Wolves,18,0,0,0,0,3,0,0,0,0,0,0,0.8,1.8,4.5,2.0,False,1,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Man Utd,74,0,0,1,0,15,0,0,0,0,0,0,2.2,9.2,1.4,11.0,True,2,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Liverpool,88,0,0,1,0,13,0,0,0,0,0,0,11.6,17.8,44.3,54.0,False,2,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Ilkay Gündogan,MID,Man City,Leicester,90,0,0,0,1,14,0,0,0,0,0,0,5.3,8.4,28.0,17.0,False,3,5.0,3.0,2.0
Ilkay Gündogan,MID,Man City,Fulham,90,0,1,1,0,24,0,0,0,0,0,0,7.5,33.4,30.6,11.0,True,5,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Brentford,90,0,0,2,0,3,0,0,0,0,0,0,2.7,0.0,7.5,22.0,True,2,5.0,3.0,2.0
Ilkay Gündogan,MID,Man City,Leeds,90,0,0,1,0,0,0,0,0,0,0,0,6.7,13.0,13.8,40.0,False,2,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Everton,3,0,0,0,0,3,0,0,0,0,0,0,1.2,1.6,2.8,8.0,True,1,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Chelsea,90,0,0,0,1,16,0,0,0,0,0,0,4.8,16.0,26.8,5.0,False,3,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Spurs,80,0,0,2,0,9,0,0,0,0,0,0,2.3,1.8,9.8,11.0,True,2,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Wolves,90,0,1,0,1,17,0,0,0,0,0,0,5.6,9.6,30.9,15.0,True,6,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Spurs,6,0,0,0,0,3,0,0,0,0,0,0,0.1,0.2,0.3,0.0,False,1,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Aston Villa,90,1,0,1,0,28,0,0,0,0,0,0,12.2,45.0,12.6,64.0,True,7,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Arsenal,90,0,1,1,0,13,0,0,0,0,0,0,4.0,23.2,15.2,2.0,False,5,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Nott'm Forest,90,0,0,1,0,11,0,0,0,0,0,0,5.5,9.4,24.9,21.0,False,2,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Bournemouth,54,0,0,0,0,3,0,0,0,0,0,0,2.7,4.0,16.6,6.0,False,1,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Newcastle,90,0,0,0,1,12,0,0,0,0,0,0,1.4,2.6,4.7,7.0,True,3,5.0,4.0,1.0
