name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Joe Gelhardt,FWD,Leeds,Wolves,6,0,0,0,0,2,0,0,0,0,0,0,0.1,0.2,0.3,0.0,True,1,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Chelsea,7,0,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0.1,0.0,True,1,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,Brighton,8,0,0,0,0,3,0,0,0,0,0,0,1.0,1.4,0.3,8.0,False,1,2.0,3.0,-1.0
Joe Gelhardt,FWD,Leeds,Everton,44,0,0,0,0,-3,0,0,0,0,0,0,3.1,1.4,2.2,27.0,True,1,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Brentford,58,0,0,3,0,-1,0,0,0,0,0,0,1.4,0.0,2.7,14.0,False,1,2.0,3.0,-1.0
Joe Gelhardt,FWD,Leeds,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Crystal Palace,6,0,0,0,0,1,0,0,0,0,0,0,2.0,3.0,0.3,17.0,False,1,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Arsenal,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,Leicester,15,0,0,0,0,1,0,0,0,0,0,0,0.5,2.4,0.5,2.0,False,1,2.0,3.0,-1.0
Joe Gelhardt,FWD,Leeds,Fulham,6,0,1,0,0,15,0,0,0,0,0,0,3.2,17.6,14.6,0.0,True,4,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,Bournemouth,9,0,0,0,0,-1,1,0,0,0,0,0,2.2,2.0,0.0,20.0,True,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Spurs,1,0,0,0,0,3,0,0,0,0,0,0,0.1,0.4,0.4,0.0,False,1,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,Man City,18,0,0,0,0,1,0,0,0,0,0,0,0.7,0.0,0.5,6.0,True,1,2.0,5.0,-3.0
Joe Gelhardt,FWD,Leeds,Newcastle,8,0,0,0,0,3,0,0,0,0,0,0,2.0,2.0,0.0,18.0,False,1,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,West Ham,1,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,3.0,-1.0
Joe Gelhardt,FWD,Leeds,Aston Villa,13,0,1,0,0,16,0,0,0,0,0,0,3.1,19.0,10.2,2.0,False,4,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Joe Gelhardt,FWD,Leeds,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Joe Gelhardt,FWD,Leeds,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Joe Gelhardt,FWD,Leeds,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Joe Gelhardt,FWD,Leeds,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
