name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Kristoffer Ajer,DEF,Brentford,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Kristoffer Ajer,DEF,Brentford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kristoffer Ajer,DEF,Brentford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Arsenal,90,0,0,3,0,10,0,0,0,0,0,0,0.7,6.4,0.5,0.0,True,1,3.0,4.0,-1.0
Kristoffer Ajer,DEF,Brentford,Bournemouth,60,0,0,0,1,25,0,0,0,0,0,0,1.7,4.2,3.3,9.0,False,6,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Newcastle,90,0,0,5,0,12,0,0,0,0,0,0,1.6,10.8,0.8,4.0,False,0,3.0,4.0,-1.0
Kristoffer Ajer,DEF,Brentford,Brighton,90,0,0,0,1,19,0,0,0,0,0,0,2.3,21.6,1.1,0.0,True,6,3.0,3.0,0.0
Kristoffer Ajer,DEF,Brentford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kristoffer Ajer,DEF,Brentford,Aston Villa,90,0,0,4,0,2,0,0,0,0,0,0,1.5,8.2,0.7,6.0,False,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Wolves,82,0,0,1,0,13,0,0,0,0,0,0,1.4,12.4,1.2,0.0,True,2,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Kristoffer Ajer,DEF,Brentford,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kristoffer Ajer,DEF,Brentford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Kristoffer Ajer,DEF,Brentford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kristoffer Ajer,DEF,Brentford,Bournemouth,81,0,0,0,1,19,0,0,0,0,0,0,2.9,8.6,16.0,4.0,True,6,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Leeds,90,0,0,0,1,21,0,0,0,0,0,0,1.1,10.4,0.2,0.0,False,6,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Arsenal,90,0,0,1,0,8,0,0,0,0,0,0,1.9,14.2,0.9,4.0,False,2,3.0,4.0,-1.0
Kristoffer Ajer,DEF,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kristoffer Ajer,DEF,Brentford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Kristoffer Ajer,DEF,Brentford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Kristoffer Ajer,DEF,Brentford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kristoffer Ajer,DEF,Brentford,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kristoffer Ajer,DEF,Brentford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
