name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Lewis O'Brien,MID,Nott'm Forest,Newcastle,74,0,0,1,0,7,1,0,0,0,0,0,2.1,12.4,0.8,8.0,False,1,2.0,4.0,-2.0
Lewis O'Brien,MID,Nott'm Forest,West Ham,90,0,0,0,1,9,0,0,0,0,0,0,1.6,13.8,2.0,0.0,True,3,2.0,3.0,-1.0
Lewis O'Brien,MID,Nott'm Forest,Everton,90,0,0,1,0,4,0,0,0,0,0,0,1.8,2.4,11.4,4.0,False,2,2.0,2.0,0.0
Lewis O'Brien,MID,Nott'm Forest,Spurs,74,0,0,1,0,12,1,0,0,0,0,0,3.4,8.8,15.8,9.0,True,1,2.0,4.0,-2.0
Lewis O'Brien,MID,Nott'm Forest,Man City,90,0,0,6,0,12,0,0,0,0,0,0,3.6,15.0,21.3,0.0,False,2,2.0,5.0,-3.0
Lewis O'Brien,MID,Nott'm Forest,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Lewis O'Brien,MID,Nott'm Forest,Fulham,20,1,0,0,0,23,0,0,0,0,0,0,5.8,40.4,0.8,17.0,True,6,2.0,2.0,0.0
Lewis O'Brien,MID,Nott'm Forest,Leicester,45,0,0,3,0,6,0,0,0,0,0,0,1.6,7.2,0.3,8.0,False,1,2.0,3.0,-1.0
Lewis O'Brien,MID,Nott'm Forest,Aston Villa,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,2.0,0.0
Lewis O'Brien,MID,Nott'm Forest,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lewis O'Brien,MID,Nott'm Forest,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Lewis O'Brien,MID,Nott'm Forest,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Lewis O'Brien,MID,Nott'm Forest,Arsenal,9,0,0,0,0,3,0,0,0,0,0,0,0.5,5.0,0.1,0.0,False,1,2.0,4.0,-2.0
Lewis O'Brien,MID,Nott'm Forest,Brentford,24,0,0,1,0,2,0,0,0,0,0,0,0.2,0.0,1.8,1.0,True,1,2.0,3.0,-1.0
Lewis O'Brien,MID,Nott'm Forest,Crystal Palace,4,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,2.0,0.0
Lewis O'Brien,MID,Nott'm Forest,Man Utd,37,0,0,1,0,2,0,0,0,0,0,0,0.4,2.6,1.3,0.0,False,1,2.0,4.0,-2.0
Lewis O'Brien,MID,Nott'm Forest,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Lewis O'Brien,MID,Nott'm Forest,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lewis O'Brien,MID,Nott'm Forest,Leicester,20,0,0,0,0,2,0,0,0,0,0,0,0.1,0.2,0.8,0.0,True,1,2.0,3.0,-1.0
Lewis O'Brien,MID,Nott'm Forest,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lewis O'Brien,MID,Nott'm Forest,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Lewis O'Brien,MID,Nott'm Forest,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
