name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Lucas Digne,DEF,Aston Villa,Bournemouth,90,0,0,2,0,11,0,0,0,0,0,0,4.4,13.2,22.4,8.0,False,1,2.0,2.0,0.0
Lucas Digne,DEF,Aston Villa,Everton,90,0,0,1,0,-1,1,0,1,0,0,0,2.8,6.8,15.5,6.0,True,-1,2.0,2.0,0.0
Lucas Digne,DEF,Aston Villa,Crystal Palace,90,0,0,3,0,16,0,0,0,0,0,0,7.0,17.8,34.3,18.0,False,1,2.0,2.0,0.0
Lucas Digne,DEF,Aston Villa,West Ham,90,0,0,1,0,14,0,0,0,0,0,0,6.5,19.6,39.1,6.0,True,2,2.0,3.0,-1.0
Lucas Digne,DEF,Aston Villa,Arsenal,90,0,0,2,0,9,0,0,0,0,0,0,2.3,17.2,5.6,0.0,False,1,2.0,4.0,-2.0
Lucas Digne,DEF,Aston Villa,Man City,90,0,0,1,0,6,1,0,0,0,0,0,1.7,15.6,1.7,0.0,True,1,2.0,5.0,-3.0
Lucas Digne,DEF,Aston Villa,Southampton,90,0,0,0,1,23,0,0,0,0,0,0,2.6,21.4,4.6,0.0,True,7,2.0,2.0,0.0
Lucas Digne,DEF,Aston Villa,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lucas Digne,DEF,Aston Villa,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lucas Digne,DEF,Aston Villa,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Lucas Digne,DEF,Aston Villa,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lucas Digne,DEF,Aston Villa,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Lucas Digne,DEF,Aston Villa,Newcastle,21,0,0,0,0,4,0,0,0,0,0,0,0.6,6.0,0.1,0.0,False,1,2.0,4.0,-2.0
Lucas Digne,DEF,Aston Villa,Man Utd,78,1,0,1,0,22,0,0,0,0,0,0,4.8,39.6,1.6,7.0,True,10,2.0,4.0,-2.0
Lucas Digne,DEF,Aston Villa,Brighton,81,0,0,1,0,9,0,0,0,0,0,0,1.5,12.2,0.6,2.0,False,2,2.0,3.0,-1.0
Lucas Digne,DEF,Aston Villa,Liverpool,90,0,0,3,0,20,0,0,0,0,0,0,11.2,28.0,59.4,25.0,True,1,2.0,4.0,-2.0
Lucas Digne,DEF,Aston Villa,Spurs,90,0,0,0,1,24,0,0,0,0,0,0,4.4,14.6,29.3,0.0,False,7,2.0,4.0,-2.0
Lucas Digne,DEF,Aston Villa,Wolves,66,0,0,1,0,8,0,0,0,0,0,0,2.2,7.0,2.3,13.0,True,2,2.0,2.0,0.0
Lucas Digne,DEF,Aston Villa,Leeds,9,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,2.0,0.0
Lucas Digne,DEF,Aston Villa,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
