name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Mikkel Damsgaard,MID,Brentford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Everton,12,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,1.8,0.0,True,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Crystal Palace,22,0,0,0,0,9,0,0,0,0,0,0,2.2,3.2,14.8,4.0,False,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Leeds,7,0,0,0,0,5,1,0,0,0,0,0,1.4,3.4,10.3,0.0,True,0,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Arsenal,27,0,0,0,0,5,0,0,0,0,0,0,4.4,10.0,17.4,17.0,True,1,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Bournemouth,60,0,0,0,1,8,0,0,0,0,0,0,5.6,11.4,16.4,28.0,False,3,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Newcastle,19,0,0,2,0,2,0,0,0,0,0,0,0.3,0.2,0.8,2.0,False,1,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Mikkel Damsgaard,MID,Brentford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Aston Villa,29,0,0,0,0,5,0,0,0,0,0,0,0.6,4.2,1.9,0.0,False,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Wolves,53,0,0,1,0,0,1,0,0,0,0,0,1.3,5.6,1.8,6.0,True,0,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Nott'm Forest,30,0,0,1,0,7,0,0,0,0,0,0,0.7,6.8,0.6,0.0,False,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Mikkel Damsgaard,MID,Brentford,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Mikkel Damsgaard,MID,Brentford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Bournemouth,8,0,0,0,0,2,0,0,0,0,0,0,0.2,0.4,0.4,1.0,True,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Southampton,8,0,0,0,0,4,0,0,0,0,0,0,1.3,2.2,10.3,0.0,True,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Crystal Palace,27,0,0,1,0,4,0,0,0,0,0,0,2.9,6.2,12.5,10.0,True,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Fulham,75,0,0,1,0,12,0,0,0,0,0,0,3.0,12.4,17.5,0.0,True,2,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Everton,61,0,0,1,0,6,0,0,0,0,0,0,0.8,6.4,2.0,0.0,False,2,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Southampton,11,0,0,0,0,4,0,0,0,0,0,0,1.6,9.0,0.3,7.0,False,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Leicester,60,0,0,1,0,12,0,0,0,0,0,0,3.4,10.8,19.4,4.0,True,2,3.0,3.0,0.0
Mikkel Damsgaard,MID,Brentford,Brighton,72,0,0,2,0,9,0,0,0,0,0,0,1.5,4.8,10.3,0.0,False,2,3.0,3.0,0.0
Mikkel Damsgaard,MID,Brentford,Man Utd,61,0,0,1,0,6,1,0,0,0,0,0,0.4,4.0,0.2,0.0,False,1,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Wolves,29,0,0,1,0,6,0,0,0,0,0,0,2.0,4.0,16.1,0.0,False,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Aston Villa,14,0,0,1,0,3,0,0,0,0,0,0,0.1,1.2,0.0,0.0,True,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Chelsea,28,0,0,0,0,4,0,0,0,0,0,0,0.3,2.4,0.4,0.0,False,1,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Nott'm Forest,59,0,0,1,0,-1,0,0,0,0,0,0,4.8,6.2,1.6,40.0,True,1,3.0,2.0,1.0
Mikkel Damsgaard,MID,Brentford,Liverpool,8,0,0,0,0,2,0,0,0,0,0,0,0.2,1.4,0.1,0.0,False,1,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,West Ham,76,0,0,0,1,0,0,0,0,0,0,0,4.2,12.8,3.7,25.0,True,3,3.0,3.0,0.0
Mikkel Damsgaard,MID,Brentford,Spurs,45,0,0,0,0,4,0,0,0,0,0,0,1.1,8.2,0.4,2.0,False,1,3.0,4.0,-1.0
Mikkel Damsgaard,MID,Brentford,Man City,69,0,0,0,1,10,1,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2,3.0,5.0,-2.0
