name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Nathan Aké,DEF,Man City,West Ham,90,0,0,0,1,26,0,0,0,0,0,0,3.1,26.2,0.6,4.0,False,7,5.0,3.0,2.0
Nathan Aké,DEF,Man City,Bournemouth,90,0,0,0,1,25,0,0,0,0,0,0,5.8,16.4,3.3,38.0,True,6,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Newcastle,20,0,0,0,0,3,0,0,0,0,0,0,0.1,1.4,0.0,0.0,False,1,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Aston Villa,10,0,0,0,0,3,0,0,0,0,0,0,0.4,3.2,0.5,0.0,False,1,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Man Utd,90,0,0,3,0,12,0,0,0,0,0,0,3.0,14.6,11.0,4.0,True,1,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Southampton,90,0,0,0,1,28,0,0,0,0,0,0,1.6,15.2,0.8,0.0,True,6,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Liverpool,90,0,0,1,0,16,0,0,0,0,0,0,2.4,16.2,3.3,4.0,False,2,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Nathan Aké,DEF,Man City,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Nathan Aké,DEF,Man City,Fulham,90,0,0,1,0,13,0,0,0,0,0,0,3.2,12.4,13.8,6.0,True,2,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Nathan Aké,DEF,Man City,Leeds,90,0,0,1,0,15,0,0,0,0,0,0,3.8,19.6,14.5,4.0,False,2,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Everton,90,0,0,1,0,14,0,0,0,0,0,0,3.9,20.4,17.0,2.0,True,2,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Chelsea,90,0,0,0,1,24,0,0,0,0,0,0,1.7,5.6,4.3,7.0,False,8,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Man Utd,90,0,0,2,0,14,0,0,0,0,0,0,2.0,18.4,1.8,0.0,False,1,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Spurs,90,0,0,2,0,13,0,0,0,0,0,0,4.5,25.6,17.8,2.0,True,1,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Wolves,45,0,0,0,0,10,0,0,0,0,0,0,2.0,18.0,1.5,0.0,True,1,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Spurs,90,0,0,1,0,11,0,0,0,0,0,0,2.8,15.6,4.4,8.0,False,2,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Aston Villa,5,0,0,0,0,3,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,1,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Arsenal,90,0,0,1,0,5,0,0,0,0,0,0,1.9,10.0,0.4,9.0,False,2,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Nott'm Forest,1,0,0,0,0,5,0,0,0,0,0,0,2.3,4.0,14.5,4.0,False,1,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Bournemouth,79,0,0,0,1,22,0,0,0,0,0,0,2.6,11.6,3.3,11.0,False,6,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Newcastle,90,0,0,0,1,23,1,0,0,0,0,0,2.6,19.4,4.1,2.0,True,5,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Crystal Palace,90,0,0,0,1,24,1,0,0,0,0,0,4.8,17.2,28.3,2.0,False,6,5.0,2.0,3.0
Nathan Aké,DEF,Man City,Liverpool,90,0,0,1,0,16,0,0,0,0,0,0,3.2,28.0,4.3,0.0,True,2,5.0,4.0,1.0
Nathan Aké,DEF,Man City,Southampton,80,0,0,1,0,11,0,0,0,0,0,0,1.2,8.8,2.8,0.0,False,2,5.0,2.0,3.0
