name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Rasmus Kristensen,DEF,Leeds,Wolves,90,0,0,1,0,13,0,0,0,0,0,0,3.5,15.2,15.8,4.0,True,2,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Southampton,90,0,0,2,0,2,1,0,0,0,0,0,4.1,7.2,0.8,33.0,False,0,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Chelsea,90,0,0,0,1,21,0,0,0,0,0,0,3.0,18.4,11.9,0.0,True,6,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,Brighton,90,0,0,1,0,10,0,0,0,0,0,0,1.6,14.0,2.2,0.0,False,2,2.0,3.0,-1.0
Rasmus Kristensen,DEF,Leeds,Everton,90,0,0,1,0,9,1,0,0,0,0,0,4.2,20.8,17.0,4.0,True,1,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Rasmus Kristensen,DEF,Leeds,Aston Villa,67,0,0,0,1,19,0,0,0,0,0,0,1.4,10.0,1.6,2.0,True,6,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Crystal Palace,83,0,0,2,0,6,1,0,0,0,0,0,2.4,23.0,0.7,0.0,False,0,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Arsenal,90,0,0,1,0,8,0,0,0,0,0,0,2.1,17.0,3.7,0.0,True,2,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,Leicester,90,0,0,2,0,15,0,0,0,0,0,0,4.8,25.6,19.7,3.0,False,1,2.0,3.0,-1.0
Rasmus Kristensen,DEF,Leeds,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Liverpool,90,0,0,1,0,17,0,0,0,0,0,0,4.0,14.0,15.7,10.0,False,2,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,Bournemouth,90,0,0,3,0,9,1,0,0,0,0,0,3.4,16.6,9.3,8.0,True,0,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Spurs,88,0,1,4,0,22,0,0,0,0,0,0,7.6,31.2,24.7,20.0,False,3,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,Man City,64,0,0,3,0,8,0,0,0,0,0,0,3.2,22.8,0.8,8.0,True,1,2.0,5.0,-3.0
Rasmus Kristensen,DEF,Leeds,Newcastle,20,0,0,0,0,3,0,0,0,0,0,0,0.6,6.2,0.0,0.0,False,1,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Rasmus Kristensen,DEF,Leeds,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Rasmus Kristensen,DEF,Leeds,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,Everton,45,0,0,1,0,6,0,0,0,0,0,0,0.9,8.0,0.9,0.0,False,1,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Rasmus Kristensen,DEF,Leeds,Wolves,29,1,0,2,0,24,0,0,0,0,0,0,6.1,41.6,0.5,19.0,False,7,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Arsenal,90,1,0,4,0,22,0,0,0,0,0,0,8.9,47.6,11.3,30.0,False,6,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,Nott'm Forest,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Crystal Palace,30,0,0,2,0,2,0,0,0,0,0,0,0.5,4.0,0.6,0.0,True,0,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Liverpool,90,0,0,6,0,7,0,0,0,0,0,0,1.8,15.8,1.8,0.0,True,-1,2.0,4.0,-2.0
Rasmus Kristensen,DEF,Leeds,Fulham,90,0,0,2,0,11,0,0,0,0,0,0,2.9,26.2,1.2,2.0,False,1,2.0,2.0,0.0
Rasmus Kristensen,DEF,Leeds,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
