name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Vicente Guaita,GK,Crystal Palace,Arsenal,90,0,0,2,0,15,0,0,0,1,0,0,1.4,13.8,0.0,0.0,True,1,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Liverpool,90,0,0,1,0,13,1,0,0,3,0,0,2.6,26.4,0.0,0.0,False,2,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Aston Villa,90,0,0,1,0,16,0,0,0,4,0,0,2.9,29.4,0.0,0.0,True,3,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Man City,90,0,0,4,0,12,0,0,0,1,0,0,1.2,12.2,0.0,0.0,False,0,2.0,5.0,-3.0
Vicente Guaita,GK,Crystal Palace,Brentford,90,0,0,1,0,12,0,0,0,2,0,0,1.8,17.6,0.0,0.0,True,2,2.0,3.0,-1.0
Vicente Guaita,GK,Crystal Palace,Newcastle,90,0,0,0,1,29,0,0,0,5,0,0,4.2,42.4,0.0,0.0,False,7,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Chelsea,90,0,0,2,0,10,0,0,0,1,0,0,1.1,10.8,0.0,0.0,True,1,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Leeds,90,0,0,1,0,16,0,0,0,3,0,0,2.2,22.4,0.0,0.0,True,3,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Leicester,90,0,0,0,1,39,0,0,0,6,0,0,4.9,48.6,0.0,0.0,False,11,2.0,3.0,-1.0
Vicente Guaita,GK,Crystal Palace,Wolves,90,0,0,1,0,13,0,0,0,3,0,0,2.3,23.2,0.0,0.0,True,3,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Everton,90,0,0,3,0,13,0,0,0,3,0,0,2.0,19.6,0.0,0.0,False,2,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Southampton,90,0,0,0,1,30,0,0,0,4,0,0,3.6,36.2,0.0,0.0,True,9,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,West Ham,90,0,0,1,0,13,0,0,0,1,0,0,1.3,12.8,0.0,0.0,False,2,2.0,3.0,-1.0
Vicente Guaita,GK,Crystal Palace,Nott'm Forest,90,0,0,1,0,10,0,0,0,1,0,0,1.3,13.0,0.0,0.0,False,2,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Fulham,90,0,0,3,0,24,0,0,0,7,0,0,5.2,52.2,0.0,0.0,True,3,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Bournemouth,90,0,0,0,1,25,0,0,0,2,0,0,1.3,13.2,0.0,0.0,False,7,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Spurs,90,0,0,4,0,13,0,0,0,2,0,0,1.0,10.0,0.0,0.0,True,0,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Chelsea,90,0,0,1,0,18,0,0,0,4,0,0,3.2,32.4,0.0,0.0,False,3,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Man Utd,90,0,0,1,0,14,0,0,0,3,0,0,1.8,18.4,0.0,0.0,True,3,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Newcastle,90,0,0,0,1,34,0,0,0,7,0,0,5.5,54.6,0.0,0.0,True,10,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Man Utd,90,0,0,2,0,13,0,0,0,3,0,0,2.3,22.6,0.0,0.0,False,2,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Brighton,90,0,0,1,0,21,0,0,0,6,0,0,4.6,46.4,0.0,0.0,True,4,2.0,3.0,-1.0
Vicente Guaita,GK,Crystal Palace,Brentford,90,0,0,1,0,19,0,0,0,4,0,0,2.2,22.0,0.0,0.0,False,3,2.0,3.0,-1.0
Vicente Guaita,GK,Crystal Palace,Liverpool,90,0,0,0,1,28,0,0,0,4,0,0,2.6,25.6,0.0,0.0,True,9,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Aston Villa,90,0,0,1,0,9,0,0,0,1,0,0,1.1,11.2,0.0,0.0,False,2,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Man City,90,0,0,1,0,14,0,0,0,3,0,0,2.0,19.8,0.0,0.0,True,3,2.0,5.0,-3.0
Vicente Guaita,GK,Crystal Palace,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Vicente Guaita,GK,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Vicente Guaita,GK,Crystal Palace,Leicester,90,0,0,1,0,11,0,0,0,1,0,0,1.2,11.6,0.0,0.0,True,2,2.0,3.0,-1.0
Vicente Guaita,GK,Crystal Palace,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Vicente Guaita,GK,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
