name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Wilfried Gnonto,FWD,Leeds,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Wilfried Gnonto,FWD,Leeds,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Wilfried Gnonto,FWD,Leeds,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Liverpool,18,0,0,0,0,5,0,0,0,0,0,0,1.6,11.2,4.3,0.0,False,1,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,Bournemouth,45,0,1,1,0,20,0,0,0,0,0,0,6.7,26.4,38.3,2.0,True,4,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Spurs,45,0,0,1,0,4,0,0,0,0,0,0,0.2,0.4,1.5,0.0,False,1,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,Man City,90,0,0,3,0,4,1,0,0,0,0,0,3.7,0.6,11.9,24.0,True,1,2.0,5.0,-3.0
Wilfried Gnonto,FWD,Leeds,Newcastle,69,0,0,0,1,-4,1,0,0,0,0,0,2.6,0.0,17.4,9.0,False,1,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,West Ham,90,1,0,2,0,32,0,0,0,0,0,0,9.0,47.2,8.3,34.0,True,9,2.0,3.0,-1.0
Wilfried Gnonto,FWD,Leeds,Aston Villa,90,0,0,2,0,-3,0,0,0,0,0,0,7.1,10.4,24.7,36.0,False,2,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Brentford,90,0,0,0,1,12,0,0,0,0,0,0,5.0,8.0,17.3,25.0,True,2,2.0,3.0,-1.0
Wilfried Gnonto,FWD,Leeds,Nott'm Forest,90,0,0,1,0,11,0,0,0,0,0,0,9.8,16.4,56.9,25.0,False,2,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Man Utd,89,1,0,2,0,32,0,0,0,0,0,0,7.3,40.2,15.8,17.0,False,9,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,Man Utd,90,0,0,2,0,6,0,0,0,0,0,0,3.9,10.4,16.3,12.0,True,2,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,Everton,90,0,0,1,0,1,1,0,0,0,0,0,1.2,6.8,2.7,2.0,False,1,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Southampton,60,0,0,0,1,3,1,0,0,0,0,0,2.3,2.2,9.0,12.0,True,1,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Chelsea,22,0,0,0,0,0,0,0,0,0,0,0,1.5,0.8,12.5,2.0,False,1,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,Brighton,24,0,1,0,0,14,0,0,0,0,0,0,3.5,20.0,11.3,4.0,True,4,2.0,3.0,-1.0
Wilfried Gnonto,FWD,Leeds,Wolves,60,0,1,0,1,16,0,0,0,0,0,0,4.0,21.8,13.9,4.0,False,5,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Crystal Palace,30,0,0,2,0,0,1,0,0,0,0,0,0.6,4.6,0.9,0.0,True,0,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Liverpool,13,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,Fulham,10,0,0,0,0,3,0,0,0,0,0,0,0.5,1.4,0.8,3.0,False,1,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Wilfried Gnonto,FWD,Leeds,Bournemouth,90,0,1,4,0,20,0,0,0,0,0,0,9.2,23.2,30.5,38.0,False,5,2.0,2.0,0.0
Wilfried Gnonto,FWD,Leeds,Man City,57,0,0,2,0,-1,1,0,0,0,0,0,0.0,0.0,0.6,0.0,False,0,2.0,5.0,-3.0
Wilfried Gnonto,FWD,Leeds,Newcastle,26,0,0,1,0,1,1,0,0,0,0,0,1.0,3.0,4.8,2.0,True,0,2.0,4.0,-2.0
Wilfried Gnonto,FWD,Leeds,West Ham,56,0,0,2,0,3,0,0,0,0,0,0,3.6,9.8,23.8,2.0,False,1,2.0,3.0,-1.0
Wilfried Gnonto,FWD,Leeds,Spurs,2,0,0,1,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,4.0,-2.0
