name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Wout Faes,DEF,Leicester,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Wout Faes,DEF,Leicester,Spurs,90,0,0,6,0,14,0,0,0,0,0,0,3.6,21.6,12.6,2.0,False,-1,3.0,4.0,-1.0
Wout Faes,DEF,Leicester,Nott'm Forest,90,0,0,0,1,24,0,0,0,0,0,0,1.5,10.4,0.5,4.0,True,6,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Bournemouth,90,0,0,2,0,21,0,0,0,0,0,0,5.9,42.4,10.7,6.0,False,1,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Crystal Palace,90,0,0,0,1,27,0,0,0,0,0,0,2.5,21.6,3.7,0.0,True,6,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Leeds,90,0,0,0,1,23,0,0,0,0,0,0,2.6,26.2,0.2,0.0,True,7,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Wolves,90,0,0,0,1,20,1,0,0,0,0,0,1.8,17.4,0.2,0.0,False,5,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Man City,90,0,0,1,0,12,0,0,0,0,0,0,1.2,11.8,0.3,0.0,True,2,3.0,5.0,-2.0
Wout Faes,DEF,Leicester,Everton,90,0,0,0,1,25,0,0,0,0,0,0,4.2,22.2,0.8,19.0,False,6,3.0,2.0,1.0
Wout Faes,DEF,Leicester,West Ham,90,0,0,0,1,25,0,0,0,0,0,0,2.6,25.4,0.3,0.0,False,6,3.0,3.0,0.0
Wout Faes,DEF,Leicester,Newcastle,90,0,0,3,0,14,0,0,0,0,0,0,3.2,11.8,11.9,8.0,True,1,3.0,4.0,-1.0
Wout Faes,DEF,Leicester,Liverpool,90,0,0,2,0,1,0,0,2,0,0,0,1.6,13.4,0.2,2.0,False,-3,3.0,4.0,-1.0
Wout Faes,DEF,Leicester,Fulham,90,0,0,1,0,18,0,0,0,0,0,0,2.3,17.8,4.8,0.0,True,2,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Nott'm Forest,90,0,0,2,0,17,0,0,0,0,0,0,2.0,19.4,0.5,0.0,False,1,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Brighton,90,0,0,2,0,15,0,0,0,0,0,0,1.5,14.8,0.5,0.0,True,1,3.0,3.0,0.0
Wout Faes,DEF,Leicester,Aston Villa,90,0,0,2,0,21,0,0,0,0,0,0,3.2,31.8,0.0,0.0,False,1,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Spurs,90,0,0,1,0,12,1,0,0,0,0,0,1.0,9.6,0.8,0.0,True,1,3.0,4.0,-1.0
Wout Faes,DEF,Leicester,Man Utd,90,0,0,3,0,11,1,0,0,0,0,0,1.9,18.4,0.3,0.0,False,0,3.0,4.0,-1.0
Wout Faes,DEF,Leicester,Arsenal,90,0,0,1,0,16,0,0,0,0,0,0,1.6,15.8,0.3,0.0,True,2,3.0,4.0,-1.0
Wout Faes,DEF,Leicester,Southampton,90,0,0,1,0,16,0,0,0,0,0,0,5.2,23.4,21.0,8.0,False,2,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Chelsea,86,0,0,3,0,10,0,1,0,0,0,0,2.6,19.4,1.8,5.0,True,-2,3.0,4.0,-1.0
Wout Faes,DEF,Leicester,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Wout Faes,DEF,Leicester,Crystal Palace,90,0,0,2,0,18,0,0,0,0,0,0,4.4,43.8,0.3,0.0,False,1,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Aston Villa,90,0,1,2,0,27,1,0,0,0,0,0,5.7,36.6,20.2,0.0,True,5,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Bournemouth,90,0,0,1,0,14,0,0,0,0,0,0,5.9,37.8,0.6,21.0,True,2,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Man City,90,0,0,3,0,7,0,0,0,0,0,0,1.5,10.8,0.2,4.0,False,1,3.0,5.0,-2.0
Wout Faes,DEF,Leicester,Wolves,90,0,0,1,0,20,0,0,0,0,0,0,4.4,32.8,10.8,0.0,True,2,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Leeds,90,0,0,1,0,9,0,0,0,0,0,0,1.7,8.6,0.7,8.0,False,2,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Everton,90,0,1,2,0,21,0,0,0,0,0,0,5.4,41.6,10.5,2.0,True,4,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Fulham,90,0,0,5,0,14,0,0,0,0,0,0,1.6,11.0,0.5,4.0,False,0,3.0,2.0,1.0
Wout Faes,DEF,Leicester,Liverpool,90,0,0,3,0,20,0,0,0,0,0,0,2.8,27.8,0.3,0.0,True,1,3.0,4.0,-1.0
Wout Faes,DEF,Leicester,Newcastle,90,0,0,0,1,22,0,0,0,0,0,0,1.7,17.0,0.1,0.0,False,6,3.0,4.0,-1.0
Wout Faes,DEF,Leicester,West Ham,90,1,0,1,0,31,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,10,3.0,3.0,0.0
