name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Connor Roberts,DEF,Burnley,Man City,90,0,0,3,0,10,0,0,0,0,0,0,1.0,8.0,1.8,0.0,True,1,2.0,5.0,-3.0
Connor Roberts,DEF,Burnley,Aston Villa,90,0,0,3,0,15,0,0,0,0,0,0,3.0,19.8,10.5,0.0,True,1,2.0,4.0,-2.0
Connor Roberts,DEF,Burnley,Spurs,90,0,0,5,0,11,0,0,0,0,0,0,2.5,7.4,17.7,0.0,True,0,2.0,4.0,-2.0
Connor Roberts,DEF,Burnley,Nott'm Forest,90,0,0,1,0,10,1,0,0,0,0,0,1.5,13.2,1.6,0.0,False,1,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Man Utd,90,0,0,1,0,12,0,0,0,0,0,0,2.1,11.0,4.3,6.0,True,2,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Newcastle,87,0,0,2,0,10,0,0,0,0,0,0,1.8,16.4,1.9,0.0,False,1,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Luton,90,0,1,1,0,22,1,0,0,0,0,0,5.9,35.2,21.9,2.0,False,4,2.0,2.0,0.0
Connor Roberts,DEF,Burnley,Chelsea,29,0,0,2,0,8,0,0,0,0,0,0,4.0,9.2,30.8,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Brentford,77,0,0,3,0,4,0,1,0,0,0,0,0.7,4.8,2.2,0.0,False,-2,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Connor Roberts,DEF,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Connor Roberts,DEF,Burnley,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Brighton,11,0,0,0,0,3,0,0,0,0,0,0,0.9,9.0,0.0,0.0,False,1,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Fulham,10,0,0,0,0,2,0,0,0,0,0,0,0.2,2.2,0.1,0.0,False,1,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Connor Roberts,DEF,Burnley,Aston Villa,16,0,0,1,0,1,0,0,0,0,0,0,0.2,2.0,0.3,0.0,False,1,2.0,4.0,-2.0
Connor Roberts,DEF,Burnley,Luton,16,0,0,1,0,4,0,0,0,0,0,0,1.5,4.6,10.2,0.0,True,1,2.0,2.0,0.0
Connor Roberts,DEF,Burnley,Man City,31,0,0,0,0,-1,1,0,0,0,0,0,0.4,0.0,0.8,4.0,False,0,2.0,5.0,-3.0
Connor Roberts,DEF,Burnley,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Connor Roberts,DEF,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Connor Roberts,DEF,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Connor Roberts,DEF,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Connor Roberts,DEF,Burnley,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Connor Roberts,DEF,Burnley,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
