name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Emerson Palmieri dos Santos,DEF,West Ham,Bournemouth,90,0,0,1,0,8,1,0,0,0,0,0,5.0,20.4,26.0,4.0,False,1,3.0,3.0,0.0
Emerson Palmieri dos Santos,DEF,West Ham,Chelsea,90,0,1,1,0,17,1,0,0,0,0,0,4.0,25.4,10.5,4.0,True,4,3.0,3.0,0.0
Emerson Palmieri dos Santos,DEF,West Ham,Brighton,90,0,0,1,0,12,0,0,0,0,0,0,3.8,16.4,13.3,8.0,False,2,3.0,3.0,0.0
Emerson Palmieri dos Santos,DEF,West Ham,Luton,90,0,0,1,0,6,1,0,0,0,0,0,1.4,7.2,4.4,2.0,False,1,3.0,2.0,1.0
Emerson Palmieri dos Santos,DEF,West Ham,Man City,90,0,0,3,0,11,0,0,0,0,0,0,3.0,10.8,12.0,7.0,True,1,3.0,5.0,-2.0
Emerson Palmieri dos Santos,DEF,West Ham,Liverpool,90,0,0,3,0,8,0,0,0,0,0,0,1.7,13.6,2.0,1.0,False,1,3.0,4.0,-1.0
Emerson Palmieri dos Santos,DEF,West Ham,Sheffield Utd,90,0,0,0,1,33,0,0,0,0,0,0,4.7,23.6,17.3,6.0,True,8,3.0,2.0,1.0
Emerson Palmieri dos Santos,DEF,West Ham,Newcastle,90,0,1,2,0,20,1,0,0,0,0,0,4.3,23.4,15.9,4.0,True,3,3.0,3.0,0.0
Emerson Palmieri dos Santos,DEF,West Ham,Aston Villa,90,0,0,4,0,11,1,0,0,0,0,0,1.8,11.0,7.3,0.0,False,-1,3.0,4.0,-1.0
Emerson Palmieri dos Santos,DEF,West Ham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Emerson Palmieri dos Santos,DEF,West Ham,Brentford,90,0,0,3,0,8,1,0,0,0,0,0,3.2,12.8,16.4,3.0,False,0,3.0,3.0,0.0
