name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Konstantinos Mavropanos,DEF,West Ham,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Konstantinos Mavropanos,DEF,West Ham,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Konstantinos Mavropanos,DEF,West Ham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Konstantinos Mavropanos,DEF,West Ham,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Konstantinos Mavropanos,DEF,West Ham,Sheffield Utd,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.0,True,1,3.0,2.0,1.0
Konstantinos Mavropanos,DEF,West Ham,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Konstantinos Mavropanos,DEF,West Ham,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Konstantinos Mavropanos,DEF,West Ham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Konstantinos Mavropanos,DEF,West Ham,Brentford,90,0,0,3,0,-2,1,0,1,0,0,0,1.4,7.8,0.5,6.0,False,-2,3.0,3.0,0.0
Konstantinos Mavropanos,DEF,West Ham,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Konstantinos Mavropanos,DEF,West Ham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Konstantinos Mavropanos,DEF,West Ham,Crystal Palace,90,0,0,1,0,10,0,0,0,0,0,0,2.0,10.8,0.5,9.0,True,2,3.0,3.0,0.0
Konstantinos Mavropanos,DEF,West Ham,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Konstantinos Mavropanos,DEF,West Ham,Fulham,45,0,0,2,0,6,0,0,0,0,0,0,1.9,6.0,10.7,2.0,False,0,3.0,3.0,0.0
Konstantinos Mavropanos,DEF,West Ham,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Konstantinos Mavropanos,DEF,West Ham,Man Utd,90,0,0,0,1,25,0,0,0,0,0,0,1.2,12.0,0.3,0.0,True,6,3.0,3.0,0.0
Konstantinos Mavropanos,DEF,West Ham,Arsenal,90,1,0,0,1,38,0,0,0,0,0,0,8.3,48.2,0.2,35.0,False,15,3.0,5.0,-2.0
Konstantinos Mavropanos,DEF,West Ham,Brighton,90,0,0,0,1,26,0,0,0,0,0,0,2.9,21.2,3.6,4.0,True,6,3.0,3.0,0.0
