name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Neco Williams,DEF,Nott'm Forest,Arsenal,18,0,0,0,0,4,0,0,0,0,0,0,0.4,3.4,0.1,0.0,False,1,3.0,5.0,-2.0
Neco Williams,DEF,Nott'm Forest,Sheffield Utd,90,0,0,1,0,5,0,0,0,0,0,0,4.5,23.4,15.8,6.0,True,2,3.0,2.0,1.0
Neco Williams,DEF,Nott'm Forest,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Neco Williams,DEF,Nott'm Forest,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Neco Williams,DEF,Nott'm Forest,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Luton,2,0,0,1,0,4,0,0,0,0,0,0,0.3,2.2,0.3,0.0,True,1,3.0,2.0,1.0
Neco Williams,DEF,Nott'm Forest,Liverpool,7,0,0,0,0,2,0,0,0,0,0,0,2.0,4.0,14.0,2.0,False,1,3.0,4.0,-1.0
Neco Williams,DEF,Nott'm Forest,Aston Villa,4,0,0,0,0,3,0,0,0,0,0,0,1.0,10.0,0.0,0.0,True,1,3.0,4.0,-1.0
Neco Williams,DEF,Nott'm Forest,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Brighton,1,0,0,0,0,4,0,0,0,0,0,0,3.0,6.4,19.4,4.0,True,1,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Wolves,90,0,1,1,0,25,0,0,0,0,0,0,7.5,45.8,29.3,0.0,False,7,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Spurs,90,0,0,2,0,13,0,0,0,0,0,0,3.2,23.2,0.3,8.0,True,1,3.0,4.0,-1.0
Neco Williams,DEF,Nott'm Forest,Bournemouth,90,0,0,3,0,19,0,0,0,0,0,0,7.3,41.8,29.3,2.0,True,1,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Newcastle,20,0,0,0,0,3,1,0,0,0,0,0,0.7,6.8,0.6,0.0,False,0,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Man Utd,16,0,0,1,0,5,0,0,0,0,0,0,0.5,5.2,0.2,0.0,True,1,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Brentford,28,0,0,1,0,3,0,0,0,0,0,0,1.6,9.2,4.9,2.0,False,1,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Arsenal,77,0,0,2,0,5,0,0,0,0,0,0,2.7,9.6,0.8,17.0,True,1,3.0,5.0,-2.0
Neco Williams,DEF,Nott'm Forest,Bournemouth,77,0,0,1,0,6,0,0,0,0,0,0,1.8,12.8,2.2,3.0,False,2,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Newcastle,90,0,0,3,0,8,0,0,0,0,0,0,1.8,10.6,3.5,4.0,True,1,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,West Ham,90,0,0,0,1,15,1,0,0,0,0,0,2.3,17.4,1.8,4.0,True,5,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Aston Villa,90,0,0,4,0,11,0,0,0,0,0,0,2.6,10.4,11.9,4.0,False,0,3.0,4.0,-1.0
Neco Williams,DEF,Nott'm Forest,Liverpool,90,0,0,1,0,8,0,0,0,0,0,0,3.1,29.6,1.2,0.0,True,2,3.0,4.0,-1.0
Neco Williams,DEF,Nott'm Forest,Brighton,90,0,0,1,0,12,1,0,0,0,0,0,2.8,19.2,1.8,7.0,False,1,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Luton,90,0,0,1,0,8,0,0,0,0,0,0,1.9,14.8,2.3,2.0,False,2,3.0,2.0,1.0
Neco Williams,DEF,Nott'm Forest,Crystal Palace,90,0,0,1,0,8,0,0,0,0,0,0,3.3,16.0,16.6,0.0,True,2,3.0,3.0,0.0
Neco Williams,DEF,Nott'm Forest,Fulham,90,0,0,1,0,14,0,0,0,0,0,0,1.9,10.8,2.3,6.0,True,2,3.0,3.0,0.0
