name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Willy Boly,DEF,Nott'm Forest,Arsenal,90,0,0,2,0,14,0,0,0,0,0,0,6.1,17.6,10.8,33.0,False,1,3.0,5.0,-2.0
Willy Boly,DEF,Nott'm Forest,Sheffield Utd,68,0,0,1,0,4,1,0,0,0,0,0,5.3,13.4,0.2,39.0,True,1,3.0,2.0,1.0
Willy Boly,DEF,Nott'm Forest,Man Utd,90,1,0,3,0,25,0,0,0,0,0,0,10.3,66.4,0.6,36.0,False,7,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Chelsea,90,0,0,0,1,25,0,0,0,0,0,0,4.4,43.6,0.2,0.0,False,9,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Willy Boly,DEF,Nott'm Forest,Man City,90,0,0,2,0,19,0,0,0,0,0,0,4.9,28.4,13.3,7.0,False,1,3.0,5.0,-2.0
Willy Boly,DEF,Nott'm Forest,Brentford,90,0,0,1,0,10,0,0,0,0,0,0,3.8,31.4,0.8,6.0,True,2,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Crystal Palace,90,0,0,0,1,26,0,0,0,0,0,0,3.1,22.0,0.3,9.0,False,6,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Luton,77,0,0,0,1,22,0,0,0,0,0,0,2.0,12.2,0.3,7.0,True,6,3.0,2.0,1.0
Willy Boly,DEF,Nott'm Forest,Liverpool,68,0,0,2,0,16,0,0,0,0,0,0,4.0,27.0,10.6,2.0,False,1,3.0,4.0,-1.0
Willy Boly,DEF,Nott'm Forest,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Willy Boly,DEF,Nott'm Forest,West Ham,14,0,0,1,0,4,0,0,0,0,0,0,1.0,7.8,0.4,2.0,False,1,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Everton,45,0,0,0,0,9,0,0,0,0,0,0,1.9,16.6,0.2,2.0,True,1,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Wolves,90,0,0,1,0,10,0,0,0,0,0,0,1.5,10.8,0.4,4.0,False,2,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Spurs,67,0,0,2,0,12,0,0,0,0,0,0,5.1,15.8,21.0,14.0,True,1,3.0,4.0,-1.0
Willy Boly,DEF,Nott'm Forest,Bournemouth,22,0,0,3,0,-8,0,1,0,0,0,0,0.1,0.8,0.0,0.0,True,-3,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Man Utd,3,0,0,0,0,4,0,0,0,0,0,0,0.4,4.0,0.0,0.0,True,1,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Willy Boly,DEF,Nott'm Forest,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Willy Boly,DEF,Nott'm Forest,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Willy Boly,DEF,Nott'm Forest,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Luton,90,0,0,1,0,7,0,0,0,0,0,0,1.8,14.4,0.0,4.0,False,2,3.0,2.0,1.0
Willy Boly,DEF,Nott'm Forest,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Willy Boly,DEF,Nott'm Forest,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Man City,83,0,0,2,0,3,0,0,0,0,0,0,3.2,26.0,0.3,6.0,True,1,3.0,5.0,-2.0
Willy Boly,DEF,Nott'm Forest,Sheffield Utd,90,0,1,1,0,31,0,0,0,0,0,0,5.7,44.2,10.4,2.0,False,6,3.0,2.0,1.0
Willy Boly,DEF,Nott'm Forest,Chelsea,90,1,0,3,0,31,0,0,0,0,0,0,10.4,58.4,20.6,25.0,True,10,3.0,3.0,0.0
Willy Boly,DEF,Nott'm Forest,Burnley,90,0,0,1,0,11,0,0,0,0,0,0,3.1,19.2,10.1,2.0,False,2,3.0,2.0,1.0
