name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Divock Origi,FWD,Nott'm Forest,Burnley,19,0,0,0,0,3,0,0,0,0,0,0,0.4,0.2,0.0,4.0,True,1,3.0,2.0,1.0
Divock Origi,FWD,Nott'm Forest,Man City,15,0,0,0,0,-3,1,0,0,0,0,0,0.1,0.0,0.6,2.0,False,0,3.0,5.0,-2.0
Divock Origi,FWD,Nott'm Forest,Brentford,10,0,0,0,0,8,0,0,0,0,0,0,1.8,4.0,14.0,0.0,True,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Crystal Palace,14,0,0,0,0,2,0,0,0,0,0,0,0.2,0.0,0.3,2.0,False,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Divock Origi,FWD,Nott'm Forest,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Divock Origi,FWD,Nott'm Forest,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Divock Origi,FWD,Nott'm Forest,West Ham,1,0,0,0,0,2,0,0,0,0,0,0,1.2,3.0,0.0,9.0,False,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Brighton,27,0,0,0,0,3,0,0,0,0,0,0,0.6,0.0,0.1,6.0,True,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Everton,8,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.3,0.0,True,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Fulham,57,0,0,3,0,-2,0,0,0,0,0,0,0.0,0.0,0.7,1.0,False,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Divock Origi,FWD,Nott'm Forest,Bournemouth,25,0,0,0,0,5,0,0,0,0,0,0,1.5,3.4,11.9,0.0,True,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Divock Origi,FWD,Nott'm Forest,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Newcastle,22,0,0,0,0,3,0,0,0,0,0,0,1.0,2.0,1.3,7.0,True,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,West Ham,23,0,0,0,0,-1,0,0,0,0,0,0,0.3,0.4,0.7,2.0,True,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Aston Villa,45,0,1,1,0,20,0,0,0,0,0,0,6.1,22.0,37.3,2.0,False,4,3.0,4.0,-1.0
Divock Origi,FWD,Nott'm Forest,Liverpool,64,0,0,0,1,6,0,0,0,0,0,0,1.4,2.8,10.6,1.0,True,2,3.0,4.0,-1.0
Divock Origi,FWD,Nott'm Forest,Brighton,60,0,0,1,0,0,0,0,0,0,0,0,2.5,1.2,0.6,23.0,False,2,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Luton,74,0,0,0,1,0,0,0,0,0,0,0,4.1,4.0,21.2,16.0,False,2,3.0,2.0,1.0
Divock Origi,FWD,Nott'm Forest,Crystal Palace,59,0,0,1,0,3,0,0,0,0,0,0,2.3,5.0,6.8,11.0,True,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Fulham,20,0,0,0,0,-2,0,0,0,0,0,0,0.8,0.0,0.3,8.0,True,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Spurs,22,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.1,1.0,False,1,3.0,4.0,-1.0
Divock Origi,FWD,Nott'm Forest,Wolves,19,0,0,0,0,5,0,0,0,0,0,0,0.7,2.4,0.8,4.0,True,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Everton,10,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.2,0.0,False,1,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Divock Origi,FWD,Nott'm Forest,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Divock Origi,FWD,Nott'm Forest,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Divock Origi,FWD,Nott'm Forest,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
