name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ivan Toney,FWD,Brentford,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Ivan Toney,FWD,Brentford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Ivan Toney,FWD,Brentford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Ivan Toney,FWD,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Ivan Toney,FWD,Brentford,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Ivan Toney,FWD,Brentford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Ivan Toney,FWD,Brentford,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Ivan Toney,FWD,Brentford,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Nott'm Forest,90,1,0,2,0,38,1,0,0,0,0,0,9.5,51.2,30.3,13.0,True,8,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Spurs,90,1,1,3,0,24,0,0,0,0,0,0,10.4,39.6,2.0,62.0,False,10,3.0,4.0,-1.0
Ivan Toney,FWD,Brentford,Man City,90,0,0,3,0,3,0,0,0,0,0,0,3.9,9.6,11.8,18.0,True,2,3.0,5.0,-2.0
Ivan Toney,FWD,Brentford,Wolves,90,1,0,0,1,28,0,0,0,0,0,0,7.0,38.8,5.6,26.0,False,6,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Liverpool,90,1,0,4,0,24,0,0,0,0,0,0,13.4,41.8,2.3,90.0,True,6,3.0,4.0,-1.0
Ivan Toney,FWD,Brentford,Man City,90,0,0,1,0,1,1,0,0,0,0,0,0.8,0.0,6.9,4.0,False,1,3.0,5.0,-2.0
Ivan Toney,FWD,Brentford,West Ham,90,0,0,4,0,4,0,0,0,0,0,0,6.8,13.2,14.2,41.0,False,2,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Chelsea,90,0,0,2,0,1,0,0,0,0,0,0,4.3,7.0,27.3,9.0,True,2,3.0,3.0,0.0
Ivan Toney,FWD,Brentford,Arsenal,90,0,0,2,0,7,0,0,0,0,0,0,5.9,19.4,22.1,17.0,False,2,3.0,5.0,-2.0
Ivan Toney,FWD,Brentford,Burnley,90,0,0,2,0,-3,1,0,0,0,0,0,6.9,6.6,20.7,42.0,False,1,3.0,2.0,1.0
Ivan Toney,FWD,Brentford,Man Utd,90,0,1,1,0,9,0,0,0,0,0,0,7.0,7.2,13.9,49.0,True,5,3.0,3.0,0.0
