name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Alphonse Areola,GK,West Ham,Bournemouth,90,0,0,1,0,16,0,0,0,4,0,0,2.1,21.2,0.0,0.0,False,3,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Chelsea,90,0,0,1,0,31,0,0,0,3,0,1,3.8,38.2,0.0,0.0,True,10,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Brighton,90,0,0,1,0,27,0,0,0,9,0,0,5.8,58.0,0.0,0.0,False,5,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Luton,90,0,0,1,0,8,0,0,0,0,0,0,0.2,2.0,0.0,0.0,False,2,3.0,2.0,1.0
Alphonse Areola,GK,West Ham,Man City,90,0,0,3,0,29,0,0,0,10,0,0,7.6,76.0,0.0,0.0,True,4,3.0,5.0,-2.0
Alphonse Areola,GK,West Ham,Liverpool,90,0,0,3,0,17,0,0,0,4,0,0,2.9,29.0,0.0,0.0,False,2,3.0,4.0,-1.0
Alphonse Areola,GK,West Ham,Sheffield Utd,90,0,0,0,1,23,0,0,0,2,0,0,1.6,16.4,0.0,0.0,True,6,3.0,2.0,1.0
Alphonse Areola,GK,West Ham,Newcastle,90,0,0,2,0,10,0,0,0,1,0,0,1.1,11.0,0.0,0.0,True,1,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Aston Villa,90,0,0,4,0,14,0,0,0,3,0,0,3.1,30.6,0.0,0.0,False,1,3.0,4.0,-1.0
Alphonse Areola,GK,West Ham,Everton,90,0,0,1,0,17,0,0,0,3,0,0,2.2,21.8,0.0,0.0,True,3,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Brentford,90,0,0,3,0,11,0,0,0,2,0,0,1.0,9.8,0.0,0.0,False,1,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Nott'm Forest,90,0,0,2,0,14,0,0,0,3,0,0,2.3,22.6,0.0,0.0,True,2,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Burnley,90,0,0,1,0,17,0,0,0,4,0,0,3.3,33.0,0.0,0.0,False,3,3.0,2.0,1.0
Alphonse Areola,GK,West Ham,Crystal Palace,90,0,0,1,0,9,0,0,0,1,0,0,0.8,7.6,0.0,0.0,True,2,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Alphonse Areola,GK,West Ham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Man Utd,90,0,0,0,1,26,0,0,0,3,0,0,1.9,18.8,0.0,0.0,True,8,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Arsenal,90,0,0,0,1,37,0,0,0,8,0,0,5.9,59.4,0.0,0.0,False,10,3.0,5.0,-2.0
Alphonse Areola,GK,West Ham,Brighton,90,0,0,0,1,37,0,0,0,8,0,0,6.1,61.0,0.0,0.0,True,11,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Sheffield Utd,90,0,0,1,0,13,0,0,0,4,0,0,2.3,23.4,0.0,0.0,False,3,3.0,2.0,1.0
Alphonse Areola,GK,West Ham,Bournemouth,90,0,0,1,0,13,0,0,0,3,0,0,2.8,27.8,0.0,0.0,True,3,3.0,3.0,0.0
Alphonse Areola,GK,West Ham,Man Utd,45,0,0,1,0,7,0,0,0,2,0,0,0.8,7.8,0.0,0.0,False,1,3.0,3.0,0.0
