name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Norberto Murara Neto,GK,Bournemouth,West Ham,90,0,0,1,0,11,0,0,0,1,0,0,1.4,14.0,0.0,0.0,True,2,3.0,3.0,0.0
Norberto Murara Neto,GK,Bournemouth,Liverpool,90,0,0,3,0,37,1,0,0,8,0,1,7.0,70.4,0.0,0.0,False,10,3.0,4.0,-1.0
Norberto Murara Neto,GK,Bournemouth,Spurs,90,0,0,2,0,15,0,0,0,4,0,0,2.5,24.8,0.0,0.0,True,2,3.0,4.0,-1.0
Norberto Murara Neto,GK,Bournemouth,Brentford,90,0,0,2,0,15,1,0,0,5,0,0,4.4,44.0,0.0,0.0,False,1,3.0,3.0,0.0
Norberto Murara Neto,GK,Bournemouth,Chelsea,90,0,0,0,1,32,0,0,0,6,0,0,4.1,40.6,0.0,0.0,True,10,3.0,3.0,0.0
Norberto Murara Neto,GK,Bournemouth,Brighton,90,0,0,3,0,12,0,0,0,2,0,0,1.1,10.6,0.0,0.0,False,1,3.0,3.0,0.0
Norberto Murara Neto,GK,Bournemouth,Arsenal,90,0,0,4,0,16,0,0,0,4,0,0,3.6,35.8,0.0,0.0,True,1,3.0,5.0,-2.0
Norberto Murara Neto,GK,Bournemouth,Everton,90,0,0,3,0,19,1,0,0,5,0,0,4.1,41.2,0.0,0.0,False,1,3.0,3.0,0.0
Norberto Murara Neto,GK,Bournemouth,Wolves,90,0,0,2,0,20,0,0,0,5,0,0,3.1,30.6,0.0,0.0,True,2,3.0,3.0,0.0
Norberto Murara Neto,GK,Bournemouth,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
