name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Alex Iwobi,MID,Everton,Fulham,90,0,0,1,0,9,0,0,0,0,0,0,10.6,19.4,40.7,46.0,True,2,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Aston Villa,50,0,0,2,0,4,0,0,0,0,0,0,2.2,5.0,14.5,2.0,False,1,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Luton,28,0,0,0,0,6,0,0,0,0,0,0,1.1,1.6,3.3,6.0,True,1,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Crystal Palace,15,0,0,0,0,3,0,0,0,0,0,0,1.6,3.0,11.4,2.0,False,1,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Chelsea,36,0,0,0,0,3,0,0,0,0,0,0,3.4,4.6,15.3,14.0,True,1,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Sheffield Utd,78,0,0,1,0,16,0,0,0,0,0,0,3.8,8.8,24.3,5.0,True,2,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Spurs,45,0,0,1,0,4,0,0,0,0,0,0,2.1,4.2,14.5,2.0,False,1,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Brighton,90,0,0,1,0,12,0,0,0,0,0,0,2.9,13.4,2.2,13.0,False,2,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Man Utd,88,0,0,0,1,12,1,0,0,0,0,0,3.9,9.0,23.3,7.0,True,2,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Aston Villa,81,0,0,3,0,4,1,0,0,0,0,0,3.6,8.8,19.4,8.0,False,1,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Wolves,90,1,0,2,0,30,0,0,0,0,0,0,10.5,48.0,12.7,44.0,True,9,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Liverpool,74,0,0,2,0,5,0,0,0,0,0,0,2.5,6.2,12.9,6.0,False,2,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Nott'm Forest,75,2,0,0,1,50,0,0,0,0,0,0,14.2,73.6,15.1,53.0,True,14,3.0,3.0,0.0
Alex Iwobi,MID,Everton,West Ham,78,0,1,0,1,24,0,0,0,0,0,0,8.1,20.0,32.2,29.0,True,6,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Newcastle,76,0,0,2,0,3,0,0,0,0,0,0,2.9,5.4,2.6,21.0,False,2,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Burnley,90,0,0,2,0,15,0,0,0,0,0,0,8.9,15.4,39.5,34.0,True,2,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Bournemouth,90,0,0,3,0,12,0,0,0,0,0,0,1.9,9.0,5.8,4.0,False,2,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Arsenal,71,0,0,1,0,13,0,0,0,0,0,0,4.1,7.4,27.2,6.0,True,2,3.0,5.0,-2.0
Alex Iwobi,MID,Everton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Aston Villa,45,0,0,1,0,0,0,0,0,0,0,0,2.7,4.2,1.8,21.0,True,1,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Man Utd,90,1,0,1,0,31,0,0,0,0,0,0,11.2,41.0,43.4,28.0,False,10,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Brighton,68,0,0,0,1,10,0,0,0,0,0,0,4.9,12.0,35.4,2.0,True,3,3.0,3.0,0.0
