name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Facundo Buonanotte,MID,Brighton,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Facundo Buonanotte,MID,Brighton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Bournemouth,45,0,0,1,0,-1,0,0,0,0,0,0,1.5,6.2,1.8,7.0,True,1,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Facundo Buonanotte,MID,Brighton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Facundo Buonanotte,MID,Brighton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Facundo Buonanotte,MID,Brighton,Fulham,19,0,0,0,0,0,0,0,0,0,0,0,1.6,0.4,11.8,4.0,True,1,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Everton,11,0,0,0,0,5,0,0,0,0,0,0,1.0,2.2,1.8,6.0,False,1,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Sheffield Utd,45,0,1,0,0,7,1,0,0,0,0,0,3.3,13.4,13.1,6.0,True,3,3.0,2.0,1.0
Facundo Buonanotte,MID,Brighton,Nott'm Forest,45,0,0,1,0,-3,1,0,0,0,0,0,0.6,3.0,0.7,2.0,False,0,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Chelsea,56,1,0,2,0,23,0,0,0,0,0,0,6.8,36.8,13.8,17.0,False,7,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Brentford,68,0,0,1,0,2,1,0,0,0,0,0,2.1,4.2,16.2,1.0,True,1,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Burnley,5,0,0,0,0,3,0,0,0,0,0,0,0.4,0.0,0.0,4.0,True,1,3.0,2.0,1.0
Facundo Buonanotte,MID,Brighton,Arsenal,30,0,0,1,0,4,0,0,0,0,0,0,0.5,3.4,1.8,0.0,False,1,3.0,5.0,-2.0
Facundo Buonanotte,MID,Brighton,Crystal Palace,45,0,0,0,0,4,0,0,0,0,0,0,2.2,4.6,11.6,6.0,False,1,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Spurs,58,0,0,0,0,3,1,0,0,0,0,0,3.6,9.8,12.1,14.0,True,0,3.0,4.0,-1.0
Facundo Buonanotte,MID,Brighton,West Ham,73,0,0,0,1,9,0,0,0,0,0,0,7.0,8.4,47.4,14.0,False,3,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Wolves,64,0,0,0,1,0,0,0,0,0,0,0,1.5,0.4,6.3,8.0,True,3,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Luton,45,0,0,3,0,-2,0,0,0,0,0,0,2.3,10.4,13.0,0.0,False,1,3.0,2.0,1.0
Facundo Buonanotte,MID,Brighton,Crystal Palace,79,1,0,1,0,27,0,0,0,0,0,0,9.9,45.6,17.4,36.0,True,7,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Spurs,82,0,0,1,0,5,1,0,0,0,0,0,1.7,1.6,6.2,9.0,False,1,3.0,4.0,-1.0
Facundo Buonanotte,MID,Brighton,Sheffield Utd,65,1,0,0,1,25,1,0,0,0,0,0,8.5,43.6,6.6,35.0,False,7,3.0,2.0,1.0
Facundo Buonanotte,MID,Brighton,Everton,72,0,0,0,1,13,0,0,0,0,0,0,8.2,19.8,54.5,8.0,True,3,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Fulham,31,0,0,1,0,-2,0,0,0,0,0,0,0.7,0.0,1.0,6.0,False,1,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Liverpool,20,0,0,0,0,5,0,0,0,0,0,0,1.8,4.6,11.0,2.0,False,1,3.0,4.0,-1.0
Facundo Buonanotte,MID,Brighton,Brentford,73,0,0,0,1,7,1,0,0,0,0,0,2.2,6.4,6.5,9.0,False,2,3.0,3.0,0.0
Facundo Buonanotte,MID,Brighton,Arsenal,27,0,0,1,0,4,0,0,0,0,0,0,1.1,2.4,6.8,2.0,True,1,3.0,5.0,-2.0
Facundo Buonanotte,MID,Brighton,Burnley,13,0,0,0,0,1,0,0,0,0,0,0,0.3,2.2,0.9,0.0,False,1,3.0,2.0,1.0
