name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Aston Villa,90,0,0,1,0,13,0,0,0,0,0,0,2.5,9.8,7.4,8.0,True,2,3.0,4.0,-1.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Man City,56,0,0,1,0,1,1,0,0,0,0,0,3.9,7.8,22.5,9.0,False,0,3.0,5.0,-2.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Liverpool,81,0,0,1,0,17,0,0,0,0,0,0,7.3,17.0,34.7,21.0,True,2,3.0,4.0,-1.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Brighton,57,0,0,1,0,6,0,0,0,0,0,0,1.3,2.2,2.8,8.0,False,1,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Burnley,4,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.1,0.0,True,1,3.0,2.0,1.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Crystal Palace,80,0,0,0,1,7,0,0,0,0,0,0,1.4,5.6,2.6,6.0,True,3,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Wolves,90,0,0,2,0,18,0,0,0,0,0,0,7.3,26.6,36.9,9.0,False,2,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Arsenal,90,0,1,0,1,24,0,0,0,0,0,0,6.7,30.0,24.9,12.0,True,9,3.0,5.0,-2.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Bournemouth,90,0,0,2,0,2,0,0,0,0,0,0,2.3,4.0,15.3,4.0,False,2,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Chelsea,90,1,0,1,0,15,1,0,0,0,0,0,7.2,39.4,5.2,27.0,True,6,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Man Utd,90,0,0,0,1,22,1,0,0,0,0,0,8.9,34.4,41.1,13.0,True,2,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Everton,90,0,0,3,0,18,0,0,0,0,0,0,5.3,13.8,36.7,2.0,False,2,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Spurs,90,1,0,4,0,19,1,0,0,0,0,0,9.3,37.6,13.3,42.0,False,6,3.0,4.0,-1.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Fulham,35,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,1.8,0.0,True,1,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Nott'm Forest,19,0,0,0,0,2,0,0,0,0,0,0,0.6,5.0,1.2,0.0,True,1,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Liverpool,81,0,0,3,0,11,1,0,0,0,0,0,2.1,14.6,2.3,4.0,False,1,3.0,4.0,-1.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
