name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Luis Díaz,MID,Liverpool,Chelsea,76,1,0,1,0,20,0,0,0,0,0,0,8.3,35.0,14.8,33.0,False,8,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Bournemouth,85,1,0,1,0,28,0,0,0,0,0,0,9.2,36.2,28.1,28.0,True,7,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Newcastle,32,0,0,1,0,3,0,0,0,0,0,0,2.3,3.0,3.1,17.0,False,1,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Aston Villa,64,0,0,0,1,3,0,0,0,0,0,0,1.5,0.0,2.3,13.0,True,3,4.0,4.0,0.0
Luis Díaz,MID,Liverpool,Wolves,45,0,0,0,0,3,0,0,0,0,0,0,8.1,11.6,27.4,42.0,False,1,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,West Ham,80,0,0,1,0,4,0,0,0,0,0,0,3.6,3.6,22.9,9.0,True,2,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Spurs,72,0,0,1,0,0,0,0,0,0,0,0,1.5,0.0,4.9,11.0,False,2,4.0,4.0,0.0
Luis Díaz,MID,Liverpool,Brighton,90,0,0,2,0,6,0,0,0,0,0,0,1.0,1.4,3.2,5.0,False,2,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Everton,80,0,1,0,1,22,0,0,0,0,0,0,3.3,4.2,7.6,21.0,True,6,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Luton,7,1,0,0,0,19,0,0,0,0,0,0,6.0,34.6,4.8,21.0,False,6,4.0,2.0,2.0
Luis Díaz,MID,Liverpool,Brentford,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,True,1,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Man City,36,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.5,2.0,False,1,4.0,5.0,-1.0
Luis Díaz,MID,Liverpool,Fulham,90,0,0,3,0,5,0,0,0,0,0,0,13.2,17.6,26.9,87.0,True,2,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Sheffield Utd,66,0,0,0,1,6,0,0,0,0,0,0,3.5,7.8,17.5,10.0,False,3,4.0,2.0,2.0
Luis Díaz,MID,Liverpool,Crystal Palace,90,0,0,1,0,-1,1,0,0,0,0,0,5.3,5.2,34.4,13.0,False,1,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Man Utd,77,0,0,0,1,8,0,0,0,0,0,0,8.4,13.8,53.6,17.0,True,3,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Arsenal,67,0,0,1,0,4,0,0,0,0,0,0,2.3,1.8,11.5,10.0,True,2,4.0,5.0,-1.0
Luis Díaz,MID,Liverpool,Burnley,23,0,1,0,0,9,0,0,0,0,0,0,5.0,20.0,11.0,19.0,False,4,4.0,2.0,2.0
Luis Díaz,MID,Liverpool,Newcastle,63,0,0,1,0,8,1,0,0,0,0,0,7.9,12.4,29.7,37.0,True,1,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Bournemouth,63,0,0,0,1,3,0,0,0,0,0,0,2.2,5.2,3.8,13.0,False,3,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Chelsea,90,1,1,1,0,39,0,0,0,0,0,0,15.4,57.6,24.6,72.0,True,12,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Arsenal,90,0,1,3,0,13,0,0,0,0,0,0,5.5,9.2,13.2,33.0,False,5,4.0,5.0,-1.0
Luis Díaz,MID,Liverpool,Burnley,81,1,0,1,0,27,0,0,0,0,0,0,15.3,50.0,15.2,88.0,True,9,4.0,2.0,2.0
Luis Díaz,MID,Liverpool,Brentford,90,0,1,1,0,22,0,0,0,0,0,0,7.9,22.6,38.3,18.0,False,5,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Luton,88,1,0,1,0,13,0,0,0,0,0,0,15.1,42.4,16.5,92.0,True,7,4.0,2.0,2.0
Luis Díaz,MID,Liverpool,Nott'm Forest,90,0,0,0,1,12,0,0,0,0,0,0,6.9,7.0,20.4,42.0,False,3,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Man City,90,0,0,1,0,8,0,0,0,0,0,0,7.3,12.0,42.6,18.0,True,2,4.0,5.0,-1.0
Luis Díaz,MID,Liverpool,Brighton,88,1,0,1,0,29,0,0,0,0,0,0,13.6,37.8,26.3,72.0,True,10,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Sheffield Utd,90,0,1,1,0,23,0,0,0,0,0,0,12.2,31.4,69.8,21.0,True,6,4.0,2.0,2.0
Luis Díaz,MID,Liverpool,Man Utd,90,1,0,2,0,23,0,0,0,0,0,0,15.9,42.0,35.6,81.0,False,7,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Crystal Palace,65,0,0,1,0,6,0,0,0,0,0,0,4.6,6.0,2.8,37.0,True,2,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Fulham,73,0,0,1,0,4,0,0,0,0,0,0,2.6,4.6,11.4,10.0,False,2,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Everton,90,0,0,2,0,9,1,0,0,0,0,0,9.6,15.2,46.3,34.0,False,1,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,West Ham,78,0,1,2,0,23,0,0,0,0,0,0,17.7,37.2,77.9,62.0,False,5,4.0,3.0,1.0
Luis Díaz,MID,Liverpool,Spurs,74,0,0,1,0,5,0,0,0,0,0,0,6.3,7.0,12.9,43.0,True,2,4.0,4.0,0.0
Luis Díaz,MID,Liverpool,Aston Villa,75,0,0,1,0,2,0,0,0,0,0,0,6.1,10.6,44.4,6.0,False,2,4.0,4.0,0.0
Luis Díaz,MID,Liverpool,Wolves,70,0,0,0,1,5,0,0,0,0,0,0,9.8,7.0,37.7,53.0,True,3,4.0,3.0,1.0
