name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Luis Sinisterra,MID,Bournemouth,Chelsea,17,0,0,0,0,1,0,0,0,0,0,0,0.4,0.0,0.3,4.0,True,1,3.0,3.0,0.0
Luis Sinisterra,MID,Bournemouth,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Luis Sinisterra,MID,Bournemouth,Arsenal,31,0,0,1,0,5,0,0,0,0,0,0,2.6,10.0,12.0,4.0,True,1,3.0,5.0,-2.0
Luis Sinisterra,MID,Bournemouth,Everton,33,0,0,1,0,6,0,0,0,0,0,0,3.8,9.6,22.4,6.0,False,1,3.0,3.0,0.0
Luis Sinisterra,MID,Bournemouth,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Luis Sinisterra,MID,Bournemouth,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Luis Sinisterra,MID,Bournemouth,Man City,18,1,0,2,0,22,0,0,0,0,0,0,5.2,34.4,0.2,17.0,False,6,3.0,5.0,-2.0
Luis Sinisterra,MID,Bournemouth,Newcastle,22,0,0,0,0,-2,0,0,0,0,0,0,5.3,4.4,11.1,37.0,True,1,3.0,3.0,0.0
Luis Sinisterra,MID,Bournemouth,Sheffield Utd,24,0,0,1,0,1,0,0,0,0,0,0,2.6,2.6,1.3,22.0,False,1,3.0,2.0,1.0
Luis Sinisterra,MID,Bournemouth,Aston Villa,19,0,0,1,0,4,0,0,0,0,0,0,0.9,3.8,1.3,4.0,True,1,3.0,4.0,-1.0
Luis Sinisterra,MID,Bournemouth,Crystal Palace,78,0,1,0,1,18,0,0,0,0,0,0,7.2,19.8,26.5,26.0,False,6,3.0,3.0,0.0
