name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Mario Lemina,MID,Wolves,Man Utd,90,0,0,1,0,11,1,0,0,0,0,0,2.3,10.2,3.3,9.0,False,1,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Brighton,90,0,0,4,0,9,0,0,0,0,0,0,2.4,12.6,2.5,9.0,True,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Everton,90,0,0,0,1,8,1,0,0,0,0,0,1.7,5.4,1.7,10.0,False,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Crystal Palace,90,0,0,3,0,24,0,0,0,0,0,0,5.3,24.8,28.1,0.0,False,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Liverpool,77,0,0,1,0,14,0,0,0,0,0,0,2.3,11.8,4.8,6.0,True,2,3.0,4.0,-1.0
Mario Lemina,MID,Wolves,Luton,90,0,0,1,0,9,1,0,0,0,0,0,6.7,18.4,0.2,48.0,False,1,3.0,2.0,1.0
Mario Lemina,MID,Wolves,Man City,90,0,0,1,0,4,1,0,0,0,0,0,0.8,7.2,0.7,0.0,True,1,3.0,5.0,-2.0
Mario Lemina,MID,Wolves,Aston Villa,90,0,0,1,0,5,0,1,0,0,0,0,2.0,10.8,1.8,7.0,True,-1,3.0,4.0,-1.0
Mario Lemina,MID,Wolves,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Newcastle,85,1,0,2,0,38,0,0,0,0,0,0,7.8,44.8,12.4,21.0,True,9,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Sheffield Utd,90,0,0,2,0,9,0,0,0,0,0,0,4.7,6.4,3.3,37.0,False,2,3.0,2.0,1.0
Mario Lemina,MID,Wolves,Spurs,90,1,0,1,0,41,0,0,0,0,0,0,9.6,48.4,1.8,46.0,True,10,3.0,4.0,-1.0
Mario Lemina,MID,Wolves,Fulham,90,0,0,3,0,3,1,0,0,0,0,0,4.9,7.0,17.7,24.0,False,1,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Mario Lemina,MID,Wolves,Burnley,90,0,0,0,1,4,1,0,0,0,0,0,3.0,16.2,2.4,11.0,True,2,3.0,2.0,1.0
Mario Lemina,MID,Wolves,Nott'm Forest,60,0,0,1,0,13,0,0,0,0,0,0,1.2,4.6,7.1,0.0,True,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,West Ham,79,0,0,3,0,13,0,0,0,0,0,0,2.7,15.0,4.2,8.0,False,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Chelsea,90,1,0,1,0,35,1,0,0,0,0,0,8.3,56.0,1.3,26.0,True,9,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Brentford,90,1,0,1,0,37,0,0,0,0,0,0,8.4,47.2,1.9,35.0,False,9,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Brighton,90,0,0,0,1,8,0,0,0,0,0,0,4.9,30.8,1.2,17.0,False,3,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Man Utd,90,0,0,4,0,14,0,0,0,0,0,0,6.3,18.0,36.3,9.0,True,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Chelsea,90,0,0,2,0,16,0,0,0,0,0,0,2.6,12.2,13.5,0.0,False,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Brentford,90,0,0,2,0,10,1,0,0,0,0,0,2.5,8.6,5.5,11.0,True,1,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Spurs,90,0,0,1,0,12,0,0,0,0,0,0,3.6,16.2,1.0,19.0,False,2,3.0,4.0,-1.0
Mario Lemina,MID,Wolves,Sheffield Utd,90,0,0,0,1,16,0,0,0,0,0,0,5.8,17.6,24.3,16.0,True,3,3.0,2.0,1.0
Mario Lemina,MID,Wolves,Newcastle,80,0,0,2,0,12,0,0,0,0,0,0,2.8,12.6,13.2,2.0,False,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Fulham,90,0,0,1,0,10,0,0,0,0,0,0,2.7,5.0,13.7,8.0,True,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Aston Villa,90,0,0,2,0,8,0,0,0,0,0,0,5.4,11.2,14.5,28.0,False,2,3.0,4.0,-1.0
Mario Lemina,MID,Wolves,Burnley,90,0,0,1,0,11,0,0,0,0,0,0,1.1,2.8,4.2,4.0,False,2,3.0,2.0,1.0
Mario Lemina,MID,Wolves,West Ham,74,0,0,1,0,14,0,0,0,0,0,0,3.9,18.2,14.2,7.0,True,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Nott'm Forest,90,0,0,2,0,12,1,0,0,0,0,0,2.2,8.6,13.5,0.0,False,1,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Arsenal,39,0,0,1,0,2,0,0,0,0,0,0,2.8,8.2,2.9,17.0,True,1,3.0,5.0,-2.0
Mario Lemina,MID,Wolves,Bournemouth,90,0,0,1,0,16,0,0,0,0,0,0,8.4,30.0,43.3,11.0,True,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Luton,90,0,1,1,0,28,0,0,0,0,0,0,6.6,32.2,28.7,5.0,True,8,3.0,2.0,1.0
Mario Lemina,MID,Wolves,Man City,45,0,0,3,0,4,1,0,0,0,0,0,0.3,1.6,0.9,0.0,False,0,3.0,5.0,-2.0
Mario Lemina,MID,Wolves,Crystal Palace,90,0,0,3,0,11,0,0,0,0,0,0,4.5,22.2,4.2,19.0,True,2,3.0,3.0,0.0
Mario Lemina,MID,Wolves,Liverpool,90,0,0,2,0,9,0,0,0,0,0,0,2.2,18.8,3.3,0.0,False,2,3.0,4.0,-1.0
