name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Mathias Jensen,MID,Brentford,Spurs,48,0,1,2,0,9,0,0,0,0,0,0,0.8,3.4,0.7,4.0,True,4,3.0,4.0,-1.0
Mathias Jensen,MID,Brentford,Fulham,90,0,0,0,1,25,0,0,0,0,0,0,11.1,26.6,65.8,19.0,False,3,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,Crystal Palace,71,0,0,0,1,14,0,0,0,0,0,0,3.5,9.0,25.5,0.0,True,3,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,Bournemouth,80,1,0,2,0,27,1,0,0,0,0,0,9.0,43.2,34.1,13.0,True,9,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,Newcastle,90,0,0,1,0,15,0,0,0,0,0,0,6.4,22.2,42.2,0.0,False,2,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,Everton,90,1,0,3,0,29,0,0,0,0,0,0,6.2,38.0,7.0,17.0,True,9,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,Nott'm Forest,68,0,1,1,0,21,0,0,0,0,0,0,5.3,26.8,26.3,0.0,False,6,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,Man Utd,82,1,0,0,1,27,0,0,0,0,0,0,8.8,44.6,26.6,17.0,False,10,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,Burnley,75,0,0,0,1,9,1,0,0,0,0,0,4.5,9.0,30.3,6.0,True,2,3.0,2.0,1.0
Mathias Jensen,MID,Brentford,Chelsea,63,0,0,0,1,5,0,0,0,0,0,0,0.5,3.2,2.0,0.0,False,3,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,West Ham,77,0,1,2,0,25,0,0,0,0,0,0,5.9,24.4,32.8,2.0,True,5,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,Liverpool,71,0,0,2,0,11,0,0,0,0,0,0,2.9,9.0,13.4,7.0,False,2,3.0,4.0,-1.0
Mathias Jensen,MID,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Mathias Jensen,MID,Brentford,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Mathias Jensen,MID,Brentford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Mathias Jensen,MID,Brentford,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Mathias Jensen,MID,Brentford,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Mathias Jensen,MID,Brentford,Wolves,23,0,0,1,0,4,0,0,0,0,0,0,1.0,2.6,3.2,4.0,True,1,3.0,3.0,0.0
