name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Oliver Arblaster,MID,Sheffield Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Arsenal,26,0,0,0,0,4,0,0,0,0,0,0,1.4,3.2,10.6,0.0,True,1,2.0,5.0,-3.0
Oliver Arblaster,MID,Sheffield Utd,Bournemouth,79,0,0,1,0,5,0,0,0,0,0,0,2.7,8.6,0.9,17.0,False,2,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Fulham,84,0,0,1,0,14,0,0,0,0,0,0,2.8,17.0,10.8,0.0,True,2,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Liverpool,90,0,0,3,0,12,0,0,0,0,0,0,1.7,15.8,0.9,0.0,False,2,2.0,4.0,-2.0
Oliver Arblaster,MID,Sheffield Utd,Chelsea,90,0,0,2,0,17,1,0,0,0,0,0,8.0,23.8,54.2,2.0,True,1,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Brentford,90,0,0,2,0,11,0,0,1,0,0,0,1.1,5.2,3.5,2.0,False,0,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Burnley,90,0,0,4,0,7,0,0,0,0,0,0,1.4,9.6,4.0,0.0,True,2,2.0,2.0,0.0
Oliver Arblaster,MID,Sheffield Utd,Man Utd,90,0,0,4,0,6,0,0,0,0,0,0,3.0,28.8,1.2,0.0,False,2,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Newcastle,90,0,0,5,0,17,0,0,0,0,0,0,2.4,18.2,6.2,0.0,False,2,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Nott'm Forest,90,0,0,3,0,20,0,0,0,0,0,0,5.0,14.6,35.4,0.0,True,2,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Everton,62,0,0,1,0,8,1,0,0,0,0,0,1.9,4.8,12.2,2.0,False,1,2.0,3.0,-1.0
Oliver Arblaster,MID,Sheffield Utd,Spurs,61,0,0,2,0,10,0,0,0,0,0,0,0.6,5.8,0.6,0.0,True,2,2.0,4.0,-2.0
