name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Rodrigo Bentancur,MID,Spurs,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Rodrigo Bentancur,MID,Spurs,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Rodrigo Bentancur,MID,Spurs,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Rodrigo Bentancur,MID,Spurs,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Rodrigo Bentancur,MID,Spurs,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Rodrigo Bentancur,MID,Spurs,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Crystal Palace,1,0,0,1,0,3,0,0,0,0,0,0,0.3,0.6,0.8,2.0,False,1,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Chelsea,29,0,0,3,0,-3,0,0,0,0,0,0,1.1,0.0,2.1,11.0,True,1,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Wolves,27,0,0,2,0,1,1,0,0,0,0,0,2.1,9.2,11.5,0.0,False,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Aston Villa,31,0,0,0,0,6,0,0,0,0,0,0,1.0,5.0,5.1,0.0,True,1,4.0,4.0,0.0
Rodrigo Bentancur,MID,Spurs,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Rodrigo Bentancur,MID,Spurs,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Bournemouth,57,0,0,0,0,5,0,0,0,0,0,0,1.5,9.2,1.9,4.0,True,1,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Man Utd,90,1,0,2,0,22,1,0,0,0,0,0,9.8,45.2,8.0,45.0,False,6,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Brentford,45,0,0,1,0,8,0,0,0,0,0,0,2.6,8.8,14.9,2.0,True,1,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Everton,63,0,0,1,0,9,0,0,0,0,0,0,0.6,3.0,3.3,0.0,False,2,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Brighton,61,0,0,1,0,8,0,0,0,0,0,0,1.9,13.4,1.3,4.0,True,2,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Wolves,19,0,0,0,0,6,0,0,0,0,0,0,2.9,6.6,22.5,0.0,True,1,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Crystal Palace,62,0,0,1,0,4,1,0,0,0,0,0,1.4,0.2,8.4,5.0,True,1,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Aston Villa,20,0,0,0,0,10,0,0,0,0,0,0,1.7,4.4,12.7,0.0,False,1,4.0,4.0,0.0
Rodrigo Bentancur,MID,Spurs,Fulham,24,0,0,0,0,1,1,0,0,0,0,0,3.5,8.4,15.4,11.0,False,0,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Luton,22,0,0,0,0,3,0,0,0,0,0,0,2.0,7.8,4.6,8.0,True,1,4.0,2.0,2.0
Rodrigo Bentancur,MID,Spurs,West Ham,69,0,0,1,0,7,1,0,0,0,0,0,3.9,7.0,19.9,12.0,False,1,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Nott'm Forest,45,0,1,0,0,11,1,0,0,0,0,0,3.7,18.4,12.8,6.0,True,3,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Newcastle,56,0,0,3,0,8,0,0,0,0,0,0,1.7,8.8,2.9,5.0,False,1,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Arsenal,45,0,0,3,0,10,0,0,0,0,0,0,1.6,10.6,3.8,2.0,True,1,4.0,5.0,-1.0
Rodrigo Bentancur,MID,Spurs,Chelsea,27,0,0,1,0,4,0,0,0,0,0,0,2.5,6.8,2.6,16.0,False,1,4.0,3.0,1.0
Rodrigo Bentancur,MID,Spurs,Liverpool,60,0,0,4,0,13,0,0,0,0,0,0,1.3,5.0,8.0,0.0,False,2,4.0,4.0,0.0
Rodrigo Bentancur,MID,Spurs,Burnley,15,0,0,0,0,2,0,0,0,0,0,0,0.9,1.8,1.8,5.0,True,1,4.0,2.0,2.0
Rodrigo Bentancur,MID,Spurs,Man City,54,0,0,1,0,1,1,0,0,0,0,0,2.3,2.8,3.6,17.0,True,0,4.0,5.0,-1.0
Rodrigo Bentancur,MID,Spurs,Sheffield Utd,75,0,0,0,1,14,0,0,0,0,0,0,1.8,10.0,7.0,1.0,False,3,4.0,2.0,2.0
