name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ryan Gravenberch,MID,Liverpool,Wolves,1,0,0,0,0,2,0,0,0,0,0,0,1.1,4.2,0.3,6.0,False,1,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,West Ham,13,0,0,0,0,4,0,0,0,0,0,0,0.8,3.8,0.6,4.0,True,1,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Spurs,10,0,0,1,0,2,0,0,0,0,0,0,0.0,0.2,0.0,0.0,False,1,4.0,4.0,0.0
Ryan Gravenberch,MID,Liverpool,Brighton,45,0,0,1,0,0,0,0,0,0,0,0,3.4,6.4,2.0,26.0,False,1,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Everton,61,0,0,0,1,19,0,0,0,0,0,0,3.5,10.0,14.1,11.0,True,3,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Nott'm Forest,58,0,0,0,0,1,0,0,0,0,0,0,1.7,5.4,2.8,9.0,True,1,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Luton,82,0,0,1,0,19,0,0,0,0,0,0,5.2,14.2,24.3,13.0,False,2,4.0,2.0,2.0
Ryan Gravenberch,MID,Liverpool,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Man City,36,0,0,0,0,4,0,0,0,0,0,0,2.4,10.0,14.1,0.0,False,1,4.0,5.0,-1.0
Ryan Gravenberch,MID,Liverpool,Fulham,82,0,0,3,0,6,0,0,0,0,0,0,3.6,10.0,13.6,12.0,True,2,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Sheffield Utd,4,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,1,4.0,2.0,2.0
Ryan Gravenberch,MID,Liverpool,Crystal Palace,56,0,0,0,0,1,0,0,0,0,0,0,1.1,0.0,2.9,9.0,False,1,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Man Utd,60,0,0,0,1,8,0,0,0,0,0,0,3.8,3.8,23.2,11.0,True,3,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Arsenal,22,0,0,0,0,-1,0,0,0,0,0,0,0.5,4.2,0.8,0.0,True,1,4.0,5.0,-1.0
Ryan Gravenberch,MID,Liverpool,Burnley,65,0,0,0,1,9,0,0,0,0,0,0,4.5,7.6,14.3,23.0,False,3,4.0,2.0,2.0
Ryan Gravenberch,MID,Liverpool,Newcastle,26,0,0,1,0,4,0,0,0,0,0,0,1.6,1.8,10.8,3.0,True,1,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Bournemouth,26,0,0,0,0,5,0,0,0,0,0,0,0.7,4.4,0.4,2.0,False,1,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Arsenal,57,0,0,1,0,4,0,0,0,0,0,0,0.4,2.6,1.8,0.0,False,1,4.0,5.0,-1.0
Ryan Gravenberch,MID,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Ryan Gravenberch,MID,Liverpool,Brentford,56,0,0,1,0,11,0,0,0,0,0,0,2.3,13.2,3.8,6.0,False,1,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Luton,77,0,0,1,0,6,0,0,0,0,0,0,5.2,18.2,22.8,11.0,True,2,4.0,2.0,2.0
Ryan Gravenberch,MID,Liverpool,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Ryan Gravenberch,MID,Liverpool,Brighton,1,0,0,0,0,3,0,0,0,0,0,0,0.1,0.2,0.3,0.0,True,1,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Sheffield Utd,59,0,0,1,0,5,0,0,0,0,0,0,2.7,6.4,5.2,15.0,True,1,4.0,2.0,2.0
Ryan Gravenberch,MID,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Ryan Gravenberch,MID,Liverpool,Fulham,73,1,0,1,0,34,0,0,0,0,0,0,6.2,35.2,15.8,11.0,False,10,4.0,3.0,1.0
