name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ryan Yates,MID,Nott'm Forest,Arsenal,90,0,0,2,0,2,0,0,0,0,0,0,1.0,7.6,2.3,0.0,False,2,3.0,5.0,-2.0
Ryan Yates,MID,Nott'm Forest,Sheffield Utd,21,0,0,0,0,6,0,0,0,0,0,0,0.7,6.0,1.3,0.0,True,1,3.0,2.0,1.0
Ryan Yates,MID,Nott'm Forest,Man Utd,90,0,0,3,0,10,0,0,0,0,0,0,1.6,12.4,2.0,2.0,False,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Chelsea,90,0,0,0,1,4,1,0,0,0,0,0,2.6,24.2,0.4,1.0,False,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Burnley,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,True,1,3.0,2.0,1.0
Ryan Yates,MID,Nott'm Forest,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Ryan Yates,MID,Nott'm Forest,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Crystal Palace,14,0,0,0,0,-1,1,0,0,0,0,0,0.0,0.0,1.0,0.0,False,0,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Luton,12,0,0,2,0,3,0,0,0,0,0,0,1.0,5.0,0.6,4.0,True,1,3.0,2.0,1.0
Ryan Yates,MID,Nott'm Forest,Liverpool,21,0,0,1,0,7,0,0,0,0,0,0,2.4,5.8,14.4,4.0,False,1,3.0,4.0,-1.0
Ryan Yates,MID,Nott'm Forest,Aston Villa,3,0,0,0,0,3,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,1,3.0,4.0,-1.0
Ryan Yates,MID,Nott'm Forest,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Brighton,21,0,0,0,0,1,0,0,0,0,0,0,3.6,4.4,0.8,31.0,True,1,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Everton,90,0,0,1,0,23,0,0,0,0,0,0,8.2,25.8,14.3,42.0,True,3,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Fulham,45,0,0,3,0,2,1,0,0,0,0,0,0.4,3.4,0.6,0.0,False,0,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Wolves,90,0,0,1,0,7,0,0,0,0,0,0,1.1,2.2,1.2,8.0,False,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Spurs,90,0,0,2,0,2,0,0,0,0,0,0,2.1,12.2,2.7,6.0,True,2,3.0,4.0,-1.0
Ryan Yates,MID,Nott'm Forest,Bournemouth,90,0,0,3,0,5,0,0,0,0,0,0,3.7,14.4,11.8,11.0,True,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Newcastle,20,0,0,0,0,3,0,0,0,0,0,0,0.3,0.6,0.2,2.0,False,1,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Man Utd,90,0,0,1,0,12,0,0,0,0,0,0,2.2,15.4,3.3,3.0,True,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Brentford,61,0,0,2,0,9,0,0,0,0,0,0,0.9,0.8,3.2,5.0,False,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Arsenal,19,0,0,1,0,3,0,0,0,0,0,0,1.0,7.6,0.8,2.0,True,1,3.0,5.0,-2.0
Ryan Yates,MID,Nott'm Forest,Bournemouth,90,0,0,1,0,9,1,0,0,0,0,0,5.8,21.2,2.3,34.0,False,1,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Newcastle,72,0,0,3,0,4,0,0,0,0,0,0,0.8,4.6,1.0,2.0,True,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,West Ham,4,0,0,0,0,3,0,0,0,0,0,0,0.8,7.2,0.3,0.0,True,1,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Aston Villa,17,0,0,0,0,-2,0,0,0,0,0,0,1.5,6.2,1.1,8.0,False,1,3.0,4.0,-1.0
Ryan Yates,MID,Nott'm Forest,Liverpool,90,0,0,1,0,4,0,0,0,0,0,0,1.3,11.8,1.2,0.0,True,2,3.0,4.0,-1.0
Ryan Yates,MID,Nott'm Forest,Brighton,71,0,0,1,0,12,0,0,0,0,0,0,1.3,7.0,6.2,0.0,False,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Luton,90,0,0,1,0,10,0,0,0,0,0,0,3.3,18.4,13.3,1.0,False,2,3.0,2.0,1.0
Ryan Yates,MID,Nott'm Forest,Crystal Palace,90,0,0,1,0,14,0,0,0,0,0,0,2.6,10.4,13.8,2.0,True,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Fulham,90,0,0,1,0,13,0,0,0,0,0,0,2.0,8.6,2.4,9.0,True,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Spurs,80,0,0,3,0,7,1,0,0,0,0,0,2.5,5.8,2.4,17.0,False,1,3.0,4.0,-1.0
Ryan Yates,MID,Nott'm Forest,Wolves,65,0,0,2,0,5,0,0,0,0,0,0,3.0,7.0,11.3,12.0,True,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Everton,10,0,0,0,0,0,1,0,0,0,0,0,0.2,0.0,0.5,2.0,False,0,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Man City,16,0,0,0,0,3,0,0,0,0,0,0,0.4,0.6,1.3,2.0,True,1,3.0,5.0,-2.0
Ryan Yates,MID,Nott'm Forest,Sheffield Utd,90,1,0,1,0,30,0,0,0,0,0,0,7.0,43.8,2.1,24.0,False,7,3.0,2.0,1.0
Ryan Yates,MID,Nott'm Forest,Chelsea,71,0,0,1,0,4,0,0,0,0,0,0,2.6,5.2,1.8,19.0,True,2,3.0,3.0,0.0
Ryan Yates,MID,Nott'm Forest,Burnley,57,0,1,0,0,18,0,0,0,0,0,0,4.0,22.8,11.8,5.0,False,4,3.0,2.0,1.0
