name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Tahith Chong,MID,Luton,Brighton,87,0,0,3,0,4,0,0,0,0,0,0,0.9,5.2,1.8,2.0,False,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Chelsea,76,0,0,3,0,5,0,0,0,0,0,0,1.6,6.6,3.3,6.0,False,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,West Ham,83,0,0,1,0,-1,0,0,0,0,0,0,0.9,0.0,3.2,9.0,True,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Fulham,74,0,0,1,0,2,1,0,0,0,0,0,2.0,2.6,0.2,17.0,False,1,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Burnley,21,0,0,1,0,2,1,0,0,0,0,0,1.9,2.6,5.6,11.0,True,0,2.0,2.0,0.0
Tahith Chong,MID,Luton,Spurs,23,0,0,0,0,5,0,0,0,0,0,0,2.5,8.6,14.5,2.0,True,1,2.0,4.0,-2.0
Tahith Chong,MID,Luton,Nott'm Forest,71,0,0,1,0,2,0,0,0,0,0,0,2.8,6.4,8.8,13.0,False,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Aston Villa,32,0,0,1,0,2,0,0,0,0,0,0,1.3,4.6,3.3,5.0,False,1,2.0,4.0,-2.0
Tahith Chong,MID,Luton,Liverpool,29,1,0,1,0,20,0,0,0,0,0,0,6.1,42.0,0.0,19.0,True,6,2.0,4.0,-2.0
Tahith Chong,MID,Luton,Man Utd,29,0,0,0,0,3,0,0,0,0,0,0,0.9,0.6,1.8,7.0,False,1,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Crystal Palace,29,0,0,1,0,5,0,0,0,0,0,0,0.1,1.0,0.1,0.0,True,1,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Brentford,90,0,0,3,0,7,1,0,0,0,0,0,2.4,8.2,11.4,4.0,False,1,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Arsenal,29,0,0,1,0,2,0,0,0,0,0,0,0.5,5.0,0.0,0.0,True,1,2.0,5.0,-3.0
Tahith Chong,MID,Luton,Man City,6,0,0,0,0,2,0,0,0,0,0,0,0.6,0.0,0.3,6.0,True,1,2.0,5.0,-3.0
Tahith Chong,MID,Luton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Tahith Chong,MID,Luton,Chelsea,45,0,0,1,0,1,0,0,0,0,0,0,2.7,9.8,10.5,7.0,True,1,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Burnley,26,0,0,0,0,2,0,0,0,0,0,0,1.3,1.2,11.8,0.0,False,1,2.0,2.0,0.0
Tahith Chong,MID,Luton,Brighton,19,0,0,0,0,1,0,0,0,0,0,0,0.6,2.2,1.6,2.0,True,1,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Sheffield Utd,37,0,0,1,0,3,0,0,0,0,0,0,5.1,6.0,36.3,9.0,True,1,2.0,2.0,0.0
Tahith Chong,MID,Luton,Man Utd,67,0,1,2,0,15,0,0,0,0,0,0,3.7,2.8,5.8,28.0,True,5,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Liverpool,62,0,1,2,0,16,0,0,0,0,0,0,4.4,14.0,12.7,17.0,False,5,2.0,4.0,-2.0
Tahith Chong,MID,Luton,Aston Villa,83,1,0,2,0,20,0,0,0,0,0,0,8.6,37.2,1.8,47.0,True,7,2.0,4.0,-2.0
Tahith Chong,MID,Luton,Crystal Palace,87,0,0,1,0,7,0,0,0,0,0,0,2.4,6.2,17.6,0.0,False,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Bournemouth,72,1,0,3,0,27,0,0,0,0,0,0,8.6,42.6,6.3,37.0,False,8,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Nott'm Forest,90,0,0,1,0,0,0,0,0,0,0,0,1.9,2.6,5.8,11.0,True,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Spurs,73,1,0,1,0,24,0,0,0,0,0,0,5.5,38.0,0.1,17.0,False,9,2.0,4.0,-2.0
Tahith Chong,MID,Luton,Arsenal,37,0,0,0,0,5,0,0,0,0,0,0,0.9,3.8,0.9,4.0,False,1,2.0,5.0,-3.0
Tahith Chong,MID,Luton,Bournemouth,79,0,0,1,0,4,0,0,0,0,0,0,2.3,2.4,11.9,9.0,True,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Man City,90,0,0,5,0,10,0,0,0,0,0,0,0.7,7.0,0.3,0.0,False,2,2.0,5.0,-3.0
Tahith Chong,MID,Luton,Brentford,70,0,0,4,0,5,0,0,0,0,0,0,1.7,3.6,2.7,11.0,True,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Wolves,90,0,0,2,0,8,0,0,0,0,0,0,1.4,5.2,4.4,4.0,False,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Everton,86,0,0,1,0,2,1,0,0,0,0,0,2.9,8.2,16.4,4.0,True,1,2.0,3.0,-1.0
Tahith Chong,MID,Luton,West Ham,90,0,0,3,0,11,0,0,0,0,0,0,1.6,13.6,2.8,0.0,False,2,2.0,3.0,-1.0
Tahith Chong,MID,Luton,Fulham,90,0,0,4,0,1,0,0,0,0,0,0,0.8,3.8,2.3,2.0,True,2,2.0,3.0,-1.0
